"caller_type","caller_method","caller_full_name","offset","opcode","target_type","target_method","target_full_name"
"DolocAPI","__LoadStaticAssets","System.Void DolocAPI::__LoadStaticAssets(System.Action)","IL_005E","newobj","System.Action`1<System.Boolean>",".ctor","System.Void System.Action`1<System.Boolean>::.ctor(System.Object,System.IntPtr)"
"DolocAPI","__LoadStaticAssets","System.Void DolocAPI::__LoadStaticAssets(System.Action)","IL_0063","callvirt","DolocBundleManager","LoadAsync","System.Void DolocBundleManager::LoadAsync(System.Action`1<System.Boolean>)"
"DolocAPI","NewGame","System.Void DolocAPI::NewGame(System.Int32)","IL_000B","callvirt","DolocTown.SceneManager","UnloadSceneAsync","System.Void DolocTown.SceneManager::UnloadSceneAsync(System.String,System.Action)"
"DolocAPI","StartGame","System.Void DolocAPI::StartGame()","IL_004D","call","DolocAPI","EnterDungeon","System.Boolean DolocAPI::EnterDungeon(System.String,System.Action)"
"DolocAPI","FinishTrainingDungeon","System.Void DolocAPI::FinishTrainingDungeon(System.Boolean)","IL_0078","newobj","System.Action",".ctor","System.Void System.Action::.ctor(System.Object,System.IntPtr)"
"DolocAPI","FinishTrainingDungeon","System.Void DolocAPI::FinishTrainingDungeon(System.Boolean)","IL_0083","call","DolocAPI","Delay","UnityEngine.Coroutine DolocAPI::Delay(System.Single,System.Action)"
"DolocAPI","FinishTrainingDungeon","System.Void DolocAPI::FinishTrainingDungeon(System.Boolean)","IL_00AD","callvirt","PPManager","FadeIn","System.Void PPManager::FadeIn(System.Single,System.Action,System.Boolean)"
"DolocAPI","FinishTrainingDungeonCallback","System.Void DolocAPI::FinishTrainingDungeonCallback()","IL_002A","call","DolocAPI","DoTransport","System.Boolean DolocAPI::DoTransport(System.String,System.Action,System.Boolean,System.Boolean,System.Boolean)"
"DolocAPI","FinishTrainingDungeonCallback","System.Void DolocAPI::FinishTrainingDungeonCallback()","IL_008A","newobj","System.Action",".ctor","System.Void System.Action::.ctor(System.Object,System.IntPtr)"
"DolocAPI","FinishTrainingDungeonCallback","System.Void DolocAPI::FinishTrainingDungeonCallback()","IL_0090","callvirt","GameStateManager","TransitScene","System.Void GameStateManager::TransitScene(DolocTown.Room,UnityEngine.Vector2,System.Action,System.Boolean)"
"DolocAPI","LoadGame","System.Boolean DolocAPI::LoadGame(System.Int32)","IL_001A","callvirt","DolocTown.SceneManager","UnloadSceneAsync","System.Void DolocTown.SceneManager::UnloadSceneAsync(System.String,System.Action)"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_019F","newobj","System.Action`1<System.String>",".ctor","System.Void System.Action`1<System.String>::.ctor(System.Object,System.IntPtr)"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_01AB","newobj","System.Action`1<System.Exception>",".ctor","System.Void System.Action`1<System.Exception>::.ctor(System.Object,System.IntPtr)"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_01B0","callvirt","DolocTown.VersionPatch","ApplyPatches","System.Void DolocTown.VersionPatch::ApplyPatches(System.Action`1<System.String>,System.Action`1<System.Exception>)"
"DolocAPI","ReturnHome","System.Void DolocAPI::ReturnHome(System.Boolean)","IL_0113","newobj","System.Action",".ctor","System.Void System.Action::.ctor(System.Object,System.IntPtr)"
"DolocAPI","ReturnHome","System.Void DolocAPI::ReturnHome(System.Boolean)","IL_011E","callvirt","DolocTown.SceneManager","LoadSceneAsync","System.Boolean DolocTown.SceneManager::LoadSceneAsync(System.String,System.Action)"
"DolocAPI","GetActionKeyIconGroup","System.Boolean DolocAPI::GetActionKeyIconGroup(System.String,DolocTown.ActionIconGroup&)","IL_000C","call","DolocAPI","GetActionKeyIconGroup","System.Boolean DolocAPI::GetActionKeyIconGroup(DolocTown.DolocInputDeviceType,System.String,DolocTown.ActionIconGroup&)"
"DolocAPI","GetActionKeyIconGroup","System.Boolean DolocAPI::GetActionKeyIconGroup(DolocTown.DolocInputDeviceType,System.String,DolocTown.ActionIconGroup&)","IL_000C","callvirt","DolocTown.Config.Tables","get_TbGameKeyAction","DolocTown.Config.UI.TbGameKeyAction DolocTown.Config.Tables::get_TbGameKeyAction()"
"DolocAPI","GetActionKeyIconGroup","System.Boolean DolocAPI::GetActionKeyIconGroup(DolocTown.DolocInputDeviceType,System.String,DolocTown.ActionIconGroup&)","IL_0011","callvirt","DolocTown.Config.UI.TbGameKeyAction","get_DataMap","System.Collections.Generic.Dictionary`2<System.String,DolocTown.Config.UI.GameKeyActionInfo> DolocTown.Config.UI.TbGameKeyAction::get_DataMap()"
"DolocAPI","GetActionKeyIconGroup","System.Boolean DolocAPI::GetActionKeyIconGroup(DolocTown.DolocInputDeviceType,System.String,DolocTown.ActionIconGroup&)","IL_0019","callvirt","System.Collections.Generic.Dictionary`2<System.String,DolocTown.Config.UI.GameKeyActionInfo>","TryGetValue","System.Boolean System.Collections.Generic.Dictionary`2<System.String,DolocTown.Config.UI.GameKeyActionInfo>::TryGetValue(!0,!1&)"
"DolocAPI","GetActionKeyIconGroup","System.Boolean DolocAPI::GetActionKeyIconGroup(DolocTown.DolocInputDeviceType,System.String,DolocTown.ActionIconGroup&)","IL_0025","callvirt","DolocTown.Config.UI.GameKeyActionInfo","GetIconGroup","System.Boolean DolocTown.Config.UI.GameKeyActionInfo::GetIconGroup(DolocTown.DolocInputDeviceType,DolocTown.ActionIconGroup&)"
"DolocAPI","GetAllActionKeyIconGroup","System.Boolean DolocAPI::GetAllActionKeyIconGroup(DolocTown.DolocInputDeviceType,System.String,System.Collections.Generic.List`1<DolocTown.ActionIconGroup>&)","IL_0005","callvirt","DolocTown.Config.Tables","get_TbGameKeyAction","DolocTown.Config.UI.TbGameKeyAction DolocTown.Config.Tables::get_TbGameKeyAction()"
"DolocAPI","GetAllActionKeyIconGroup","System.Boolean DolocAPI::GetAllActionKeyIconGroup(DolocTown.DolocInputDeviceType,System.String,System.Collections.Generic.List`1<DolocTown.ActionIconGroup>&)","IL_000A","callvirt","DolocTown.Config.UI.TbGameKeyAction","get_DataMap","System.Collections.Generic.Dictionary`2<System.String,DolocTown.Config.UI.GameKeyActionInfo> DolocTown.Config.UI.TbGameKeyAction::get_DataMap()"
"DolocAPI","GetAllActionKeyIconGroup","System.Boolean DolocAPI::GetAllActionKeyIconGroup(DolocTown.DolocInputDeviceType,System.String,System.Collections.Generic.List`1<DolocTown.ActionIconGroup>&)","IL_0012","callvirt","System.Collections.Generic.Dictionary`2<System.String,DolocTown.Config.UI.GameKeyActionInfo>","TryGetValue","System.Boolean System.Collections.Generic.Dictionary`2<System.String,DolocTown.Config.UI.GameKeyActionInfo>::TryGetValue(!0,!1&)"
"DolocAPI","GetAllActionKeyIconGroup","System.Boolean DolocAPI::GetAllActionKeyIconGroup(DolocTown.DolocInputDeviceType,System.String,System.Collections.Generic.List`1<DolocTown.ActionIconGroup>&)","IL_001A","newobj","System.Collections.Generic.List`1<DolocTown.ActionIconGroup>",".ctor","System.Void System.Collections.Generic.List`1<DolocTown.ActionIconGroup>::.ctor()"
"DolocAPI","GetAllActionKeyIconGroup","System.Boolean DolocAPI::GetAllActionKeyIconGroup(DolocTown.DolocInputDeviceType,System.String,System.Collections.Generic.List`1<DolocTown.ActionIconGroup>&)","IL_0025","callvirt","DolocTown.Config.UI.GameKeyActionInfo","GetAllIconsGroup","System.Boolean DolocTown.Config.UI.GameKeyActionInfo::GetAllIconsGroup(DolocTown.DolocInputDeviceType,System.Collections.Generic.List`1<DolocTown.ActionIconGroup>&)"
