"type","name","event_type","add_method","remove_method","token"
"RedSaw.ActionTask","OnActionEnded","System.Action`1<System.Type>","add_OnActionEnded","remove_OnActionEnded","0x14000001"
"RedSaw.CommandLineInterface.LinearSelector","OnSelectionChanged","System.Action`1<System.Int32>","add_OnSelectionChanged","remove_OnSelectionChanged","0x14000002"
"RedSaw.CommandLineInterface.LogManager`1","OnReceivedMessage","System.Action`1<RedSaw.CommandLineInterface.LogManager`1/Log<T>>","add_OnReceivedMessage","remove_OnReceivedMessage","0x14000003"
"RedSaw.CommandLineInterface.ConsoleController`1","OnFocusOut","System.Action","add_OnFocusOut","remove_OnFocusOut","0x14000004"
"RedSaw.CommandLineInterface.ConsoleController`1","OnFocus","System.Action","add_OnFocus","remove_OnFocus","0x14000005"
"RedSaw.AI.LinearTask.DecisionMaker","OnUpdated","System.Action`1<RedSaw.AI.LinearTask.LinearTask>","add_OnUpdated","remove_OnUpdated","0x14000006"
"RedSaw.AI.LinearTask.DecisionMaker","OnBegined","System.Action`1<RedSaw.AI.LinearTask.LinearTask>","add_OnBegined","remove_OnBegined","0x14000007"
"RedSaw.AI.LinearTask.DecisionMaker","OnFailure","System.Action`1<RedSaw.AI.LinearTask.LinearTask>","add_OnFailure","remove_OnFailure","0x14000008"
"RedSaw.AI.LinearTask.DecisionMaker","OnBreaked","System.Action`1<RedSaw.AI.LinearTask.LinearTask>","add_OnBreaked","remove_OnBreaked","0x14000009"
"RedSaw.AI.LinearTask.DecisionMaker","OnSuccessed","System.Action`1<RedSaw.AI.LinearTask.LinearTask>","add_OnSuccessed","remove_OnSuccessed","0x1400000A"
"DolocTown.ApcManager","OnUpdateEvent","System.Action`1<System.Single>","add_OnUpdateEvent","remove_OnUpdateEvent","0x1400000B"
"DolocTown.ApcManager","OnFixedUpdateEvent","System.Action`1<System.Single>","add_OnFixedUpdateEvent","remove_OnFixedUpdateEvent","0x1400000C"
"DolocTown.ApcManager","OnPauseEvent","System.Action","add_OnPauseEvent","remove_OnPauseEvent","0x1400000D"
"DolocTown.ApcManager","OnResumeEvent","System.Action","add_OnResumeEvent","remove_OnResumeEvent","0x1400000E"
"DolocTown.MonsterController","OnHurtResumed","System.Action","add_OnHurtResumed","remove_OnHurtResumed","0x1400000F"
"DolocTown.SkillFactory","OnFixedUpdated","System.Action`1<System.Single>","add_OnFixedUpdated","remove_OnFixedUpdated","0x14000010"
"DolocTown.GameEvent","OnEventTriggered","System.Action`2<System.Object,DolocTown.GameEventArgs>","add_OnEventTriggered","remove_OnEventTriggered","0x14000011"
"DolocTown.FishRodHook","OnHooked","System.Action`1<DolocTown.FishingPool>","add_OnHooked","remove_OnHooked","0x14000012"
"DolocTown.DolocUserInput","OnInputDeviceChanged","System.Action`1<DolocTown.DolocInputDeviceType>","add_OnInputDeviceChanged","remove_OnInputDeviceChanged","0x14000013"
