"type","name","field_type","visibility","is_static","is_readonly","is_literal","constant","token"
"DolocAPI","CurrentInteractableObject","DolocTown.InteractableObject","public","True","False","False","","0x0400004C"
"DolocAPI","ActionTagRegex","System.Text.RegularExpressions.Regex","private","True","True","False","","0x04000050"
"DolocAPI/<>c__DisplayClass37_0","callback","System.Action","public","False","False","False","","0x04003D1F"
"DolocAPI/<>c","<>9__197_0","System.Action","public","True","False","False","","0x04003D21"
"DolocAPI/<>c","<>9__198_1","System.Action","public","True","False","False","","0x04003D22"
"DolocAPI/<>c","<>9__206_0","System.Action","public","True","False","False","","0x04003D23"
"DolocAPI/<>c","<>9__346_2","System.Action","public","True","False","False","","0x04003D25"
"DolocAPI/<>c","<>9__657_0","System.Action","public","True","False","False","","0x04003D2C"
"DolocAPI/<>c","<>9__659_0","System.Action","public","True","False","False","","0x04003D2D"
"DolocAPI/<>c","<>9__721_0","System.Func`2<DolocTown.ActionIconGroup,System.String>","public","True","False","False","","0x04003D2E"
"DolocAPI/<>c","<>9__804_0","System.Action","public","True","False","False","","0x04003D30"
"DolocAPI/<>c","<>9__910_0","System.Action","public","True","False","False","","0x04003D31"
"DolocAPI/<>c","<>9__911_0","System.Action","public","True","False","False","","0x04003D32"
"DolocAPI/<>c","<>9__1004_0","System.Func`2<DolocTown.FactionMissionUiState,System.Boolean>","public","True","False","False","","0x04003D3A"
"DolocAPI/<_WaitUntil>d__284","callback","System.Action","public","False","False","False","","0x04003D4C"
"DolocAPI/<_WaitWhile>d__286","callback","System.Action","public","False","False","False","","0x04003D51"
"DolocAPI/<>c__DisplayClass329_0","callback","System.Action","public","False","False","False","","0x04003D58"
"DolocAPI/<>c__DisplayClass330_0","callback","System.Action","public","False","False","False","","0x04003D5A"
"DolocAPI/<>c__DisplayClass331_0","callback","System.Action","public","False","False","False","","0x04003D5C"
"DolocAPI/<>c__DisplayClass332_0","callback","System.Action","public","False","False","False","","0x04003D5E"
"DolocAPI/<>c__DisplayClass333_0","callback","System.Action","public","False","False","False","","0x04003D61"
"DolocAPI/<>c__DisplayClass336_0","callback","System.Action","public","False","False","False","","0x04003D66"
"DolocAPI/<>c__DisplayClass346_0","callback","System.Action`1<System.Boolean>","public","False","False","False","","0x04003D68"
"DolocAPI/<>c__DisplayClass666_0","onConfirm","System.Action","public","False","False","False","","0x04003D75"
"DolocAPI/<>c__DisplayClass666_0","onCancel","System.Action","public","False","False","False","","0x04003D76"
"DolocAPI/<>c__DisplayClass667_0","onConfirm","System.Action","public","False","False","False","","0x04003D79"
"DolocAPI/<>c__DisplayClass668_0","onConfirm","System.Action","public","False","False","False","","0x04003D7D"
"DolocAPI/<>c__DisplayClass673_0","onFailedSubmit","System.Action`1<System.Int32>","public","False","False","False","","0x04003D83"
"DolocAPI/<>c__DisplayClass673_0","onSubmit","System.Action`2<System.Int32,System.Int32>","public","False","False","False","","0x04003D84"
"DolocAPI/<>c__DisplayClass685_0","callback","System.Action","public","False","False","False","","0x04003D87"
"DolocAPI/<>c__DisplayClass685_0","<>9__1","System.Action","public","False","False","False","","0x04003D88"
"DolocAPI/<>c__DisplayClass697_0","onConfirm","System.Action`1<System.String>","public","False","False","False","","0x04003D8C"
"DolocAPI/<>c__DisplayClass717_0","onEnd","System.Action","public","False","False","False","","0x04003D8D"
"DolocAPI/<>c__DisplayClass966_0","proto","DolocTown.Config.Mission.TreatyPortFactionInfo","public","False","False","False","","0x04003DCD"
"LRUCache`2","onRemove","System.Action`1<TValue>","private","False","True","False","","0x04000060"
"DolocTownGameStateBase","<DisposableEnter>k__BackingField","System.Action","private","False","False","False","","0x04000070"
"DolocTownGameStateBase","<DisposableExit>k__BackingField","System.Action","private","False","False","False","","0x04000071"
"DolocTownGameStateBase","<DisposablePause>k__BackingField","System.Action","private","False","False","False","","0x04000072"
"DolocTownGameStateBase","<DisposableResume>k__BackingField","System.Action","private","False","False","False","","0x04000073"
"GameStateMachine","__onUpdate","System.Action`1<System.Single>","private","False","False","False","","0x0400007A"
"GameStateMachine","__onLateUpdate","System.Action`1<System.Single>","private","False","False","False","","0x0400007B"
"GameStateMachine","__onFixedUpdate","System.Action`1<System.Single>","private","False","False","False","","0x0400007C"
"MonsterUtils/<>c__DisplayClass11_0","callback","System.Action","public","False","False","False","","0x04003DF3"
"MonsterUtils/<>c__DisplayClass12_0","shootAction","System.Action`1<UnityEngine.Vector2>","public","False","False","False","","0x04003DF4"
"MonsterUtils/<>c__DisplayClass13_0","callback","System.Action","public","False","False","False","","0x04003DF6"
"MonsterUtils/<>c__DisplayClass15_0","callback","System.Action","public","False","False","False","","0x04003DF7"
"MonsterUtils/<>c__DisplayClass16_0","callback","System.Action","public","False","False","False","","0x04003DF8"
"MonsterUtils/<>c__DisplayClass17_0","callback","System.Action","public","False","False","False","","0x04003DFC"
"MonsterUtils/<>c__DisplayClass18_0","callback","System.Action","public","False","False","False","","0x04003E01"
"MonsterUtils/<>c__DisplayClass19_0","callback","System.Action","public","False","False","False","","0x04003E03"
"MonsterUtils/<>c__DisplayClass20_0","callback","System.Action","public","False","False","False","","0x04003E04"
"MonsterUtils/<>c__DisplayClass21_0","callback","System.Action","public","False","False","False","","0x04003E05"
"MonsterUtils/<>c__DisplayClass22_0","callback","System.Action","public","False","False","False","","0x04003E06"
"DolocRopeRenderer","liveCallback","System.Action`1<UnityEngine.Vector2[]>","private","False","False","False","","0x0400008A"
"OneWayPlatformOnSlope","hasTouched","System.Boolean","private","False","False","False","","0x04000092"
"AgentStateManager","body","DolocTown.BodyController","private","False","True","False","","0x04000095"
"AgentStateManager","states","System.Collections.Generic.Dictionary`2<System.Type,AgentStateBase>","private","False","True","False","","0x04000096"
"AgentStateManager","<current>k__BackingField","AgentStateBase","private","False","False","False","","0x04000097"
"AgentStateManager","<IsFixed>k__BackingField","System.Boolean","private","False","False","False","","0x04000098"
