"type","name","full_name","return_type","parameters","visibility","is_static","is_virtual","is_abstract","is_constructor","has_body","body_code_size","token"
"DolocAPI","__LoadStaticAssets","System.Void DolocAPI::__LoadStaticAssets(System.Action)","System.Void","System.Action callback","public","True","False","False","False","True","105","0x06000040"
"DolocAPI","GetActionKeyIconGroup","System.Boolean DolocAPI::GetActionKeyIconGroup(System.String,DolocTown.ActionIconGroup&)","System.Boolean","System.String actionName; DolocTown.ActionIconGroup& iconGroup","public","True","False","False","False","True","18","0x060000CB"
"DolocAPI","GetActionKeyIconGroup","System.Boolean DolocAPI::GetActionKeyIconGroup(DolocTown.DolocInputDeviceType,System.String,DolocTown.ActionIconGroup&)","System.Boolean","DolocTown.DolocInputDeviceType deviceType; System.String actionName; DolocTown.ActionIconGroup& iconGroup","public","True","False","False","False","True","43","0x060000CC"
"DolocAPI","GetAllActionKeyIconGroup","System.Boolean DolocAPI::GetAllActionKeyIconGroup(DolocTown.DolocInputDeviceType,System.String,System.Collections.Generic.List`1<DolocTown.ActionIconGroup>&)","System.Boolean","DolocTown.DolocInputDeviceType deviceType; System.String actionName; System.Collections.Generic.List`1<DolocTown.ActionIconGroup>& iconGroups","public","True","False","False","False","True","43","0x060000CD"
"DolocAPI","Delay","UnityEngine.Coroutine DolocAPI::Delay(System.Single,System.Action)","UnityEngine.Coroutine","System.Single time; System.Action callback","public","True","False","False","False","True","13","0x060000E4"
"DolocAPI","DelayFrame","System.Void DolocAPI::DelayFrame(System.Action,System.Int32)","System.Void","System.Action callback; System.Int32 frame","public","True","False","False","False","True","13","0x060000E5"
"DolocAPI","TryExecute","System.Boolean DolocAPI::TryExecute(System.Action)","System.Boolean","System.Action callback","public","True","False","False","False","True","24","0x060000E6"
"DolocAPI","WaitUntil","System.Void DolocAPI::WaitUntil(System.Func`1<System.Boolean>,System.Action)","System.Void","System.Func`1<System.Boolean> predicate; System.Action callback","public","True","False","False","False","True","16","0x060000E9"
"DolocAPI","_WaitUntil","Cysharp.Threading.Tasks.UniTaskVoid DolocAPI::_WaitUntil(System.Func`1<System.Boolean>,System.Action)","Cysharp.Threading.Tasks.UniTaskVoid","System.Func`1<System.Boolean> predicate; System.Action callback","private","True","False","False","False","True","63","0x060000EA"
"DolocAPI","WaitWhile","System.Void DolocAPI::WaitWhile(System.Func`1<System.Boolean>,System.Action)","System.Void","System.Func`1<System.Boolean> predicate; System.Action callback","public","True","False","False","False","True","16","0x060000EB"
"DolocAPI","_WaitWhile","Cysharp.Threading.Tasks.UniTaskVoid DolocAPI::_WaitWhile(System.Func`1<System.Boolean>,System.Action)","Cysharp.Threading.Tasks.UniTaskVoid","System.Func`1<System.Boolean> predicate; System.Action callback","private","True","False","False","False","True","63","0x060000EC"
"DolocAPI","RegisterMsgListener","System.Void DolocAPI::RegisterMsgListener(DolocTown.Config.Settings.UserSettingType,System.Action`2<System.Object,DolocTown.GameEventArgs>)","System.Void","DolocTown.Config.Settings.UserSettingType evtType; System.Action`2<System.Object,DolocTown.GameEventArgs> callback","public","True","False","False","False","True","13","0x06000104"
"DolocAPI","UnregisterMsgListener","System.Void DolocAPI::UnregisterMsgListener(DolocTown.Config.Settings.UserSettingType,System.Action`2<System.Object,DolocTown.GameEventArgs>)","System.Void","DolocTown.Config.Settings.UserSettingType evtType; System.Action`2<System.Object,DolocTown.GameEventArgs> handler","public","True","False","False","False","True","13","0x06000105"
"DolocAPI","EnterCity","System.Boolean DolocAPI::EnterCity(DolocTown.CityRoom,UnityEngine.Vector2,System.Action)","System.Boolean","DolocTown.CityRoom room; UnityEngine.Vector2 remotePosition; System.Action callback","public","True","False","False","False","True","52","0x06000112"
"DolocAPI","EnterCity","System.Boolean DolocAPI::EnterCity(System.String,UnityEngine.Vector2,System.Action)","System.Boolean","System.String shortName; UnityEngine.Vector2 remotePosition; System.Action callback","public","True","False","False","False","True","204","0x06000113"
"DolocAPI","EnterFarm","System.Boolean DolocAPI::EnterFarm(DolocTown.TemplateRoom,UnityEngine.Vector2,System.Action)","System.Boolean","DolocTown.TemplateRoom room; UnityEngine.Vector2 position; System.Action callback","public","True","False","False","False","True","52","0x06000114"
"DolocAPI","EnterFarm","System.Boolean DolocAPI::EnterFarm(System.String,UnityEngine.Vector2,System.Action)","System.Boolean","System.String roomGuid; UnityEngine.Vector2 position; System.Action callback","public","True","False","False","False","True","185","0x06000115"
"DolocAPI","EnterDungeon","System.Boolean DolocAPI::EnterDungeon(System.String,System.Action)","System.Boolean","System.String name; System.Action callback","public","True","False","False","False","True","228","0x06000116"
"DolocAPI","EnterRoom","System.Boolean DolocAPI::EnterRoom(System.String,UnityEngine.Vector2,System.Action)","System.Boolean","System.String roomId; UnityEngine.Vector2 position; System.Action callback","public","True","False","False","False","True","21","0x06000118"
"DolocAPI","EnterRoom","System.Boolean DolocAPI::EnterRoom(DolocTown.Room,UnityEngine.Vector2,System.Action)","System.Boolean","DolocTown.Room room; UnityEngine.Vector2 position; System.Action callback","public","True","False","False","False","True","127","0x06000119"
"DolocAPI","DoTransport","System.Boolean DolocAPI::DoTransport(System.String,System.Action,System.Boolean,System.Boolean,System.Boolean)","System.Boolean","System.String markPointId; System.Action callback; System.Boolean resetVelocity; System.Boolean disableFadeIn; System.Boolean disableFadeOut","public","True","False","False","False","True","18","0x0600011B"
"DolocAPI","DoTransport","System.Boolean DolocAPI::DoTransport(System.String,UnityEngine.Vector2,System.Action,System.Boolean,System.Boolean,System.Boolean,DolocTown.TransportOverrideInfo)","System.Boolean","System.String markPointId; UnityEngine.Vector2 offset; System.Action callback; System.Boolean resetVelocity; System.Boolean disableFadeIn; System.Boolean disableFadeOut; DolocTown.TransportOverrideInfo overrideInfo","public","True","False","False","False","True","206","0x0600011C"
"DolocAPI","ExtendFarm","System.Boolean DolocAPI::ExtendFarm(System.String,System.Action`1<System.Boolean>)","System.Boolean","System.String farmName; System.Action`1<System.Boolean> callback","public","True","False","False","False","True","180","0x06000123"
"DolocAPI","RunGameProcess","System.Boolean DolocAPI::RunGameProcess(System.String,System.Action)","System.Boolean","System.String name; System.Action callback","public","True","False","False","False","True","66","0x06000129"
"DolocAPI","RunGameProcess","System.Boolean DolocAPI::RunGameProcess(DolocTown.NodeCanvas.GameProcessGraph,System.Action)","System.Boolean","DolocTown.NodeCanvas.GameProcessGraph graph; System.Action callback","public","True","False","False","False","True","24","0x0600012A"
"DolocAPI","RefreshScanner","System.Void DolocAPI::RefreshScanner()","System.Void","","public","True","False","False","False","True","51","0x06000132"
"DolocAPI","TransitFadeInout","System.Void DolocAPI::TransitFadeInout(System.Action,System.Single,System.Single,System.Single)","System.Void","System.Action callbackOnFadeIn; System.Single fadeInDuration; System.Single fadeOutDuration; System.Single waitDuration","public","True","False","False","False","True","20","0x0600015C"
"DolocAPI","TransitAnimation","System.Void DolocAPI::TransitAnimation(System.Action,System.Single)","System.Void","System.Action callbackOnAnimation; System.Single waitDuration","public","True","False","False","False","True","1","0x0600015D"
"DolocAPI","get_CurrentWater","DolocTown.InteractiveWater DolocAPI::get_CurrentWater()","DolocTown.InteractiveWater","","public","True","False","False","False","True","6","0x0600017F"
"DolocAPI","StartFactionMission","System.Void DolocAPI::StartFactionMission(System.String)","System.Void","System.String missionId","public","True","False","False","False","True","13","0x060001D3"
"DolocAPI","IsFactionMissionComplete","System.Boolean DolocAPI::IsFactionMissionComplete(System.String)","System.Boolean","System.String factionMissionId","public","True","False","False","False","True","44","0x060001D4"
"DolocAPI","get_IsCurrentStateSupportInteract","System.Boolean DolocAPI::get_IsCurrentStateSupportInteract()","System.Boolean","","public","True","False","False","False","True","11","0x060001E7"
"DolocAPI","QueryTreatyPortFaction","System.Boolean DolocAPI::QueryTreatyPortFaction(System.String,DolocTown.TreatyPortFaction&)","System.Boolean","System.String factionName; DolocTown.TreatyPortFaction& faction","public","True","False","False","False","True","23","0x06000205"
"DolocAPI","QueryFactionJoinState","System.Boolean DolocAPI::QueryFactionJoinState(DolocTown.Config.Mission.FactionType)","System.Boolean","DolocTown.Config.Mission.FactionType factionType","public","True","False","False","False","True","22","0x06000206"
