"type","name","full_name","return_type","parameters","visibility","is_static","is_virtual","is_abstract","is_constructor","has_body","body_code_size","token"
"AddressablesUtility","GetAddressFromAssetReference","System.String AddressablesUtility::GetAddressFromAssetReference(UnityEngine.AddressableAssets.AssetReference)","System.String","UnityEngine.AddressableAssets.AssetReference reference","public","True","False","False","False","True","56","0x0600001A"
"SpawnLutTest/<>c","<Test>b__9_0","System.Single SpawnLutTest/<>c::<Test>b__9_0(DolocTown.Config.Global.SpawnData)","System.Single","DolocTown.Config.Global.SpawnData x","internal","False","False","False","False","True","7","0x06009522"
"DolocAPI","get_assets","DolocBundleManager DolocAPI::get_assets()","DolocBundleManager","","public","True","False","False","False","True","6","0x0600003E"
"DolocAPI","set_assets","System.Void DolocAPI::set_assets(DolocBundleManager)","System.Void","DolocBundleManager value","private","True","False","False","False","True","7","0x0600003F"
"DolocAPI","__LoadStaticAssets","System.Void DolocAPI::__LoadStaticAssets(System.Action)","System.Void","System.Action callback","public","True","False","False","False","True","105","0x06000040"
"DolocAPI","get_GlobalParameter","DolocTown.Config.Settings.GlobalParameterInfo DolocAPI::get_GlobalParameter()","DolocTown.Config.Settings.GlobalParameterInfo","","public","True","False","False","False","True","16","0x06000057"
"DolocAPI","get_gameConfig","DolocTown.GameServiceLocator.IGameConfigProvider DolocAPI::get_gameConfig()","DolocTown.GameServiceLocator.IGameConfigProvider","","public","True","False","False","False","True","6","0x06000058"
"DolocAPI","set_gameConfig","System.Void DolocAPI::set_gameConfig(DolocTown.GameServiceLocator.IGameConfigProvider)","System.Void","DolocTown.GameServiceLocator.IGameConfigProvider value","private","True","False","False","False","True","7","0x06000059"
"DolocAPI","get_eftConfig","DolocTown.GameServiceLocator.IEffectsConfigProvider DolocAPI::get_eftConfig()","DolocTown.GameServiceLocator.IEffectsConfigProvider","","public","True","False","False","False","True","6","0x0600005A"
"DolocAPI","set_eftConfig","System.Void DolocAPI::set_eftConfig(DolocTown.GameServiceLocator.IEffectsConfigProvider)","System.Void","DolocTown.GameServiceLocator.IEffectsConfigProvider value","private","True","False","False","False","True","7","0x0600005B"
"DolocAPI","__InstallConfigs","System.Void DolocAPI::__InstallConfigs()","System.Void","","public","True","False","False","False","True","31","0x0600007C"
"DolocAPI","get_modManager","DolocTown.Config.ModManager DolocAPI::get_modManager()","DolocTown.Config.ModManager","","public","True","False","False","False","True","11","0x06000091"
"DolocAPI","CheckAsset","System.Boolean DolocAPI::CheckAsset(System.String)","System.Boolean","System.String address","public","True","False","False","False","True","17","0x060000A8"
"DolocAPI","GetAsset","T DolocAPI::GetAsset(System.String,System.Boolean)","T","System.String address; System.Boolean useLog","public","True","False","False","False","True","18","0x060000A9"
"DolocAPI","TryGetAsset","System.Boolean DolocAPI::TryGetAsset(System.String,T&)","System.Boolean","System.String address; T& asset","public","True","False","False","False","True","41","0x060000AA"
"DolocAPI","GetAsset","T DolocAPI::GetAsset(DolocGameAssets)","T","DolocGameAssets address","public","True","False","False","False","True","25","0x060000AB"
"DolocAPI","LoadSprite","UnityEngine.Sprite DolocAPI::LoadSprite(System.String)","UnityEngine.Sprite","System.String imageName","public","True","False","False","False","True","8","0x060000AC"
"DolocAPI","QueryItemProto","System.Boolean DolocAPI::QueryItemProto(System.String,DolocTown.Config.Item.ItemInfo&)","System.Boolean","System.String name; DolocTown.Config.Item.ItemInfo& proto","public","True","False","False","False","True","33","0x060000B3"
