"type","method","method_full_name","offset","length","text"
"DolocAPI","__LoadStaticAssets","System.Void DolocAPI::__LoadStaticAssets(System.Action)","IL_0039","12","准备加载游戏静态资源.."
"DolocAPI","QueryItemProto","System.Boolean DolocAPI::QueryItemProto(System.String,DolocTown.Config.Item.ItemInfo&)","IL_0010","0",""
"DolocAPI","QueryItemSpawnLut","System.Boolean DolocAPI::QueryItemSpawnLut(System.String,DolocTown.Config.Item.ItemSpawnInfo&)","IL_0010","0",""
"DolocAPI","QueryBuilding","System.Boolean DolocAPI::QueryBuilding(System.String,DolocTown.Config.Building.BuildingInfo&)","IL_0010","0",""
"DolocAPI","QueryResourceProto","System.Boolean DolocAPI::QueryResourceProto(System.String,DolocTown.Config.Resource.ResourceInfo&)","IL_0010","0",""
"DolocAPI","QueryVegetationProto","System.Boolean DolocAPI::QueryVegetationProto(System.String,DolocTown.Config.Resource.VegetationInfo&)","IL_0010","0",""
"DolocAPI","RollFish","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFish(System.String,System.Int32)","IL_0022","6","池塘配置表"""
"DolocAPI","RollFish","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFish(System.String,System.Int32)","IL_002D","3","""丢失"
"DolocAPI","RollFish","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFish(System.String,System.Int32)","IL_0050","6","池塘配置表"""
"DolocAPI","RollFish","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFish(System.String,System.Int32)","IL_005B","11","""中没有设置任何鱼原型"
"DolocAPI","RollFishByRarity","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFishByRarity(System.String,System.Int32)","IL_002B","6","池塘配置表"""
"DolocAPI","RollFishByRarity","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFishByRarity(System.String,System.Int32)","IL_0031","3","""丢失"
"DolocAPI","RollFishByRarity","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFishByRarity(System.String,System.Int32)","IL_004F","6","池塘配置表"""
"DolocAPI","RollFishByRarity","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFishByRarity(System.String,System.Int32)","IL_0055","11","""中没有设置任何鱼原型"
"DolocAPI","ShowTextByConfig","System.Void DolocAPI::ShowTextByConfig(System.String)","IL_000F","0",""
"DolocAPI","ShowTextByConfig","System.Void DolocAPI::ShowTextByConfig(System.String)","IL_00E7","12","暂不支持显示场景文本提示"
"DolocAPI","RaiseItemObtainTip","System.Void DolocAPI::RaiseItemObtainTip(System.String,UnityEngine.Sprite,System.String,System.Int32,System.Boolean)","IL_000C","1","-"
"DolocAPI","GetParsedKeystrokeText","System.String DolocAPI::GetParsedKeystrokeText(DolocTown.DolocInputDeviceType,System.String)","IL_00A8","14","<sprite name="""
"DolocAPI","GetParsedKeystrokeText","System.String DolocAPI::GetParsedKeystrokeText(DolocTown.DolocInputDeviceType,System.String)","IL_00DA","14","<sprite name="""
"DolocAPI","RefreshResourceByType","System.Void DolocAPI::RefreshResourceByType(DolocTown.Room,DolocTown.Config.Resource.DungeonResourceType)","IL_00EB","0",""
"DolocAPI","GenerateDropItems","System.Boolean DolocAPI::GenerateDropItems(DolocTown.IDropItemHost,DolocTown.Config.Item.ItemSpawnEntry,System.Int32,UnityEngine.Vector2,System.Boolean)","IL_001E","0",""
"DolocAPI","GenerateDropItems","System.Boolean DolocAPI::GenerateDropItems(DolocTown.IDropItemHost,DolocTown.Config.Item.ItemSpawnEntry,UnityEngine.Vector2,System.Boolean)","IL_0032","0",""
"DolocAPI/<>c__DisplayClass37_0","<__LoadStaticAssets>b__0","System.Void DolocAPI/<>c__DisplayClass37_0::<__LoadStaticAssets>b__0(System.Boolean)","IL_000B","18","所有资源加载完毕, 耗时:{0}ms"
"DolocAPI/<>c__DisplayClass37_0","<__LoadStaticAssets>b__0","System.Void DolocAPI/<>c__DisplayClass37_0::<__LoadStaticAssets>b__0(System.Boolean)","IL_003A","8","所有资源加载成功"
"DolocAPI/<>c__DisplayClass37_0","<__LoadStaticAssets>b__0","System.Void DolocAPI/<>c__DisplayClass37_0::<__LoadStaticAssets>b__0(System.Boolean)","IL_006C","15","资源加载失败,游戏将不会初始化"
"DolocAPI/<>c__DisplayClass37_0","<__LoadStaticAssets>b__0","System.Void DolocAPI/<>c__DisplayClass37_0::<__LoadStaticAssets>b__0(System.Boolean)","IL_0076","16","由于资源加载失败,游戏启动失败!"
"DolocConst",".cctor","System.Void DolocConst::.cctor()","IL_0032","23","<sprite name=""default"">"
"DolocUtils","ChangeSpriteColor","System.String DolocUtils::ChangeSpriteColor(System.String,System.String)","IL_000D","36","<sprite name=""([^""]+)"" color=#\w{6}>"
"DolocUtils","ChangeSpriteColor","System.String DolocUtils::ChangeSpriteColor(System.String,System.String)","IL_0013","23","<sprite name=""([^""]+)"">"
"DolocUtils","FindSelectable","UnityEngine.UI.Selectable DolocUtils::FindSelectable(UnityEngine.UI.Selectable,UnityEngine.Vector3,UnityEngine.UI.Selectable[],System.Single,System.Single,System.Boolean)","IL_0008","24","distanceWeight: {0} 应大于0"
"DolocUtils/<>c__DisplayClass39_0","<ChangeSpriteColor>b__0","System.String DolocUtils/<>c__DisplayClass39_0::<ChangeSpriteColor>b__0(System.Text.RegularExpressions.Match)","IL_0008","14","<sprite name="""
"DolocUtils/<>c__DisplayClass39_0","<ChangeSpriteColor>b__0","System.String DolocUtils/<>c__DisplayClass39_0::<ChangeSpriteColor>b__0(System.Text.RegularExpressions.Match)","IL_0024","8",""" color="
"DolocUtils/<>c__DisplayClass39_0","<ChangeSpriteColor>b__0","System.String DolocUtils/<>c__DisplayClass39_0::<ChangeSpriteColor>b__0(System.Text.RegularExpressions.Match)","IL_0035","1",">"
"DolocUtils/<>c__DisplayClass39_0","<ChangeSpriteColor>b__1","System.String DolocUtils/<>c__DisplayClass39_0::<ChangeSpriteColor>b__1(System.Text.RegularExpressions.Match)","IL_0008","14","<sprite name="""
"DolocUtils/<>c__DisplayClass39_0","<ChangeSpriteColor>b__1","System.String DolocUtils/<>c__DisplayClass39_0::<ChangeSpriteColor>b__1(System.Text.RegularExpressions.Match)","IL_0024","8",""" color="
"DolocUtils/<>c__DisplayClass39_0","<ChangeSpriteColor>b__1","System.String DolocUtils/<>c__DisplayClass39_0::<ChangeSpriteColor>b__1(System.Text.RegularExpressions.Match)","IL_0035","1",">"
"DolocAssetCache","AddAsset","System.Void DolocAssetCache::AddAsset(UnityEngine.Object)","IL_001A","25","RuntimeAnimatorController"
"DolocAssetCache","AddSpriteAtlas","System.Void DolocAssetCache::AddSpriteAtlas(UnityEngine.U2D.SpriteAtlas)","IL_0000","6","Sprite"
"DolocAssetCache","GetAssetName","System.String DolocAssetCache::GetAssetName(UnityEngine.Object)","IL_0006","7","(Clone)"
"DolocAssetCache","GetAssetName","System.String DolocAssetCache::GetAssetName(UnityEngine.Object)","IL_000B","0",""
"DolocAssetCache","CheckHandleState","System.Void DolocAssetCache::CheckHandleState(UnityEngine.ResourceManagement.AsyncOperations.AsyncOperationHandle`1<System.Collections.Generic.IList`1<T>>)","IL_000A","12","{0}.{1}加载成功!"
"DolocAssetCache","CheckHandleState","System.Void DolocAssetCache::CheckHandleState(UnityEngine.ResourceManagement.AsyncOperations.AsyncOperationHandle`1<System.Collections.Generic.IList`1<T>>)","IL_002A","13","{0}.{1}加载失败.."
"DolocAssetCache","GetAsset","TAsset DolocAssetCache::GetAsset(System.String,System.Boolean)","IL_009B","18","获取资源失败！typeName: <"
"DolocAssetCache","GetAsset","TAsset DolocAssetCache::GetAsset(System.String,System.Boolean)","IL_00A7","13",">, address: <"
"DolocAssetCache","GetAsset","TAsset DolocAssetCache::GetAsset(System.String,System.Boolean)","IL_00B3","1",">"
"DolocBundleManager","LoadAsync","System.Void DolocBundleManager::LoadAsync(System.Action`1<System.Boolean>)","IL_0013","8","正在加载游戏资源"
"DolocBundleManager","LoadAsync","System.Void DolocBundleManager::LoadAsync(System.Action`1<System.Boolean>)","IL_003F","11","加载所有的Game资源"
"DolocBundleManager","LoadLubanConfigs","System.Boolean DolocBundleManager::LoadLubanConfigs()","IL_0000","7","加载配置表.."
"DolocBundleManager","LoadLubanConfigs","System.Boolean DolocBundleManager::LoadLubanConfigs()","IL_0012","7","加载配置表失败"
"DolocBundleManager","LoadLubanConfigs","System.Boolean DolocBundleManager::LoadLubanConfigs()","IL_001D","7","加载配置表成功"
"DolocBundleManager","LoadRooms","System.Boolean DolocBundleManager::LoadRooms()","IL_0000","9","正在加载所有的房间"
"DolocBundleManager","LoadRooms","System.Boolean DolocBundleManager::LoadRooms()","IL_004B","3","房间"""
