"type","name","field_type","visibility","is_static","is_readonly","is_literal","constant","token"
"OneWayColliderHandler","effector2D","UnityEngine.PlatformEffector2D","private","False","False","False","","0x0400008B"
"OneWayPlatformOnSlope","bounds1","UnityEngine.Vector4","private","False","False","False","","0x04000090"
"OneWayPlatformOnSlope","bounds2","UnityEngine.Vector4","private","False","False","False","","0x04000091"
"OneWayPlatformOnSlope","hasTouched","System.Boolean","private","False","False","False","","0x04000092"
"OneWayPlatformOnSlope","collider2d","UnityEngine.BoxCollider2D","private","False","False","False","","0x04000093"
"OneWayPlatformOnSlope","platformCollider","UnityEngine.EdgeCollider2D","private","False","False","False","","0x04000094"
"GroundChecker","onewayPlatforms","System.Collections.Generic.List`1<DolocTown.PlatformEntityOneway>","private","False","True","False","","0x040000A3"
"DolocConst","PlatformLayerName","System.String","public","True","False","True","Platform","0x0400011E"
"DolocConst","PlatformExcludeLayerName","System.String","public","True","False","True","PlatformExclude","0x04000120"
"DolocConst","BuildingsForegroundLayerName","System.String","public","True","False","True","BuildingsForeground","0x04000122"
"DolocGameAssets","UI_MENUICON_PLATFORM","DolocGameAssets","public","True","False","True","92","0x040001D8"
"DolocGameAssets","UI_MENUICON_BUILDINGS","DolocGameAssets","public","True","False","True","93","0x040001D9"
"DolocGameAssets","GAME_ENTITY_PLATFORMCOLLIDER","DolocGameAssets","public","True","False","True","105","0x040001E5"
"DolocGameAssets","GAME_ENTITY_PLATFORM_INDICATOR","DolocGameAssets","public","True","False","True","129","0x040001FD"
"DolocGameAssets","GAME_ENTITY_BUILDING","DolocGameAssets","public","True","False","True","135","0x04000203"
"DolocGameAssets","GAME_ENTITY_BUILDING_GATE","DolocGameAssets","public","True","False","True","136","0x04000204"
"DolocGameAssets","GAME_ENTITY_BUILDING_GATE_CELLAR","DolocGameAssets","public","True","False","True","137","0x04000205"
"DolocGameAssets","GAME_ENTITY_BUILDING_WINDOW","DolocGameAssets","public","True","False","True","190","0x0400023A"
"XLua.MethodWrapsCache","constructorCache","System.Collections.Generic.Dictionary`2<System.Type,XLua.LuaDLL.lua_CSFunction>","private","False","False","False","","0x04000418"
"RedSaw.Web.WebHelper","DeviceInfo","Newtonsoft.Json.Linq.JObject","private","True","True","False","","0x040004CC"
"DolocTown.RewardBuildingUnlock","buildingName","System.String","public","False","True","False","","0x0400081A"
"DolocTown.RewardPlatformUnlock","platformName","System.String","public","False","True","False","","0x04000822"
"DolocTown.DroneController","deviceType","DolocTown.DolocInputDeviceType","private","False","False","False","","0x040008BF"
"DolocTown.AnimalMap","_platformStairs","System.Collections.Generic.Dictionary`2<UnityEngine.Vector2Int,DolocTown.AnimalStair>","private","False","False","False","","0x04000B6E"
"DolocTown.AnimalMap","_buildingStairs","System.Collections.Generic.Dictionary`2<UnityEngine.Vector2Int,DolocTown.AnimalStair>","private","False","False","False","","0x04000B6F"
"DolocTown.AnimalMap/<FromBuilding>d__24","<>1__state","System.Int32","private","False","False","False","","0x040041C4"
"DolocTown.AnimalMap/<FromBuilding>d__24","<>2__current","DolocTown.AnimalStair","private","False","False","False","","0x040041C5"
"DolocTown.AnimalMap/<FromBuilding>d__24","<>l__initialThreadId","System.Int32","private","False","False","False","","0x040041C6"
"DolocTown.AnimalMap/<FromBuilding>d__24","building","DolocTown.Building","private","False","False","False","","0x040041C7"
