"namespace","name","full_name","kind","visibility","base_type","interfaces","is_abstract","is_sealed","declaring_type","methods","fields","properties","events","token"
"","PlatformTest","PlatformTest","class","public","DolocTown.PlatformEntityOneway","","False","False","","2","0","0","0","0x02000019"
"","OneWayPlatformOnSlope","OneWayPlatformOnSlope","class","public","UnityEngine.MonoBehaviour","","False","False","","7","5","0","0","0x0200001D"
"DolocTown","RewardBuildingUnlock","DolocTown.RewardBuildingUnlock","class","public","DolocTown.Reward","","False","False","","8","1","4","0","0x02000206"
"DolocTown","RewardPlatformUnlock","DolocTown.RewardPlatformUnlock","class","public","DolocTown.Reward","","False","False","","8","1","4","0","0x0200020B"
"DolocTown","DungeonResourceBuildingsGarbage","DolocTown.DungeonResourceBuildingsGarbage","class","public","DolocTown.DungeonResource","","False","False","","5","0","0","0","0x020002CC"
"","<FromBuilding>d__24","DolocTown.AnimalMap/<FromBuilding>d__24","class","private","System.Object","System.Collections.Generic.IEnumerable`1<DolocTown.AnimalStair> | System.Collections.IEnumerable | System.Collections.Generic.IEnumerator`1<DolocTown.AnimalStair> | System.Collections.IEnumerator | System.IDisposable","False","True","DolocTown.AnimalMap","10","6","2","0","0x02000F40"
"","<FromBuildingFloor>d__25","DolocTown.AnimalMap/<FromBuildingFloor>d__25","class","private","System.Object","System.Collections.Generic.IEnumerable`1<DolocTown.AnimalStair> | System.Collections.IEnumerable | System.Collections.Generic.IEnumerator`1<DolocTown.AnimalStair> | System.Collections.IEnumerator | System.IDisposable","False","True","DolocTown.AnimalMap","9","6","2","0","0x02000F41"
"","<FromBuildingCeiling>d__26","DolocTown.AnimalMap/<FromBuildingCeiling>d__26","class","private","System.Object","System.Collections.Generic.IEnumerable`1<DolocTown.AnimalStair> | System.Collections.IEnumerable | System.Collections.Generic.IEnumerator`1<DolocTown.AnimalStair> | System.Collections.IEnumerator | System.IDisposable","False","True","DolocTown.AnimalMap","9","6","2","0","0x02000F42"
"DolocTown","AnimalMapForBuilding","DolocTown.AnimalMapForBuilding","class","public","System.Object","","False","False","","5","2","1","0","0x0200032D"
"","<>c","DolocTown.AnimalMapForBuilding/<>c","class","private","System.Object","","False","True","DolocTown.AnimalMapForBuilding","3","2","0","0","0x02000F63"
