"namespace","name","full_name","kind","visibility","base_type","interfaces","is_abstract","is_sealed","declaring_type","methods","fields","properties","events","token"
"","DolocRopeRenderer","DolocRopeRenderer","class","public","UnityEngine.MonoBehaviour","RedSaw.IRecyclable","False","False","","19","7","5","0","0x0200001B"
"DolocTown","DebugCrops","DolocTown.DebugCrops","class","public","UnityEngine.MonoBehaviour","","False","False","","4","7","1","0","0x02000192"
"","<>c","DolocTown.DebugCrops/<>c","class","private","System.Object","","False","True","DolocTown.DebugCrops","3","2","0","0","0x02000E90"
"DolocTown","PlantDocumentManager","DolocTown.PlantDocumentManager","class","public","System.Object","","False","False","","14","6","5","0","0x020001CA"
"DolocTown","MonsterAI_Plant","DolocTown.MonsterAI_Plant","class","public","DolocTown.MonsterAI","","False","False","","3","1","1","0","0x0200025F"
"","IdleState","DolocTown.MonsterAI_Plant/IdleState","class","private","DolocTown.MonsterStateManager/MonsterState`1<DolocTown.MonsterAI_Plant>","","False","False","DolocTown.MonsterAI_Plant","2","0","0","0","0x02000EF3"
"","AttackState","DolocTown.MonsterAI_Plant/AttackState","class","private","DolocTown.MonsterStateManager/AttackState`1<DolocTown.MonsterAI_Plant>","","False","False","DolocTown.MonsterAI_Plant","3","0","0","0","0x02000EF4"
"DolocTown","MonsterAI_SeedCarrier","DolocTown.MonsterAI_SeedCarrier","class","public","DolocTown.MonsterAI","","False","False","","4","1","2","0","0x02000260"
"","WanderState","DolocTown.MonsterAI_SeedCarrier/WanderState","class","private","DolocTown.MonsterStateManager/MoveState`1<DolocTown.MonsterAI_SeedCarrier>","","False","False","DolocTown.MonsterAI_SeedCarrier","3","0","0","0","0x02000EF5"
"","AttackState","DolocTown.MonsterAI_SeedCarrier/AttackState","class","private","DolocTown.MonsterStateManager/AttackState`1<DolocTown.MonsterAI_SeedCarrier>","","False","False","DolocTown.MonsterAI_SeedCarrier","3","0","0","0","0x02000EF6"
"DolocTown","DungeonResourceCrop","DolocTown.DungeonResourceCrop","class","public","DolocTown.DungeonResource","","False","False","","13","0","1","0","0x020002CD"
"DolocTown","LuminousPlant","DolocTown.LuminousPlant","class","public","DolocTown.SceneLight","","False","False","","5","3","0","0","0x020002E4"
"DolocTown","VegetationCrop","DolocTown.VegetationCrop","class","public","DolocTown.VegetationGrow","","False","False","","10","0","1","0","0x020002EA"
"DolocTown","VegetationGrow","DolocTown.VegetationGrow","class","public","DolocTown.Vegetation","","False","False","","17","4","6","0","0x020002ED"
