"caller_type","caller_method","caller_full_name","offset","opcode","target_type","target_method","target_full_name"
"DolocAPI","QueryFishDocument","System.Boolean DolocAPI::QueryFishDocument(System.String,DolocTown.Config.Fishing.FishDocumentInfo&)","IL_0012","callvirt","DolocTown.Config.Tables","get_TbFishDocument","DolocTown.Config.Fishing.TbFishDocument DolocTown.Config.Tables::get_TbFishDocument()"
"DolocAPI","QueryFishDocument","System.Boolean DolocAPI::QueryFishDocument(System.String,DolocTown.Config.Fishing.FishDocumentInfo&)","IL_0017","callvirt","DolocTown.Config.Fishing.TbFishDocument","get_DataMap","System.Collections.Generic.Dictionary`2<System.String,DolocTown.Config.Fishing.FishDocumentInfo> DolocTown.Config.Fishing.TbFishDocument::get_DataMap()"
"DolocAPI","QueryFishDocument","System.Boolean DolocAPI::QueryFishDocument(System.String,DolocTown.Config.Fishing.FishDocumentInfo&)","IL_001E","callvirt","System.Collections.Generic.Dictionary`2<System.String,DolocTown.Config.Fishing.FishDocumentInfo>","TryGetValue","System.Boolean System.Collections.Generic.Dictionary`2<System.String,DolocTown.Config.Fishing.FishDocumentInfo>::TryGetValue(!0,!1&)"
"DolocAPI","GetAnimalAllProduce","System.Collections.Generic.IEnumerable`1<System.String> DolocAPI::GetAnimalAllProduce(System.String)","IL_0002","newobj","DolocAPI/<GetAnimalAllProduce>d__262",".ctor","System.Void DolocAPI/<GetAnimalAllProduce>d__262::.ctor(System.Int32)"
"DolocAPI","RollFish","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFish(System.String,System.Int32)","IL_001B","callvirt","DolocAPI/<>c__DisplayClass364_0","<RollFish>g__TryGetFishingPoolInfo|6","System.Boolean DolocAPI/<>c__DisplayClass364_0::<RollFish>g__TryGetFishingPoolInfo|6(DolocTown.Config.Fishing.FishingPoolInfo&)"
"DolocAPI","RollFish","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFish(System.String,System.Int32)","IL_0044","callvirt","DolocTown.Config.Fishing.FishingPoolInfo","get_Fishes","System.Collections.Generic.List`1<System.String> DolocTown.Config.Fishing.FishingPoolInfo::get_Fishes()"
"DolocAPI","RollFish","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFish(System.String,System.Int32)","IL_0073","callvirt","DolocTown.Config.Fishing.FishingPoolInfo","get_GarbageProbability","System.Single DolocTown.Config.Fishing.FishingPoolInfo::get_GarbageProbability()"
"DolocAPI","RollFish","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFish(System.String,System.Int32)","IL_0088","callvirt","DolocTown.Config.Fishing.FishingPoolInfo","get_Fishes_Ref","System.Collections.Generic.List`1<DolocTown.Config.Fishing.FishInfo> DolocTown.Config.Fishing.FishingPoolInfo::get_Fishes_Ref()"
"DolocAPI","RollFish","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFish(System.String,System.Int32)","IL_009B","ldftn","DolocAPI/<>c","<RollFish>b__364_0","System.Boolean DolocAPI/<>c::<RollFish>b__364_0(DolocTown.Config.Fishing.FishInfo)"
"DolocAPI","RollFish","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFish(System.String,System.Int32)","IL_00A1","newobj","System.Func`2<DolocTown.Config.Fishing.FishInfo,System.Boolean>",".ctor","System.Void System.Func`2<DolocTown.Config.Fishing.FishInfo,System.Boolean>::.ctor(System.Object,System.IntPtr)"
"DolocAPI","RollFish","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFish(System.String,System.Int32)","IL_00AC","call","System.Linq.Enumerable","Count","System.Int32 System.Linq.Enumerable::Count<DolocTown.Config.Fishing.FishInfo>(System.Collections.Generic.IEnumerable`1<!!0>,System.Func`2<!!0,System.Boolean>)"
"DolocAPI","RollFish","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFish(System.String,System.Int32)","IL_00E0","callvirt","DolocTown.Config.Fishing.FishingPoolInfo","get_Fishes_Ref","System.Collections.Generic.List`1<DolocTown.Config.Fishing.FishInfo> DolocTown.Config.Fishing.FishingPoolInfo::get_Fishes_Ref()"
"DolocAPI","RollFish","DolocTown.Config.Fishing.FishInfo DolocAPI::RollFish(System.String,System.Int32)","IL_00E6","ldftn","DolocAPI/<>c__DisplayClass364_0","<RollFish>b__1","System.Boolean DolocAPI/<>c__DisplayClass364_0::<RollFish>b__1(DolocTown.Config.Fishing.FishInfo)"
