"type","name","field_type","visibility","is_static","is_readonly","is_literal","constant","token"
"DolocAPI/<>c","<>9__364_0","System.Func`2<DolocTown.Config.Fishing.FishInfo,System.Boolean>","public","True","False","False","","0x04003D26"
"DolocAPI/<>c","<>9__364_2","System.Func`2<DolocTown.Config.Fishing.FishInfo,System.Boolean>","public","True","False","False","","0x04003D27"
"DolocAPI/<>c","<>9__364_3","System.Func`2<DolocTown.Config.Fishing.FishInfo,System.Int32>","public","True","False","False","","0x04003D28"
"DolocAPI/<>c","<>9__365_0","System.Func`2<DolocTown.Config.Fishing.FishInfo,System.Boolean>","public","True","False","False","","0x04003D29"
"DolocAPI/<>c","<>9__365_2","System.Func`2<DolocTown.Config.Fishing.FishInfo,System.Boolean>","public","True","False","False","","0x04003D2A"
"DolocAPI/<GetAnimalAllProduce>d__262","<>1__state","System.Int32","private","False","False","False","","0x04003D42"
"DolocAPI/<GetAnimalAllProduce>d__262","<>2__current","System.String","private","False","False","False","","0x04003D43"
"DolocAPI/<GetAnimalAllProduce>d__262","<>l__initialThreadId","System.Int32","private","False","False","False","","0x04003D44"
"DolocAPI/<GetAnimalAllProduce>d__262","animalName","System.String","private","False","False","False","","0x04003D45"
"DolocAPI/<GetAnimalAllProduce>d__262","<>3__animalName","System.String","public","False","False","False","","0x04003D46"
"DolocAPI/<GetAnimalAllProduce>d__262","<>7__wrap1","System.Collections.Generic.List`1/Enumerator<DolocTown.Config.Item.ItemSpawnData>","private","False","False","False","","0x04003D47"
"DolocAPI/<GetAnimalAllProduce>d__262","<>7__wrap2","System.Collections.Generic.List`1/Enumerator<DolocTown.Config.Animal.AnimalHusbandryData>","private","False","False","False","","0x04003D48"
"DolocAPI/<>c__DisplayClass364_0","fishingLevel","System.Int32","public","False","False","False","","0x04003D6C"
"DolocAPI/<>c__DisplayClass364_0","info","DolocTown.Config.Fishing.FishingPoolInfo","public","False","False","False","","0x04003D6D"
"DolocInputSource","m_NormalInput_Fishing","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000BF"
"DolocConst","AnimationName_FishingCast","System.String","public","True","False","True","fishing_cast","0x04000155"
"DolocConst","AnimationName_FishingReady","System.String","public","True","False","True","fishing_ready","0x04000156"
"DolocConst","AnimationName_FishingWait","System.String","public","True","False","True","fishing_wait","0x04000157"
"DolocConst","AnimationName_FishingWaitBlink","System.String","public","True","False","True","fishing_wait_blink","0x04000158"
"DolocConst","AnimationName_FishingWaitYawn","System.String","public","True","False","True","fishing_wait_yawn","0x04000159"
