"caller_type","caller_method","caller_full_name","offset","opcode","target_type","target_method","target_full_name"
"DolocAPI","get_IsGameInitialized","System.Boolean DolocAPI::get_IsGameInitialized()","IL_0000","call","DolocAPI","get_gameManager","GameManager DolocAPI::get_gameManager()"
"DolocAPI","get_IsGameInitialized","System.Boolean DolocAPI::get_IsGameInitialized()","IL_000F","call","DolocAPI","get_gameManager","GameManager DolocAPI::get_gameManager()"
"DolocAPI","get_IsGameInitialized","System.Boolean DolocAPI::get_IsGameInitialized()","IL_0014","callvirt","GameManager","get_IsGameInitialized","System.Boolean GameManager::get_IsGameInitialized()"
"DolocAPI","InitDevelopmentHelper","System.Void DolocAPI::InitDevelopmentHelper()","IL_00A2","call","DolocAPI","get_gameManager","GameManager DolocAPI::get_gameManager()"
"DolocAPI","InitDevelopmentHelper","System.Void DolocAPI::InitDevelopmentHelper()","IL_00A7","callvirt","UnityEngine.Component","GetComponentInChildren","!!0 UnityEngine.Component::GetComponentInChildren<DolocTown.RoomGizmos>()"
"DolocAPI","InitDevelopmentHelper","System.Void DolocAPI::InitDevelopmentHelper()","IL_00AC","call","DolocAPI","set_RoomGizmos","System.Void DolocAPI::set_RoomGizmos(DolocTown.RoomGizmos)"
"DolocAPI","__LoadStaticAssets","System.Void DolocAPI::__LoadStaticAssets(System.Action)","IL_0043","call","DolocAPI","get_gameManager","GameManager DolocAPI::get_gameManager()"
"DolocAPI","get_worldResolution","UnityEngine.Vector2Int DolocAPI::get_worldResolution()","IL_0005","callvirt","DolocTown.ScreenManager","get_worldResolution","UnityEngine.Vector2Int DolocTown.ScreenManager::get_worldResolution()"
"DolocAPI","__InitGlobalSystems","System.Void DolocAPI::__InitGlobalSystems()","IL_0028","newobj","DolocTown.SceneManager",".ctor","System.Void DolocTown.SceneManager::.ctor()"
"DolocAPI","__InitGlobalSystems","System.Void DolocAPI::__InitGlobalSystems()","IL_002D","call","DolocAPI","set_sceneManager","System.Void DolocAPI::set_sceneManager(DolocTown.SceneManager)"
"DolocAPI","__InitGlobalSystems","System.Void DolocAPI::__InitGlobalSystems()","IL_0032","newobj","GameStateMachine",".ctor","System.Void GameStateMachine::.ctor()"
"DolocAPI","__InitGlobalSystems","System.Void DolocAPI::__InitGlobalSystems()","IL_0037","call","DolocAPI","set_userInput","System.Void DolocAPI::set_userInput(GameStateMachine)"
"DolocAPI","__InitGlobalSystems","System.Void DolocAPI::__InitGlobalSystems()","IL_003C","call","DolocAPI","get_gameManager","GameManager DolocAPI::get_gameManager()"
"DolocAPI","__InitGlobalSystems","System.Void DolocAPI::__InitGlobalSystems()","IL_0050","call","DolocAPI","get_userInput","GameStateMachine DolocAPI::get_userInput()"
"DolocAPI","__InitGlobalSystems","System.Void DolocAPI::__InitGlobalSystems()","IL_0055","callvirt","GameLoop","Init","System.Void GameLoop::Init(GameStateMachine)"
"DolocAPI","__InitGlobalSystems","System.Void DolocAPI::__InitGlobalSystems()","IL_005A","call","DolocAPI","get_gameManager","GameManager DolocAPI::get_gameManager()"
"DolocAPI","__InitGlobalSystems","System.Void DolocAPI::__InitGlobalSystems()","IL_0095","call","DolocAPI","get_gameManager","GameManager DolocAPI::get_gameManager()"
"DolocAPI","__InstallStateSwitchPlugins","System.Void DolocAPI::__InstallStateSwitchPlugins()","IL_000A","call","DolocAPI","get_gameManager","GameManager DolocAPI::get_gameManager()"
"DolocAPI","__InstallStateSwitchPlugins","System.Void DolocAPI::__InstallStateSwitchPlugins()","IL_000F","callvirt","GameManager","get_shouldCheckStateSwitch","System.Boolean GameManager::get_shouldCheckStateSwitch()"
"DolocAPI","__InstallStateSwitchPlugins","System.Void DolocAPI::__InstallStateSwitchPlugins()","IL_0016","call","DolocAPI","get_userInput","GameStateMachine DolocAPI::get_userInput()"
"DolocAPI","__InstallStateSwitchPlugins","System.Void DolocAPI::__InstallStateSwitchPlugins()","IL_001B","newobj","DolocTown.GameStatePluginCurrent",".ctor","System.Void DolocTown.GameStatePluginCurrent::.ctor()"
"DolocAPI","__InstallStateSwitchPlugins","System.Void DolocAPI::__InstallStateSwitchPlugins()","IL_0020","callvirt","GameStateMachine","InstallPlugin","System.Void GameStateMachine::InstallPlugin(DolocTown.GameStatePlugin)"
"DolocAPI","__InstallStateSwitchPlugins","System.Void DolocAPI::__InstallStateSwitchPlugins()","IL_0025","call","DolocAPI","get_userInput","GameStateMachine DolocAPI::get_userInput()"
"DolocAPI","__InstallStateSwitchPlugins","System.Void DolocAPI::__InstallStateSwitchPlugins()","IL_002A","newobj","DolocTown.GameStatePluginUiBackground",".ctor","System.Void DolocTown.GameStatePluginUiBackground::.ctor()"
"DolocAPI","__InstallStateSwitchPlugins","System.Void DolocAPI::__InstallStateSwitchPlugins()","IL_002F","callvirt","GameStateMachine","InstallPlugin","System.Void GameStateMachine::InstallPlugin(DolocTown.GameStatePlugin)"
"DolocAPI","__InstallStateSwitchPlugins","System.Void DolocAPI::__InstallStateSwitchPlugins()","IL_0034","call","DolocAPI","get_userInput","GameStateMachine DolocAPI::get_userInput()"
"DolocAPI","__InstallStateSwitchPlugins","System.Void DolocAPI::__InstallStateSwitchPlugins()","IL_0039","newobj","DolocTown.GameStatePluginPauseTip",".ctor","System.Void DolocTown.GameStatePluginPauseTip::.ctor()"
"DolocAPI","__InstallStateSwitchPlugins","System.Void DolocAPI::__InstallStateSwitchPlugins()","IL_003E","callvirt","GameStateMachine","InstallPlugin","System.Void GameStateMachine::InstallPlugin(DolocTown.GameStatePlugin)"
"DolocAPI","__InstallStateSwitchPlugins","System.Void DolocAPI::__InstallStateSwitchPlugins()","IL_0043","call","DolocAPI","get_userInput","GameStateMachine DolocAPI::get_userInput()"
"DolocAPI","__InstallStateSwitchPlugins","System.Void DolocAPI::__InstallStateSwitchPlugins()","IL_0048","newobj","DolocTown.GameStatePluginStopAgentWhileModalState",".ctor","System.Void DolocTown.GameStatePluginStopAgentWhileModalState::.ctor()"
"DolocAPI","__InstallStateSwitchPlugins","System.Void DolocAPI::__InstallStateSwitchPlugins()","IL_004D","callvirt","GameStateMachine","InstallPlugin","System.Void GameStateMachine::InstallPlugin(DolocTown.GameStatePlugin)"
"DolocAPI","__InstallStateSwitchPlugins","System.Void DolocAPI::__InstallStateSwitchPlugins()","IL_0052","call","DolocAPI","get_userInput","GameStateMachine DolocAPI::get_userInput()"
"DolocAPI","__InstallStateSwitchPlugins","System.Void DolocAPI::__InstallStateSwitchPlugins()","IL_0057","newobj","DolocTown.GameStatePluginBodyPause",".ctor","System.Void DolocTown.GameStatePluginBodyPause::.ctor()"
"DolocAPI","__InstallStateSwitchPlugins","System.Void DolocAPI::__InstallStateSwitchPlugins()","IL_005C","callvirt","GameStateMachine","InstallPlugin","System.Void GameStateMachine::InstallPlugin(DolocTown.GameStatePlugin)"
"DolocAPI","get_AgentController","DolocTown.AgentControllerState DolocAPI::get_AgentController()","IL_0000","call","DolocAPI","get_gameStateManager","GameStateManager DolocAPI::get_gameStateManager()"
"DolocAPI","get_AgentController","DolocTown.AgentControllerState DolocAPI::get_AgentController()","IL_000B","call","GameStateManager","get_agentController","DolocTown.AgentControllerState GameStateManager::get_agentController()"
"DolocAPI","get_AgentRenderer","DolocTown.CharacterRenderer DolocAPI::get_AgentRenderer()","IL_0000","call","DolocAPI","get_gameStateManager","GameStateManager DolocAPI::get_gameStateManager()"
"DolocAPI","get_AgentRenderer","DolocTown.CharacterRenderer DolocAPI::get_AgentRenderer()","IL_0005","callvirt","GameStateManager","get_agentController","DolocTown.AgentControllerState GameStateManager::get_agentController()"
"DolocAPI","__InitDolocBaseGameSystems","System.Void DolocAPI::__InitDolocBaseGameSystems(GameManager)","IL_0015","call","DolocAPI","__InitWeatherRenderSystem","System.Void DolocAPI::__InitWeatherRenderSystem(GameManager)"
"DolocAPI","__InitDolocBaseGameSystems","System.Void DolocAPI::__InitDolocBaseGameSystems(GameManager)","IL_0105","call","DolocAPI","get_userInput","GameStateMachine DolocAPI::get_userInput()"
"DolocAPI","__InitDolocBaseGameSystems","System.Void DolocAPI::__InitDolocBaseGameSystems(GameManager)","IL_010A","newobj","GameStateManager",".ctor","System.Void GameStateManager::.ctor(GameStateMachine)"
"DolocAPI","__InitDolocBaseGameSystems","System.Void DolocAPI::__InitDolocBaseGameSystems(GameManager)","IL_010F","call","DolocAPI","set_gameStateManager","System.Void DolocAPI::set_gameStateManager(GameStateManager)"
"DolocAPI","__InitFarmSystem","System.Boolean DolocAPI::__InitFarmSystem(GameManager)","IL_001C","newobj","DolocTown.SceneRendererFarm",".ctor","System.Void DolocTown.SceneRendererFarm::.ctor(UnityEngine.Transform)"
"DolocAPI","__InitFarmSystem","System.Boolean DolocAPI::__InitFarmSystem(GameManager)","IL_0021","call","DolocAPI","set_farmRenderer","System.Void DolocAPI::set_farmRenderer(DolocTown.SceneRendererFarm)"
"DolocAPI","get_battleSystem","DolocTown.BattleSystem DolocAPI::get_battleSystem()","IL_0000","call","DolocAPI","get_gameStateManager","GameStateManager DolocAPI::get_gameStateManager()"
"DolocAPI","get_battleSystem","DolocTown.BattleSystem DolocAPI::get_battleSystem()","IL_0005","callvirt","GameStateManager","get_normalGameState","DolocTown.NormalGameState GameStateManager::get_normalGameState()"
"DolocAPI","get_battleSystem","DolocTown.BattleSystem DolocAPI::get_battleSystem()","IL_000A","callvirt","DolocTown.NormalGameState","get_battleSystem","DolocTown.BattleSystem DolocTown.NormalGameState::get_battleSystem()"
"DolocAPI","NewGame","System.Void DolocAPI::NewGame(System.Int32)","IL_0000","call","DolocAPI","get_sceneManager","DolocTown.SceneManager DolocAPI::get_sceneManager()"
"DolocAPI","NewGame","System.Void DolocAPI::NewGame(System.Int32)","IL_000B","callvirt","DolocTown.SceneManager","UnloadSceneAsync","System.Void DolocTown.SceneManager::UnloadSceneAsync(System.String,System.Action)"
"DolocAPI","NewGame","System.Void DolocAPI::NewGame(System.Int32)","IL_001B","call","DolocAPI","get_gameManager","GameManager DolocAPI::get_gameManager()"
"DolocAPI","NewGame","System.Void DolocAPI::NewGame(System.Int32)","IL_0020","callvirt","GameManager","get_gameInitConfig","DolocTown.GameData.GameInitConfig GameManager::get_gameInitConfig()"
"DolocAPI","StartGame","System.Void DolocAPI::StartGame()","IL_0011","call","DolocAPI","get_gameManager","GameManager DolocAPI::get_gameManager()"
"DolocAPI","StartGame","System.Void DolocAPI::StartGame()","IL_0016","callvirt","GameManager","get_gameInitConfig","DolocTown.GameData.GameInitConfig GameManager::get_gameInitConfig()"
"DolocAPI","StartGame","System.Void DolocAPI::StartGame()","IL_0027","callvirt","DolocBundleManager","get_dungeons","DolocTown.GameData.DungeonDatabase DolocBundleManager::get_dungeons()"
