"type","name","field_type","visibility","is_static","is_readonly","is_literal","constant","token"
"DolocAPI","<gameManager>k__BackingField","GameManager","private","True","False","False","","0x04000021"
"DolocAPI","<RoomGizmos>k__BackingField","DolocTown.RoomGizmos","private","True","False","False","","0x04000025"
"DolocAPI","<userInput>k__BackingField","GameStateMachine","private","True","False","False","","0x0400002D"
"DolocAPI","<sceneManager>k__BackingField","DolocTown.SceneManager","private","True","False","False","","0x0400002E"
"DolocAPI","<gameStateManager>k__BackingField","GameStateManager","private","True","False","False","","0x0400003E"
"DolocAPI","<farmRenderer>k__BackingField","DolocTown.SceneRendererFarm","private","True","False","False","","0x04000044"
"DolocAPI/<>c","<>9__627_0","System.Func`2<DolocTown.CityRoom,System.Boolean>","public","True","False","False","","0x04003D2B"
"DolocAPI/<>c__DisplayClass198_0","room","DolocTown.Room","public","False","False","False","","0x04003D3B"
"DolocAPI/<>c__DisplayClass329_0","room","DolocTown.CityRoom","public","False","False","False","","0x04003D57"
"DolocAPI/<>c__DisplayClass330_0","room","DolocTown.CityRoom","public","False","False","False","","0x04003D59"
"DolocAPI/<>c__DisplayClass331_0","room","DolocTown.TemplateRoom","public","False","False","False","","0x04003D5B"
"DolocAPI/<>c__DisplayClass332_0","room","DolocTown.TemplateRoom","public","False","False","False","","0x04003D5D"
"DolocAPI/<>c__DisplayClass333_0","room","DolocTown.DungeonRoom","public","False","False","False","","0x04003D5F"
"DolocAPI/<>c__DisplayClass333_0","dungeon","DolocTown.Dungeon","public","False","False","False","","0x04003D60"
"DolocAPI/<>c__DisplayClass336_0","isDungeon","System.Boolean","public","False","False","False","","0x04003D62"
"DolocAPI/<>c__DisplayClass336_0","dungeon","DolocTown.Dungeon","public","False","False","False","","0x04003D63"
"DolocAPI/<>c__DisplayClass336_0","room","DolocTown.Room","public","False","False","False","","0x04003D64"
"DolocAPI/<>c__DisplayClass346_0","proto","DolocTown.GameData.RoomProto","public","False","False","False","","0x04003D69"
"DolocAPI/<>c__DisplayClass685_0","dialogueBox","DolocTown.UI.SceneDialogueBox","public","False","False","False","","0x04003D86"
"DolocAPI/<>c__DisplayClass756_0","resourceType","DolocTown.Config.Resource.DungeonResourceType","public","False","False","False","","0x04003D91"
"DolocAPI/<>c__DisplayClass760_0","type","DolocTown.Config.Resource.DungeonResourceType","public","False","False","False","","0x04003D92"
"DolocAPI/<>c__DisplayClass907_0","curState","IDolocGameState","public","False","False","False","","0x04003DA2"
"DolocAPI/<Command_GoRoom>d__907","<>1__state","System.Int32","public","False","False","False","","0x04003DA3"
"DolocAPI/<Command_GoRoom>d__907","<>t__builder","Cysharp.Threading.Tasks.CompilerServices.AsyncUniTaskMethodBuilder","public","False","False","False","","0x04003DA4"
"DolocAPI/<Command_GoRoom>d__907","markPointId","System.String","public","False","False","False","","0x04003DA5"
"DolocAPI/<Command_GoRoom>d__907","disableFadeIn","System.Boolean","public","False","False","False","","0x04003DA6"
"DolocAPI/<Command_GoRoom>d__907","disableFadeOut","System.Boolean","public","False","False","False","","0x04003DA7"
"DolocAPI/<Command_GoRoom>d__907","<>8__1","DolocAPI/<>c__DisplayClass907_0","private","False","False","False","","0x04003DA8"
"DolocAPI/<Command_GoRoom>d__907","<>u__1","Cysharp.Threading.Tasks.UniTask/Awaiter","private","False","False","False","","0x04003DA9"
"DolocTransform","PX_WORLD","System.Single","public","True","False","True","0.125","0x04000052"
"DolocTransform","PX_WORLD_HALF","System.Single","public","True","False","True","0.0625","0x04000053"
"DolocTransform","TILE_WORLD","System.Single","public","True","False","True","1.5","0x04000056"
"DolocTransform","TILE_WORLD_RECIPROCAL","System.Single","public","True","False","True","0.66667","0x04000057"
"DolocTransform","TILE_WORLD_SIZE","UnityEngine.Vector2","public","True","False","False","","0x04000058"
"DolocTransform","UI_WORLD","System.Single","public","True","False","True","0.03125","0x0400005A"
"CityPath","allScenes","System.Collections.Generic.Dictionary`2<System.String,CityPath/CityScene>","private","False","True","False","","0x04000062"
"CityPath/Translator","sceneName","System.String","public","False","True","False","","0x04003DE3"
"CityPath/Translator","remoteSceneName","System.String","public","False","True","False","","0x04003DE4"
"CityPath/CityScene","_translators","CityPath/Translator[]","private","False","True","False","","0x04003DEA"
"CityPath/CityScene","_inwalkableAreas","CityPath/InwalkableArea[]","private","False","True","False","","0x04003DEB"
"CityPath/CityScene/<>c__DisplayClass5_0","l","System.Single","public","False","False","False","","0x04004C14"
"CityPath/CityScene/<>c__DisplayClass5_0","r","System.Single","public","False","False","False","","0x04004C15"
"CityPath/CityScene/<>c__DisplayClass7_0","pos","UnityEngine.Vector2","public","False","False","False","","0x04004C16"
"CityPath/CityScene/<>c","<>9","CityPath/CityScene/<>c","public","True","True","False","","0x04004C17"
"CityPath/CityScene/<>c","<>9__7_0","System.Func`2<CityPath/Translator,System.Int32>","public","True","False","False","","0x04004C18"
"GameStateManager","<sceneTransition>k__BackingField","DolocTown.GameStateSceneTransition","private","False","False","False","","0x04000063"
"GameStateManager","<dungeonTransition>k__BackingField","DolocTown.DungeonTransitionState","private","False","False","False","","0x04000064"
"GameStateManager","<agentController>k__BackingField","DolocTown.AgentControllerState","private","False","False","False","","0x04000065"
"GameStateManager","<normalGameState>k__BackingField","DolocTown.NormalGameState","private","False","False","False","","0x04000066"
"GameStateManager","<dialogState>k__BackingField","DolocTown.DialogueState","private","False","False","False","","0x04000067"
"GameStateManager","<festivalState>k__BackingField","DolocTown.FestivalState","private","False","False","False","","0x04000068"
"GameStateManager","extraStates","System.Collections.Generic.Dictionary`2<System.Int32,IDolocGameState>","private","False","False","False","","0x04000069"
"DolocTownGameStateBase","_shouldPauseGame","System.Boolean","private","False","True","False","","0x0400006A"
"DolocTownGameStateBase","_shouldLateUpdate","System.Boolean","private","False","True","False","","0x0400006B"
"DolocTownGameStateBase","_supportCutscenes","System.Boolean","private","False","True","False","","0x0400006C"
"DolocTownGameStateBase","_type","DolocTown.DolocInputType","private","False","True","False","","0x0400006D"
"DolocTownGameStateBase","gameController","GameStateMachine","protected","False","True","False","","0x0400006E"
"DolocTownGameStateBase","userInput","DolocTown.DolocUserInput","protected","False","True","False","","0x0400006F"
"DolocTownGameStateBase","<DisposableEnter>k__BackingField","System.Action","private","False","False","False","","0x04000070"
"DolocTownGameStateBase","<DisposableExit>k__BackingField","System.Action","private","False","False","False","","0x04000071"
"DolocTownGameStateBase","<DisposablePause>k__BackingField","System.Action","private","False","False","False","","0x04000072"
"DolocTownGameStateBase","<DisposableResume>k__BackingField","System.Action","private","False","False","False","","0x04000073"
