"type","name","full_name","return_type","parameters","visibility","is_static","is_virtual","is_abstract","is_constructor","has_body","body_code_size","token"
"DolocAPI","get_gameManager","GameManager DolocAPI::get_gameManager()","GameManager","","public","True","False","False","False","True","6","0x0600002D"
"DolocAPI","set_gameManager","System.Void DolocAPI::set_gameManager(GameManager)","System.Void","GameManager value","public","True","False","False","False","True","7","0x0600002E"
"DolocAPI","get_RoomGizmos","DolocTown.RoomGizmos DolocAPI::get_RoomGizmos()","DolocTown.RoomGizmos","","public","True","False","False","False","True","6","0x06000039"
"DolocAPI","set_RoomGizmos","System.Void DolocAPI::set_RoomGizmos(DolocTown.RoomGizmos)","System.Void","DolocTown.RoomGizmos value","private","True","False","False","False","True","7","0x0600003A"
"DolocAPI","get_userInput","GameStateMachine DolocAPI::get_userInput()","GameStateMachine","","public","True","False","False","False","True","6","0x0600004B"
"DolocAPI","set_userInput","System.Void DolocAPI::set_userInput(GameStateMachine)","System.Void","GameStateMachine value","private","True","False","False","False","True","7","0x0600004C"
"DolocAPI","get_sceneManager","DolocTown.SceneManager DolocAPI::get_sceneManager()","DolocTown.SceneManager","","public","True","False","False","False","True","6","0x0600004D"
"DolocAPI","set_sceneManager","System.Void DolocAPI::set_sceneManager(DolocTown.SceneManager)","System.Void","DolocTown.SceneManager value","private","True","False","False","False","True","7","0x0600004E"
"DolocAPI","get_worldResolution","UnityEngine.Vector2Int DolocAPI::get_worldResolution()","UnityEngine.Vector2Int","","public","True","False","False","False","True","11","0x06000051"
"DolocAPI","get_gameStateManager","GameStateManager DolocAPI::get_gameStateManager()","GameStateManager","","public","True","False","False","False","True","6","0x06000071"
"DolocAPI","set_gameStateManager","System.Void DolocAPI::set_gameStateManager(GameStateManager)","System.Void","GameStateManager value","private","True","False","False","False","True","7","0x06000072"
"DolocAPI","__InitDolocBaseGameSystems","System.Void DolocAPI::__InitDolocBaseGameSystems(GameManager)","System.Void","GameManager manager","public","True","False","False","False","True","293","0x0600007E"
"DolocAPI","__InitWeatherRenderSystem","System.Void DolocAPI::__InitWeatherRenderSystem(GameManager)","System.Void","GameManager manager","private","True","False","False","False","True","144","0x0600007F"
"DolocAPI","get_farmRenderer","DolocTown.SceneRendererFarm DolocAPI::get_farmRenderer()","DolocTown.SceneRendererFarm","","public","True","False","False","False","True","6","0x06000082"
"DolocAPI","set_farmRenderer","System.Void DolocAPI::set_farmRenderer(DolocTown.SceneRendererFarm)","System.Void","DolocTown.SceneRendererFarm value","private","True","False","False","False","True","7","0x06000083"
"DolocAPI","__InitFarmSystem","System.Boolean DolocAPI::__InitFarmSystem(GameManager)","System.Boolean","GameManager manager","public","True","False","False","False","True","40","0x06000084"
"DolocAPI","__InitCitySystem","System.Void DolocAPI::__InitCitySystem(GameManager)","System.Void","GameManager gameManager","public","True","False","False","False","True","62","0x06000089"
"DolocAPI","__InitDungeonSystem","System.Void DolocAPI::__InitDungeonSystem(GameManager)","System.Void","GameManager manager","public","True","False","False","False","True","6","0x0600008D"
"DolocAPI","FinishTrainingDungeon","System.Void DolocAPI::FinishTrainingDungeon(System.Boolean)","System.Void","System.Boolean shouldFade","public","True","False","False","False","True","184","0x06000095"
"DolocAPI","FinishTrainingDungeonCallback","System.Void DolocAPI::FinishTrainingDungeonCallback()","System.Void","","private","True","False","False","False","True","150","0x06000096"
"DolocAPI","QueryTemplateRoom","System.Boolean DolocAPI::QueryTemplateRoom(System.String,DolocTown.GameData.RoomProto&)","System.Boolean","System.String name; DolocTown.GameData.RoomProto& proto","public","True","False","False","False","True","18","0x060000AE"
"DolocAPI","IsInSameDungeon","System.Boolean DolocAPI::IsInSameDungeon(DolocTown.Room,DolocTown.Room)","System.Boolean","DolocTown.Room L; DolocTown.Room R","public","True","False","False","False","True","46","0x060000B2"
"DolocAPI","QuerySceneInfo","System.Boolean DolocAPI::QuerySceneInfo(System.String,DolocTown.Config.Room.SceneInfo&)","System.Boolean","System.String name; DolocTown.Config.Room.SceneInfo& proto","public","True","False","False","False","True","36","0x060000D0"
