"type","name","field_type","visibility","is_static","is_readonly","is_literal","constant","token"
"DolocTownGameStateBase","_type","DolocTown.DolocInputType","private","False","True","False","","0x0400006D"
"DolocInputSource","<asset>k__BackingField","UnityEngine.InputSystem.InputActionAsset","private","False","True","False","","0x040000A5"
"DolocInputSource","m_NormalInput","UnityEngine.InputSystem.InputActionMap","private","False","True","False","","0x040000A6"
"DolocInputSource","m_NormalInputActionsCallbackInterface","DolocInputSource/INormalInputActions","private","False","False","False","","0x040000A7"
"DolocInputSource","m_NormalInput_Move","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000A8"
"DolocInputSource","m_NormalInput_Jump","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000A9"
"DolocInputSource","m_NormalInput_JumpDown","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000AA"
"DolocInputSource","m_NormalInput_Dash","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000AB"
"DolocInputSource","m_NormalInput_UseTool","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000AC"
"DolocInputSource","m_NormalInput_UseItem","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000AD"
"DolocInputSource","m_NormalInput_ScrollInventoryUp","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000AE"
"DolocInputSource","m_NormalInput_ScrollInventoryDown","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000AF"
"DolocInputSource","m_NormalInput_AssistMove","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000B0"
"DolocInputSource","m_NormalInput_RoomInteract","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000B1"
"DolocInputSource","m_NormalInput_SwitchAutoFire","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000B2"
"DolocInputSource","m_NormalInput_SelectedDrone","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000B3"
"DolocInputSource","m_NormalInput_SelectedActive","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000B4"
"DolocInputSource","m_NormalInput_QuickSelect_1","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000B5"
"DolocInputSource","m_NormalInput_QuickSelect_2","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000B6"
"DolocInputSource","m_NormalInput_QuickSelect_3","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000B7"
"DolocInputSource","m_NormalInput_QuickSelect_4","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000B8"
"DolocInputSource","m_NormalInput_QuickSelect_5","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000B9"
"DolocInputSource","m_NormalInput_QuickSelect_6","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000BA"
"DolocInputSource","m_NormalInput_QuickSelect_7","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000BB"
"DolocInputSource","m_NormalInput_QuickSelect_8","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000BC"
"DolocInputSource","m_NormalInput_QuickSelect_9","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000BD"
"DolocInputSource","m_NormalInput_QuickSelect_0","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000BE"
"DolocInputSource","m_NormalInput_Fishing","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000BF"
"DolocInputSource","m_NormalInput_Debug","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000C0"
"DolocInputSource","m_NormalInput_DisposeItemInBackpack","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000C1"
"DolocInputSource","m_NormalInput_Interact","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000C2"
"DolocInputSource","m_NormalInput_SpeedUp","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000C3"
"DolocInputSource","m_NormalInput_QuickSelectPrev","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000C4"
"DolocInputSource","m_NormalInput_QuickSelectNext","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000C5"
"DolocInputSource","m_NormalInput_ToggleMissionPanel","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000C6"
"DolocInputSource","m_NormalInput_ToggleTechTree","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000C7"
"DolocInputSource","m_NormalInput_ToggleBackpack","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000C8"
"DolocInputSource","m_NormalInput_ToggleBackpackHold","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000C9"
"DolocInputSource","m_NormalInput_ToggleMap","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000CA"
"DolocInputSource","m_NormalInput_ToggleMenu","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000CB"
"DolocInputSource","m_NormalInput_ToggleCollectionBook","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000CC"
"DolocInputSource","m_NormalInput_Cancel","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000CD"
"DolocInputSource","m_BuilderInput","UnityEngine.InputSystem.InputActionMap","private","False","True","False","","0x040000CE"
"DolocInputSource","m_BuilderInputActionsCallbackInterface","DolocInputSource/IBuilderInputActions","private","False","False","False","","0x040000CF"
"DolocInputSource","m_BuilderInput_DPadUp","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000D0"
"DolocInputSource","m_BuilderInput_DPadDown","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000D1"
"DolocInputSource","m_BuilderInput_DPadLeft","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000D2"
"DolocInputSource","m_BuilderInput_DPadRight","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000D3"
"DolocInputSource","m_BuilderInput_BuilderLast","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000D4"
"DolocInputSource","m_BuilderInput_BuilderNext","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000D5"
"DolocInputSource","m_BuilderInput_BuilderSelected","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000D6"
"DolocInputSource","m_BuilderInput_BuilderRevocation","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000D7"
"DolocInputSource","m_BuilderInput_BuilderDismantle","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000D8"
"DolocInputSource","m_BuilderInput_BuilderDismantleHold","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000D9"
"DolocInputSource","m_BuilderInput_BuilderRotate","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000DA"
"DolocInputSource","m_BuilderInput_BuilderSwitch","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000DB"
"DolocInputSource","m_BuilderInput_BuilderSwitchInventory","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000DC"
"DolocInputSource","m_BaseInput","UnityEngine.InputSystem.InputActionMap","private","False","True","False","","0x040000DD"
"DolocInputSource","m_BaseInputActionsCallbackInterface","DolocInputSource/IBaseInputActions","private","False","False","False","","0x040000DE"
"DolocInputSource","m_BaseInput_Move","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000DF"
"DolocInputSource","m_BaseInput_MoveLeft","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000E0"
"DolocInputSource","m_BaseInput_MoveRight","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000E1"
"DolocInputSource","m_BaseInput_MoveUp","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000E2"
"DolocInputSource","m_BaseInput_MoveDown","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000E3"
"DolocInputSource","m_BaseInput_MoveLast","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000E4"
"DolocInputSource","m_BaseInput_MoveNext","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000E5"
"DolocInputSource","m_BaseInput_Cancel","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000E6"
"DolocInputSource","m_BaseInput_Confirm","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000E7"
"DolocInputSource","m_BaseInput_ConfirmHold","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000E8"
"DolocInputSource","m_BaseInput_Scroll","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000E9"
