"type","name","full_name","return_type","parameters","visibility","is_static","is_virtual","is_abstract","is_constructor","has_body","body_code_size","token"
"DolocAPI","GetActionKeyIconGroup","System.Boolean DolocAPI::GetActionKeyIconGroup(DolocTown.DolocInputDeviceType,System.String,DolocTown.ActionIconGroup&)","System.Boolean","DolocTown.DolocInputDeviceType deviceType; System.String actionName; DolocTown.ActionIconGroup& iconGroup","public","True","False","False","False","True","43","0x060000CC"
"DolocAPI","GetAllActionKeyIconGroup","System.Boolean DolocAPI::GetAllActionKeyIconGroup(DolocTown.DolocInputDeviceType,System.String,System.Collections.Generic.List`1<DolocTown.ActionIconGroup>&)","System.Boolean","DolocTown.DolocInputDeviceType deviceType; System.String actionName; System.Collections.Generic.List`1<DolocTown.ActionIconGroup>& iconGroups","public","True","False","False","False","True","43","0x060000CD"
"DolocAPI","GetParsedKeystrokeText","System.String DolocAPI::GetParsedKeystrokeText(DolocTown.DolocInputDeviceType,System.String)","System.String","DolocTown.DolocInputDeviceType deviceType; System.String text","public","True","False","False","False","True","302","0x06000278"
"DolocAPI","FastButton_AddTechPoints","System.Void DolocAPI::FastButton_AddTechPoints()","System.Void","","private","True","False","False","False","True","49","0x0600038D"
"DolocAPI","FastButton_ClearStateToNormal","System.Void DolocAPI::FastButton_ClearStateToNormal()","System.Void","","private","True","False","False","False","True","21","0x0600038E"
"DolocAPI","FastButton_OpenSeedStore","System.Void DolocAPI::FastButton_OpenSeedStore()","System.Void","","private","True","False","False","False","True","38","0x0600038F"
"DolocAPI","FastButton_OpenFactionPanel","System.Void DolocAPI::FastButton_OpenFactionPanel()","System.Void","","private","True","False","False","False","True","38","0x06000390"
"DolocAPI","FastButton_ReloadConfigTables","System.Void DolocAPI::FastButton_ReloadConfigTables()","System.Void","","private","True","False","False","False","True","38","0x06000391"
"DolocAPI","FastButton_ReloadMods","System.Void DolocAPI::FastButton_ReloadMods()","System.Void","","private","True","False","False","False","True","16","0x06000397"
"DolocAPI/<>c","<FastButton_OpenSeedStore>b__1003_0","System.Boolean DolocAPI/<>c::<FastButton_OpenSeedStore>b__1003_0(DolocTown.StoreUiState)","System.Boolean","DolocTown.StoreUiState state","internal","False","False","False","False","True","12","0x0600953F"
"DolocAPI/<>c","<FastButton_OpenFactionPanel>b__1004_0","System.Boolean DolocAPI/<>c::<FastButton_OpenFactionPanel>b__1004_0(DolocTown.FactionMissionUiState)","System.Boolean","DolocTown.FactionMissionUiState state","internal","False","False","False","False","True","8","0x06009540"
"IDolocGameState","get_InputType","DolocTown.DolocInputType IDolocGameState::get_InputType()","DolocTown.DolocInputType","","public","False","True","True","False","False","0","0x060003CA"
"IDolocGameState","OnInputDeviceChanged","System.Void IDolocGameState::OnInputDeviceChanged(DolocTown.DolocInputDeviceType)","System.Void","DolocTown.DolocInputDeviceType type","public","False","True","True","False","False","0","0x060003DA"
"DolocTownGameStateBase","get_InputType","DolocTown.DolocInputType DolocTownGameStateBase::get_InputType()","DolocTown.DolocInputType","","public","False","True","False","False","True","7","0x060003DD"
"DolocTownGameStateBase",".ctor","System.Void DolocTownGameStateBase::.ctor(GameStateMachine,DolocTown.DolocInputType,System.Boolean,System.Boolean,System.Boolean)","System.Void","GameStateMachine userInput; DolocTown.DolocInputType type; System.Boolean shouldPauseGame; System.Boolean shouldLateUpdate; System.Boolean supportCutscenes","protected","False","False","False","True","True","55","0x060003F3"
"DolocTownGameStateBase","OnInputDeviceChanged","System.Void DolocTownGameStateBase::OnInputDeviceChanged(DolocTown.DolocInputDeviceType)","System.Void","DolocTown.DolocInputDeviceType type","public","False","True","False","False","True","1","0x060003FF"
"GameStateMachine","SetCurrentInput","System.Void GameStateMachine::SetCurrentInput(DolocTown.DolocInputType)","System.Void","DolocTown.DolocInputType type","private","False","False","False","False","True","12","0x0600040A"
"GameStateMachine","<.ctor>b__14_0","System.Void GameStateMachine::<.ctor>b__14_0(DolocTown.DolocInputDeviceType)","System.Void","DolocTown.DolocInputDeviceType type","private","False","False","False","False","True","18","0x0600041D"
"DolocBuilder","OnInputDeviceChanged","System.Void DolocBuilder::OnInputDeviceChanged(DolocTown.DolocInputDeviceType)","System.Void","DolocTown.DolocInputDeviceType type","public","False","False","False","False","True","18","0x06000438"
