"type","name","property_type","getter","setter","getter_visibility","setter_visibility","token"
"IDolocGameState","InputType","DolocTown.DolocInputType","get_InputType","","public","","0x1700007A"
"DolocTownGameStateBase","InputType","DolocTown.DolocInputType","get_InputType","","public","","0x17000080"
"DolocInputSource","asset","UnityEngine.InputSystem.InputActionAsset","get_asset","","public","","0x170000B0"
"DolocInputSource","bindingMask","System.Nullable`1<UnityEngine.InputSystem.InputBinding>","get_bindingMask","set_bindingMask","public","public","0x170000B1"
"DolocInputSource","devices","System.Nullable`1<UnityEngine.InputSystem.Utilities.ReadOnlyArray`1<UnityEngine.InputSystem.InputDevice>>","get_devices","set_devices","public","public","0x170000B2"
"DolocInputSource","controlSchemes","UnityEngine.InputSystem.Utilities.ReadOnlyArray`1<UnityEngine.InputSystem.InputControlScheme>","get_controlSchemes","","public","","0x170000B3"
"DolocInputSource","bindings","System.Collections.Generic.IEnumerable`1<UnityEngine.InputSystem.InputBinding>","get_bindings","","public","","0x170000B4"
"DolocInputSource","NormalInput","DolocInputSource/NormalInputActions","get_NormalInput","","public","","0x170000B5"
"DolocInputSource","BuilderInput","DolocInputSource/BuilderInputActions","get_BuilderInput","","public","","0x170000B6"
"DolocInputSource","BaseInput","DolocInputSource/BaseInputActions","get_BaseInput","","public","","0x170000B7"
"DolocInputSource","Global","DolocInputSource/GlobalActions","get_Global","","public","","0x170000B8"
"DolocInputSource","KeyboardMouseScheme","UnityEngine.InputSystem.InputControlScheme","get_KeyboardMouseScheme","","public","","0x170000B9"
"DolocInputSource","GamePadScheme","UnityEngine.InputSystem.InputControlScheme","get_GamePadScheme","","public","","0x170000BA"
"DolocInputSource/NormalInputActions","Move","UnityEngine.InputSystem.InputAction","get_Move","","public","","0x17002E7E"
"DolocInputSource/NormalInputActions","Jump","UnityEngine.InputSystem.InputAction","get_Jump","","public","","0x17002E7F"
"DolocInputSource/NormalInputActions","JumpDown","UnityEngine.InputSystem.InputAction","get_JumpDown","","public","","0x17002E80"
"DolocInputSource/NormalInputActions","Dash","UnityEngine.InputSystem.InputAction","get_Dash","","public","","0x17002E81"
"DolocInputSource/NormalInputActions","UseTool","UnityEngine.InputSystem.InputAction","get_UseTool","","public","","0x17002E82"
"DolocInputSource/NormalInputActions","UseItem","UnityEngine.InputSystem.InputAction","get_UseItem","","public","","0x17002E83"
"DolocInputSource/NormalInputActions","ScrollInventoryUp","UnityEngine.InputSystem.InputAction","get_ScrollInventoryUp","","public","","0x17002E84"
"DolocInputSource/NormalInputActions","ScrollInventoryDown","UnityEngine.InputSystem.InputAction","get_ScrollInventoryDown","","public","","0x17002E85"
"DolocInputSource/NormalInputActions","AssistMove","UnityEngine.InputSystem.InputAction","get_AssistMove","","public","","0x17002E86"
"DolocInputSource/NormalInputActions","RoomInteract","UnityEngine.InputSystem.InputAction","get_RoomInteract","","public","","0x17002E87"
"DolocInputSource/NormalInputActions","SwitchAutoFire","UnityEngine.InputSystem.InputAction","get_SwitchAutoFire","","public","","0x17002E88"
"DolocInputSource/NormalInputActions","SelectedDrone","UnityEngine.InputSystem.InputAction","get_SelectedDrone","","public","","0x17002E89"
"DolocInputSource/NormalInputActions","SelectedActive","UnityEngine.InputSystem.InputAction","get_SelectedActive","","public","","0x17002E8A"
"DolocInputSource/NormalInputActions","QuickSelect_1","UnityEngine.InputSystem.InputAction","get_QuickSelect_1","","public","","0x17002E8B"
"DolocInputSource/NormalInputActions","QuickSelect_2","UnityEngine.InputSystem.InputAction","get_QuickSelect_2","","public","","0x17002E8C"
"DolocInputSource/NormalInputActions","QuickSelect_3","UnityEngine.InputSystem.InputAction","get_QuickSelect_3","","public","","0x17002E8D"
"DolocInputSource/NormalInputActions","QuickSelect_4","UnityEngine.InputSystem.InputAction","get_QuickSelect_4","","public","","0x17002E8E"
"DolocInputSource/NormalInputActions","QuickSelect_5","UnityEngine.InputSystem.InputAction","get_QuickSelect_5","","public","","0x17002E8F"
"DolocInputSource/NormalInputActions","QuickSelect_6","UnityEngine.InputSystem.InputAction","get_QuickSelect_6","","public","","0x17002E90"
"DolocInputSource/NormalInputActions","QuickSelect_7","UnityEngine.InputSystem.InputAction","get_QuickSelect_7","","public","","0x17002E91"
"DolocInputSource/NormalInputActions","QuickSelect_8","UnityEngine.InputSystem.InputAction","get_QuickSelect_8","","public","","0x17002E92"
"DolocInputSource/NormalInputActions","QuickSelect_9","UnityEngine.InputSystem.InputAction","get_QuickSelect_9","","public","","0x17002E93"
"DolocInputSource/NormalInputActions","QuickSelect_0","UnityEngine.InputSystem.InputAction","get_QuickSelect_0","","public","","0x17002E94"
"DolocInputSource/NormalInputActions","Fishing","UnityEngine.InputSystem.InputAction","get_Fishing","","public","","0x17002E95"
"DolocInputSource/NormalInputActions","Debug","UnityEngine.InputSystem.InputAction","get_Debug","","public","","0x17002E96"
"DolocInputSource/NormalInputActions","DisposeItemInBackpack","UnityEngine.InputSystem.InputAction","get_DisposeItemInBackpack","","public","","0x17002E97"
"DolocInputSource/NormalInputActions","Interact","UnityEngine.InputSystem.InputAction","get_Interact","","public","","0x17002E98"
"DolocInputSource/NormalInputActions","SpeedUp","UnityEngine.InputSystem.InputAction","get_SpeedUp","","public","","0x17002E99"
"DolocInputSource/NormalInputActions","QuickSelectPrev","UnityEngine.InputSystem.InputAction","get_QuickSelectPrev","","public","","0x17002E9A"
"DolocInputSource/NormalInputActions","QuickSelectNext","UnityEngine.InputSystem.InputAction","get_QuickSelectNext","","public","","0x17002E9B"
"DolocInputSource/NormalInputActions","ToggleMissionPanel","UnityEngine.InputSystem.InputAction","get_ToggleMissionPanel","","public","","0x17002E9C"
"DolocInputSource/NormalInputActions","ToggleTechTree","UnityEngine.InputSystem.InputAction","get_ToggleTechTree","","public","","0x17002E9D"
"DolocInputSource/NormalInputActions","ToggleBackpack","UnityEngine.InputSystem.InputAction","get_ToggleBackpack","","public","","0x17002E9E"
"DolocInputSource/NormalInputActions","ToggleBackpackHold","UnityEngine.InputSystem.InputAction","get_ToggleBackpackHold","","public","","0x17002E9F"
"DolocInputSource/NormalInputActions","ToggleMap","UnityEngine.InputSystem.InputAction","get_ToggleMap","","public","","0x17002EA0"
"DolocInputSource/NormalInputActions","ToggleMenu","UnityEngine.InputSystem.InputAction","get_ToggleMenu","","public","","0x17002EA1"
"DolocInputSource/NormalInputActions","ToggleCollectionBook","UnityEngine.InputSystem.InputAction","get_ToggleCollectionBook","","public","","0x17002EA2"
"DolocInputSource/NormalInputActions","Cancel","UnityEngine.InputSystem.InputAction","get_Cancel","","public","","0x17002EA3"
"DolocInputSource/NormalInputActions","enabled","System.Boolean","get_enabled","","public","","0x17002EA4"
"DolocInputSource/BuilderInputActions","DPadUp","UnityEngine.InputSystem.InputAction","get_DPadUp","","public","","0x17002EA5"
"DolocInputSource/BuilderInputActions","DPadDown","UnityEngine.InputSystem.InputAction","get_DPadDown","","public","","0x17002EA6"
"DolocInputSource/BuilderInputActions","DPadLeft","UnityEngine.InputSystem.InputAction","get_DPadLeft","","public","","0x17002EA7"
"DolocInputSource/BuilderInputActions","DPadRight","UnityEngine.InputSystem.InputAction","get_DPadRight","","public","","0x17002EA8"
"DolocInputSource/BuilderInputActions","BuilderLast","UnityEngine.InputSystem.InputAction","get_BuilderLast","","public","","0x17002EA9"
"DolocInputSource/BuilderInputActions","BuilderNext","UnityEngine.InputSystem.InputAction","get_BuilderNext","","public","","0x17002EAA"
"DolocInputSource/BuilderInputActions","BuilderSelected","UnityEngine.InputSystem.InputAction","get_BuilderSelected","","public","","0x17002EAB"
"DolocInputSource/BuilderInputActions","BuilderRevocation","UnityEngine.InputSystem.InputAction","get_BuilderRevocation","","public","","0x17002EAC"
"DolocInputSource/BuilderInputActions","BuilderDismantle","UnityEngine.InputSystem.InputAction","get_BuilderDismantle","","public","","0x17002EAD"
"DolocInputSource/BuilderInputActions","BuilderDismantleHold","UnityEngine.InputSystem.InputAction","get_BuilderDismantleHold","","public","","0x17002EAE"
"DolocInputSource/BuilderInputActions","BuilderRotate","UnityEngine.InputSystem.InputAction","get_BuilderRotate","","public","","0x17002EAF"
"DolocInputSource/BuilderInputActions","BuilderSwitch","UnityEngine.InputSystem.InputAction","get_BuilderSwitch","","public","","0x17002EB0"
"DolocInputSource/BuilderInputActions","BuilderSwitchInventory","UnityEngine.InputSystem.InputAction","get_BuilderSwitchInventory","","public","","0x17002EB1"
"DolocInputSource/BuilderInputActions","enabled","System.Boolean","get_enabled","","public","","0x17002EB2"
"DolocInputSource/BaseInputActions","Move","UnityEngine.InputSystem.InputAction","get_Move","","public","","0x17002EB3"
"DolocInputSource/BaseInputActions","MoveLeft","UnityEngine.InputSystem.InputAction","get_MoveLeft","","public","","0x17002EB4"
"DolocInputSource/BaseInputActions","MoveRight","UnityEngine.InputSystem.InputAction","get_MoveRight","","public","","0x17002EB5"
"DolocInputSource/BaseInputActions","MoveUp","UnityEngine.InputSystem.InputAction","get_MoveUp","","public","","0x17002EB6"
"DolocInputSource/BaseInputActions","MoveDown","UnityEngine.InputSystem.InputAction","get_MoveDown","","public","","0x17002EB7"
"DolocInputSource/BaseInputActions","MoveLast","UnityEngine.InputSystem.InputAction","get_MoveLast","","public","","0x17002EB8"
"DolocInputSource/BaseInputActions","MoveNext","UnityEngine.InputSystem.InputAction","get_MoveNext","","public","","0x17002EB9"
"DolocInputSource/BaseInputActions","Cancel","UnityEngine.InputSystem.InputAction","get_Cancel","","public","","0x17002EBA"
"DolocInputSource/BaseInputActions","Confirm","UnityEngine.InputSystem.InputAction","get_Confirm","","public","","0x17002EBB"
"DolocInputSource/BaseInputActions","ConfirmHold","UnityEngine.InputSystem.InputAction","get_ConfirmHold","","public","","0x17002EBC"
