"namespace","name","full_name","kind","visibility","base_type","interfaces","is_abstract","is_sealed","declaring_type","methods","fields","properties","events","token"
"","DolocInputSource","DolocInputSource","class","public","System.Object","UnityEngine.InputSystem.IInputActionCollection2 | UnityEngine.InputSystem.IInputActionCollection | System.Collections.Generic.IEnumerable`1<UnityEngine.InputSystem.InputAction> | System.Collections.IEnumerable | System.IDisposable","False","False","","22","110","11","0","0x02000023"
"","NormalInputActions","DolocInputSource/NormalInputActions","struct","public","System.ValueType","","False","True","DolocInputSource","45","1","39","0","0x02000DE2"
"","BuilderInputActions","DolocInputSource/BuilderInputActions","struct","public","System.ValueType","","False","True","DolocInputSource","20","1","14","0","0x02000DE3"
"","BaseInputActions","DolocInputSource/BaseInputActions","struct","public","System.ValueType","","False","True","DolocInputSource","51","1","45","0","0x02000DE4"
"","GlobalActions","DolocInputSource/GlobalActions","struct","public","System.ValueType","","False","True","DolocInputSource","11","1","5","0","0x02000DE5"
"","INormalInputActions","DolocInputSource/INormalInputActions","interface","public","","","True","False","DolocInputSource","38","0","0","0","0x02000DE6"
"","IBuilderInputActions","DolocInputSource/IBuilderInputActions","interface","public","","","True","False","DolocInputSource","13","0","0","0","0x02000DE7"
"","IBaseInputActions","DolocInputSource/IBaseInputActions","interface","public","","","True","False","DolocInputSource","44","0","0","0","0x02000DE8"
"","IGlobalActions","DolocInputSource/IGlobalActions","interface","public","","","True","False","DolocInputSource","4","0","0","0","0x02000DE9"
"RedSaw.UI","RedSawButtonPrototype","RedSaw.UI.RedSawButtonPrototype","class","public","RedSaw.UI.RedSawUiObject","UnityEngine.EventSystems.IPointerEnterHandler | UnityEngine.EventSystems.IEventSystemHandler | UnityEngine.EventSystems.IPointerExitHandler | UnityEngine.EventSystems.IPointerDownHandler | UnityEngine.EventSystems.IPointerUpHandler | UnityEngine.EventSystems.IPointerClickHandler","True","False","","11","3","0","0","0x020000E5"
"RedSaw.UI","RedSawButtonBase","RedSaw.UI.RedSawButtonBase","class","public","RedSaw.UI.RedSawButtonPrototype","","False","False","","26","8","8","0","0x020000E6"
"RedSaw.CommandLineInterface","DebugInlineButtonAttribute","RedSaw.CommandLineInterface.DebugInlineButtonAttribute","class","public","System.Attribute","","False","False","","4","4","1","0","0x02000136"
"RedSaw.CommandLineInterface","DebugButtonAttribute","RedSaw.CommandLineInterface.DebugButtonAttribute","class","public","System.Attribute","","False","False","","4","2","1","0","0x02000139"
"RedSaw.CommandLineInterface","DebugButtonType","RedSaw.CommandLineInterface.DebugButtonType","enum","public","System.Enum","","False","True","","0","4","0","0","0x02000141"
"RedSaw.CommandLineInterface","DebugButton","RedSaw.CommandLineInterface.DebugButton","class","public","System.Object","","False","False","","3","6","0","0","0x02000142"
"DolocTown","AgentEquipmentFunctionGrandmasButton","DolocTown.AgentEquipmentFunctionGrandmasButton","class","public","DolocTown.AgentEquipmentFunction","","False","False","","2","0","0","0","0x020005C2"
"DolocTown","ButtonAction","DolocTown.ButtonAction","class","public","System.Object","","False","False","","4","3","2","0","0x02000633"
"DolocTown","DolocInputType","DolocTown.DolocInputType","enum","public","System.Enum","","False","True","","0","6","0","0","0x02000669"
"DolocTown","DolocInputDeviceType","DolocTown.DolocInputDeviceType","enum","public","System.Enum","","False","True","","0","7","0","0","0x0200066A"
"DolocTown","InputActionExtension","DolocTown.InputActionExtension","static class","public","System.Object","","True","True","","4","0","1","0","0x0200066C"
"DolocTown","FastButtonAttribute","DolocTown.FastButtonAttribute","class","public","System.Attribute","","False","False","","2","1","0","0","0x020006CA"
"DolocTown.UI","DolocNavigationButton","DolocTown.UI.DolocNavigationButton","class","public","DolocIcon","","False","False","","43","26","9","0","0x0200071D"
"DolocTown.UI","DolocButtonComponent","DolocTown.UI.DolocButtonComponent","class","public","UnityEngine.UI.Button","DolocTown.UI.ISelectable | DolocTown.UI.IClickable","False","False","","34","27","17","0","0x02000725"
"DolocTown.UI","DolocInputFiledComponent","DolocTown.UI.DolocInputFiledComponent","class","public","UnityEngine.UI.InputField","","False","False","","7","3","3","0","0x02000726"
"DolocTown.UI","GetUnstuckButton","DolocTown.UI.GetUnstuckButton","class","public","DolocTown.UI.LinkButton","","False","False","","3","1","0","0","0x02000736"
"","<>c","DolocTown.UI.GetUnstuckButton/<>c","class","private","System.Object","","False","True","DolocTown.UI.GetUnstuckButton","3","2","0","0","0x02001158"
"DolocTown.UI","LanguageButton","DolocTown.UI.LanguageButton","class","public","DolocTown.UI.DolocNavigationButton","","False","False","","4","1","0","0","0x02000737"
"DolocTown.UI","LinkButton","DolocTown.UI.LinkButton","class","public","DolocTown.UI.DolocNavigationButton","","False","False","","5","1","1","0","0x02000738"
"DolocTown.UI","VerticalButtonGroup`1","DolocTown.UI.VerticalButtonGroup`1","class","public","DolocTown.UI.DolocVerticalUI`1<T>","","True","False","","7","1","2","0","0x02000739"
"DolocTown.UI","ConfirmCraftButton","DolocTown.UI.ConfirmCraftButton","class","public","DolocTown.UI.DolocNavigationButton","","False","False","","4","5","1","0","0x02000784"
"DolocTown.UI","EnvOptimizerConfirmButton","DolocTown.UI.EnvOptimizerConfirmButton","class","public","DolocTown.UI.DolocNavigationButton","","False","False","","5","5","0","0","0x020007C9"
"DolocTown.UI","LanguageButtonGroup","DolocTown.UI.LanguageButtonGroup","class","public","DolocTown.UI.VerticalButtonGroup`1<DolocTown.UI.LanguageButton>","","False","False","","2","0","0","0","0x020007F8"
"DolocTown.UI","OuterLinkButtonGroup","DolocTown.UI.OuterLinkButtonGroup","class","public","DolocTown.UI.VerticalButtonGroup`1<DolocTown.UI.LinkButton>","","False","False","","2","0","0","0","0x020007FA"
"DolocTown.UI","MenuButton","DolocTown.UI.MenuButton","class","public","DolocTown.UI.DolocNavigationButton","","False","False","","6","2","1","0","0x02000827"
"DolocTown.UI","ModFunctionButton","DolocTown.UI.ModFunctionButton","class","public","DolocTown.UI.DolocNavigationButton","","False","False","","6","3","1","0","0x0200084A"
"DolocTown.UI","ModFunctionButtonGroup","DolocTown.UI.ModFunctionButtonGroup","class","public","DolocTown.UI.DolocUiObject","","False","False","","3","1","1","0","0x0200084B"
"DolocTown.UI","InputActionKeyIcon","DolocTown.UI.InputActionKeyIcon","class","public","DolocTown.UI.DolocUiObject","","False","False","","13","13","3","0","0x020008AF"
"DolocTown.UI","TextButton","DolocTown.UI.TextButton","class","public","DolocTown.UI.DolocNavigationButton","","False","False","","11","2","6","0","0x020008C6"
"DolocTown.Config.Settings","InputActionBinds","DolocTown.Config.Settings.InputActionBinds","class","public","Bright.Config.BeanBase","","False","True","","15","4","5","0","0x02000AF4"
"DolocTown.Config.Player","AgentEquipmentFuncProtoGrandmasButton","DolocTown.Config.Player.AgentEquipmentFuncProtoGrandmasButton","class","public","DolocTown.Config.Player.AgentEquipmentFuncProto","","False","True","","9","2","1","0","0x02000B73"
