"caller_type","caller_method","caller_full_name","offset","opcode","target_type","target_method","target_full_name"
"AddressablesUtility","GetAddressFromAssetReference","System.String AddressablesUtility::GetAddressFromAssetReference(UnityEngine.AddressableAssets.AssetReference)","IL_001B","callvirt","System.Collections.Generic.IList`1<UnityEngine.ResourceManagement.ResourceLocations.IResourceLocation>","get_Item","!0 System.Collections.Generic.IList`1<UnityEngine.ResourceManagement.ResourceLocations.IResourceLocation>::get_Item(System.Int32)"
"ProbabilityTest","ValidateLutItems","System.Boolean ProbabilityTest::ValidateLutItems(System.Collections.Generic.List`1<ProbabilityTest/LutItem>)","IL_0004","callvirt","System.Collections.Generic.List`1<ProbabilityTest/LutItem>","get_Count","System.Int32 System.Collections.Generic.List`1<ProbabilityTest/LutItem>::get_Count()"
"ProbabilityTest","ValidateLutItems","System.Boolean ProbabilityTest::ValidateLutItems(System.Collections.Generic.List`1<ProbabilityTest/LutItem>)","IL_0014","callvirt","System.Collections.Generic.List`1<ProbabilityTest/LutItem>","GetEnumerator","System.Collections.Generic.List`1/Enumerator<!0> System.Collections.Generic.List`1<ProbabilityTest/LutItem>::GetEnumerator()"
"ProbabilityTest","ValidateLutItems","System.Boolean ProbabilityTest::ValidateLutItems(System.Collections.Generic.List`1<ProbabilityTest/LutItem>)","IL_001E","call","System.Collections.Generic.List`1/Enumerator<ProbabilityTest/LutItem>","get_Current","!0 System.Collections.Generic.List`1/Enumerator<ProbabilityTest/LutItem>::get_Current()"
"ProbabilityTest","ValidateLutItems","System.Boolean ProbabilityTest::ValidateLutItems(System.Collections.Generic.List`1<ProbabilityTest/LutItem>)","IL_0056","call","System.Collections.Generic.List`1/Enumerator<ProbabilityTest/LutItem>","MoveNext","System.Boolean System.Collections.Generic.List`1/Enumerator<ProbabilityTest/LutItem>::MoveNext()"
"ProbabilityTest","Test","System.Void ProbabilityTest::Test()","IL_0007","call","ProbabilityTest","ValidateLutItems","System.Boolean ProbabilityTest::ValidateLutItems(System.Collections.Generic.List`1<ProbabilityTest/LutItem>)"
"ProbabilityTest","Test","System.Void ProbabilityTest::Test()","IL_001F","callvirt","System.Collections.Generic.List`1<ProbabilityTest/LutItem>","get_Count","System.Int32 System.Collections.Generic.List`1<ProbabilityTest/LutItem>::get_Count()"
"ProbabilityTest","Test","System.Void ProbabilityTest::Test()","IL_0030","callvirt","System.Collections.Generic.List`1<ProbabilityTest/LutItem>","get_Count","System.Int32 System.Collections.Generic.List`1<ProbabilityTest/LutItem>::get_Count()"
"ProbabilityTest","Test","System.Void ProbabilityTest::Test()","IL_0048","callvirt","System.Collections.Generic.List`1<ProbabilityTest/LutItem>","get_Item","!0 System.Collections.Generic.List`1<ProbabilityTest/LutItem>::get_Item(System.Int32)"
"ProbabilityTest","Test","System.Void ProbabilityTest::Test()","IL_005C","callvirt","System.Collections.Generic.List`1<ProbabilityTest/LutItem>","get_Item","!0 System.Collections.Generic.List`1<ProbabilityTest/LutItem>::get_Item(System.Int32)"
