"type","name","field_type","visibility","is_static","is_readonly","is_literal","constant","token"
"ProbabilityTest","items","System.Collections.Generic.List`1<ProbabilityTest/LutItem>","private","False","False","False","","0x04000014"
"ProbabilityTest/LutItem","name","System.String","public","False","False","False","","0x04003D14"
"ProbabilityTest/LutItem","probability","System.Int32","public","False","False","False","","0x04003D15"
"SpawnLutTest","itemLutId","System.String","public","False","False","False","","0x0400001B"
"SpawnLutTest/TestType","Item","SpawnLutTest/TestType","public","True","False","True","0","0x04003D17"
"DolocAPI","_itemBorder","DolocTown.UI.ItemBorder","private","True","False","False","","0x0400004E"
"DolocAPI/<>c","<>9__996_0","System.Func`2<DolocTown.Item,System.Boolean>","public","True","False","False","","0x04003D37"
"DolocAPI/<>c","<>9__996_1","System.Func`2<DolocTown.Item,DolocTown.CountItem>","public","True","False","False","","0x04003D38"
"DolocAPI/<GetAnimalAllProduce>d__262","<>7__wrap1","System.Collections.Generic.List`1/Enumerator<DolocTown.Config.Item.ItemSpawnData>","private","False","False","False","","0x04003D47"
"DolocAPI/<>c__DisplayClass364_0","isGarbage","System.Boolean","public","False","False","False","","0x04003D6A"
"DolocAPI/<>c__DisplayClass364_0","toolLv","System.Int32","public","False","False","False","","0x04003D6B"
"DolocAPI/<>c__DisplayClass365_0","isGarbage","System.Boolean","public","False","False","False","","0x04003D70"
"DolocAPI/<>c__DisplayClass605_0","item","DolocTown.Item","public","False","False","False","","0x04003D73"
"DolocAPI/<>c__DisplayClass673_0","itemFilter","System.Func`2<DolocTown.Item,System.Boolean>","public","False","False","False","","0x04003D7F"
"DolocAPI/<>c__DisplayClass673_0","itemSubmitCountGetter","System.Func`2<DolocTown.Item,System.Int32>","public","False","False","False","","0x04003D81"
"DolocAPI/<>c__DisplayClass673_0","confirmTextGetter","System.Func`3<DolocTown.Item,System.Int32,System.String>","public","False","False","False","","0x04003D82"
"DolocAPI/<Command_DropMoney>d__912","<host>5__2","DolocTown.IDropItemHost","private","False","False","False","","0x04003DAF"
"DolocAPI/<>c__DisplayClass945_0","itemName","System.String","public","False","False","False","","0x04003DB6"
"DolocAPI/<>c__DisplayClass945_0","itemCount","System.Int32","public","False","False","False","","0x04003DB7"
"DolocAPI/<>c__DisplayClass945_0","shouldCostItem","System.Boolean","public","False","False","False","","0x04003DB8"
"DolocAPI/<Command_SubmitItemToNpc>d__945","<>1__state","System.Int32","public","False","False","False","","0x04003DB9"
"DolocAPI/<Command_SubmitItemToNpc>d__945","<>t__builder","Cysharp.Threading.Tasks.CompilerServices.AsyncUniTaskMethodBuilder","public","False","False","False","","0x04003DBA"
"DolocAPI/<Command_SubmitItemToNpc>d__945","itemName","System.String","public","False","False","False","","0x04003DBB"
"DolocAPI/<Command_SubmitItemToNpc>d__945","itemCount","System.Int32","public","False","False","False","","0x04003DBC"
"DolocAPI/<Command_SubmitItemToNpc>d__945","shouldCostItem","System.Boolean","public","False","False","False","","0x04003DBD"
"DolocAPI/<Command_SubmitItemToNpc>d__945","<>u__1","Cysharp.Threading.Tasks.UniTask/Awaiter","private","False","False","False","","0x04003DBE"
"DolocAPI/<>c__DisplayClass946_0","config","DolocTown.Config.Mission.ItemSubmitConditionInfo","public","False","False","False","","0x04003DBF"
"DolocAPI/<Command_SubmitItemToNpcByInfo>d__946","<>1__state","System.Int32","public","False","False","False","","0x04003DC0"
"DolocAPI/<Command_SubmitItemToNpcByInfo>d__946","<>t__builder","Cysharp.Threading.Tasks.CompilerServices.AsyncUniTaskMethodBuilder","public","False","False","False","","0x04003DC1"
"DolocAPI/<Command_SubmitItemToNpcByInfo>d__946","infoId","System.String","public","False","False","False","","0x04003DC2"
"DolocAPI/<Command_SubmitItemToNpcByInfo>d__946","<>u__1","Cysharp.Threading.Tasks.UniTask/Awaiter","private","False","False","False","","0x04003DC3"
"DolocAPI/<Command_GiftItemToNpc>d__957","<>1__state","System.Int32","public","False","False","False","","0x04003DC4"
