"type","method","method_full_name","offset","length","text"
"DolocAPI","QueryItemProto","System.Boolean DolocAPI::QueryItemProto(System.String,DolocTown.Config.Item.ItemInfo&)","IL_0010","0",""
"DolocAPI","GetItemSortingOrder","System.Single DolocAPI::GetItemSortingOrder(System.String)","IL_000F","0",""
"DolocAPI","QueryItemSpawnLut","System.Boolean DolocAPI::QueryItemSpawnLut(System.String,DolocTown.Config.Item.ItemSpawnInfo&)","IL_0010","0",""
"DolocAPI","TryPlaceInBackpack","System.Boolean DolocAPI::TryPlaceInBackpack(DolocTown.Item,System.Boolean)","IL_004D","18","send_item_template"
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(DolocTown.ItemHat,DolocTown.Item&)","IL_0030","3","帽子<"
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(DolocTown.ItemHat,DolocTown.Item&)","IL_0043","4",">已取下"
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(DolocTown.ItemHat,DolocTown.Item&)","IL_0062","13","目标道具不是帽子，无法装备"
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(DolocTown.ItemHat,DolocTown.Item&)","IL_008C","14","<color=red>帽子"""
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(DolocTown.ItemHat,DolocTown.Item&)","IL_0097","15","""渲染信息丢失</color>"
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(DolocTown.ItemHat,DolocTown.Item&)","IL_00C1","3","帽子<"
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(DolocTown.ItemHat,DolocTown.Item&)","IL_00CC","5",">装备成功"
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(System.String,DolocTown.Item&)","IL_003F","3","帽子<"
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(System.String,DolocTown.Item&)","IL_0052","4",">已取下"
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(System.String,DolocTown.Item&)","IL_0079","13","目标道具不是帽子，无法装备"
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(System.String,DolocTown.Item&)","IL_009E","14","<color=red>帽子"""
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(System.String,DolocTown.Item&)","IL_00A4","15","""渲染信息丢失</color>"
