"type","name","full_name","return_type","parameters","visibility","is_static","is_virtual","is_abstract","is_constructor","has_body","body_code_size","token"
"DebugLight","Test","System.Void DebugLight::Test()","System.Void","","public","False","False","False","False","True","140","0x0600001F"
"DebugLight",".ctor","System.Void DebugLight::.ctor()","System.Void","","public","False","False","False","True","True","7","0x06000020"
"DolocAPI","outputError","System.Void DolocAPI::outputError(System.String)","System.Void","System.String cnt","public","True","False","False","False","True","22","0x060000D9"
"DolocAPI","outputWarning","System.Void DolocAPI::outputWarning(System.String)","System.Void","System.String cnt","public","True","False","False","False","True","22","0x060000DB"
"DolocAPI","GetMissionLogs","System.Collections.Generic.IEnumerable`1<DolocTown.GameData.MissionLog> DolocAPI::GetMissionLogs(System.String)","System.Collections.Generic.IEnumerable`1<DolocTown.GameData.MissionLog>","System.String missionId","public","True","False","False","False","True","46","0x060000DC"
"DolocAPI","ShowDebugInfos","System.Void DolocAPI::ShowDebugInfos(System.Object,System.String)","System.Void","System.Object instance; System.String title","public","True","False","False","False","True","126","0x060000DD"
"DolocAPI","GetCommandFunction","System.Delegate DolocAPI::GetCommandFunction(System.String)","System.Delegate","System.String commandName","public","True","False","False","False","True","22","0x060000DE"
"DolocAPI","GetAllCommandFunctions","System.Collections.Generic.IEnumerable`1<System.ValueTuple`2<System.String,System.Delegate>> DolocAPI::GetAllCommandFunctions()","System.Collections.Generic.IEnumerable`1<System.ValueTuple`2<System.String,System.Delegate>>","","public","True","False","False","False","True","21","0x060000DF"
"DolocAPI","ExecuteCommand","System.Void DolocAPI::ExecuteCommand(System.String,System.Object&)","System.Void","System.String input; System.Object& result","public","True","False","False","False","True","82","0x060000E0"
"DolocAPI","get_CurrentDialogueHostTransform","UnityEngine.Transform DolocAPI::get_CurrentDialogueHostTransform()","UnityEngine.Transform","","public","True","False","False","False","True","33","0x0600010C"
"DolocAPI","GetDialogueTargetViewOrDefault","DolocTown.IDialogueEntity DolocAPI::GetDialogueTargetViewOrDefault(System.String,System.Boolean)","DolocTown.IDialogueEntity","System.String targetName; System.Boolean force","public","True","False","False","False","True","190","0x060001DF"
"DolocAPI","SetDialogueTargetForeground","System.Void DolocAPI::SetDialogueTargetForeground(System.String,System.Boolean)","System.Void","System.String targetName; System.Boolean active","public","True","False","False","False","True","52","0x060001E0"
"DolocAPI","RevertAllDialogueEntitiesSortingOrder","System.Void DolocAPI::RevertAllDialogueEntitiesSortingOrder()","System.Void","","public","True","False","False","False","True","88","0x060001E1"
"DolocAPI","GetDialogueLineView","DolocTown.IDialogueLineView DolocAPI::GetDialogueLineView(System.String)","DolocTown.IDialogueLineView","System.String targetName","public","True","False","False","False","True","69","0x060001E4"
"DolocAPI","AddDialogueNode","System.Boolean DolocAPI::AddDialogueNode(System.String,System.String)","System.Boolean","System.String nodeName; System.String npcName","public","True","False","False","False","True","39","0x060001E9"
"DolocAPI","StartDialogueNode","System.Boolean DolocAPI::StartDialogueNode(System.String,System.String)","System.Boolean","System.String nodeName; System.String npcName","public","True","False","False","False","True","100","0x060001EA"
"DolocAPI","SetDialogueEntrance","System.Boolean DolocAPI::SetDialogueEntrance(System.String,System.String)","System.Boolean","System.String nodeName; System.String npcName","public","True","False","False","False","True","29","0x060001EB"
"DolocAPI","CheckDialogueEvent","System.Boolean DolocAPI::CheckDialogueEvent(System.String)","System.Boolean","System.String npcName","public","True","False","False","False","True","12","0x060001EC"
"DolocAPI","RemoveDialogueNode","System.Boolean DolocAPI::RemoveDialogueNode(System.String,System.String)","System.Boolean","System.String nodeName; System.String npcName","public","True","False","False","False","True","29","0x060001ED"
"DolocAPI","AppendDialogueHistoryLine","System.Void DolocAPI::AppendDialogueHistoryLine(System.String,System.String,System.String)","System.Void","System.String npcName; System.String npcTitle; System.String content","public","True","False","False","False","True","46","0x060001F0"
"DolocAPI","AppendDialogueHistoryOption","System.Void DolocAPI::AppendDialogueHistoryOption(System.String)","System.Void","System.String content","public","True","False","False","False","True","44","0x060001F1"
"DolocAPI","UIRaiseError","System.Void DolocAPI::UIRaiseError()","System.Void","","public","True","False","False","False","True","16","0x06000227"
"DolocAPI","ShowMessageBoxNodeError","System.Void DolocAPI::ShowMessageBoxNodeError(System.String,System.Boolean)","System.Void","System.String msg; System.Boolean useSound","public","True","False","False","False","True","55","0x06000238"
"DolocAPI","ShowSceneDialogueBox","System.Void DolocAPI::ShowSceneDialogueBox(UnityEngine.Vector2,System.String,System.Action)","System.Void","UnityEngine.Vector2 worldPosition; System.String content; System.Action callback","public","True","False","False","False","True","77","0x06000259"
"DolocAPI","Command_ConsoleClear","System.Void DolocAPI::Command_ConsoleClear()","System.Void","","private","True","False","False","False","True","16","0x06000279"
"DolocAPI","Command_ComplexCommand","System.Void DolocAPI::Command_ComplexCommand(System.String)","System.Void","System.String luaScript","private","True","False","False","False","True","27","0x0600027A"
"DolocAPI","Command_Print","System.Void DolocAPI::Command_Print(System.String)","System.Void","System.String content","private","True","False","False","False","True","7","0x0600027B"
"DolocAPI","Command_QueryCommandDelegate","System.Void DolocAPI::Command_QueryCommandDelegate(System.String)","System.Void","System.String name","private","True","False","False","False","True","84","0x0600027C"
"DolocAPI","Command_Vector2Int","UnityEngine.Vector2Int DolocAPI::Command_Vector2Int(System.Int32,System.Int32)","UnityEngine.Vector2Int","System.Int32 x; System.Int32 y","private","True","False","False","False","True","8","0x0600027D"
"DolocAPI","Command_Vector2","UnityEngine.Vector2 DolocAPI::Command_Vector2(System.Single,System.Single)","UnityEngine.Vector2","System.Single x; System.Single y","private","True","False","False","False","True","8","0x0600027E"
"DolocAPI","Command_ListAllDevices","System.Void DolocAPI::Command_ListAllDevices()","System.Void","","private","True","False","False","False","True","112","0x0600027F"
"DolocAPI","Command_DisableGate","System.Void DolocAPI::Command_DisableGate(System.String)","System.Void","System.String gateName","private","True","False","False","False","True","52","0x06000280"
"DolocAPI","Command_EnableGate","System.Void DolocAPI::Command_EnableGate(System.String)","System.Void","System.String gateName","private","True","False","False","False","True","52","0x06000281"
"DolocAPI","Command_ViewDisabledGates","System.Void DolocAPI::Command_ViewDisabledGates()","System.Void","","private","True","False","False","False","True","100","0x06000282"
"DolocAPI","Command_IsNpcAtMarkPoint","System.Boolean DolocAPI::Command_IsNpcAtMarkPoint(System.String,System.String,System.Single)","System.Boolean","System.String npcName; System.String markName; System.Single threshold","private","True","False","False","False","True","9","0x06000283"
"DolocAPI","Command_UnlockInteractableObject","System.Void DolocAPI::Command_UnlockInteractableObject(System.String)","System.Void","System.String lockObjectId","private","True","False","False","False","True","9","0x06000284"
"DolocAPI","Command_LockInteractableObject","System.Void DolocAPI::Command_LockInteractableObject(System.String)","System.Void","System.String lockObjectId","private","True","False","False","False","True","9","0x06000285"
