"type","name","property_type","getter","setter","getter_visibility","setter_visibility","token"
"DolocAPI","CurrentDialogueHostTransform","UnityEngine.Transform","get_CurrentDialogueHostTransform","","public","","0x17000041"
"GameStateManager","dialogState","DolocTown.DialogueState","get_dialogState","set_dialogState","public","private","0x1700006A"
"DolocInputSource/NormalInputActions","Debug","UnityEngine.InputSystem.InputAction","get_Debug","","public","","0x17002E96"
"DolocInputSource/BaseInputActions","ContinueDialogue","UnityEngine.InputSystem.InputAction","get_ContinueDialogue","","public","","0x17002ED1"
"DolocInputSource/BaseInputActions","ToggleDialogueHistory","UnityEngine.InputSystem.InputAction","get_ToggleDialogueHistory","","public","","0x17002ED2"
"LocSprites","UI_INFOICON_ERROR_24PX","UnityEngine.Sprite","get_UI_INFOICON_ERROR_24PX","","public","","0x170000C6"
"LocSprites","UI_INFOICON_ERROR","UnityEngine.Sprite","get_UI_INFOICON_ERROR","","public","","0x170000C7"
"LocMaterials","GAME_MAT_HOLOGRAM","UnityEngine.Material","get_GAME_MAT_HOLOGRAM","","public","","0x170000ED"
"LocMaterials","GAME_MAT_FISH_TANK_ECOLOGICAL","UnityEngine.Material","get_GAME_MAT_FISH_TANK_ECOLOGICAL","","public","","0x170000F7"
"GameManager","logDialogueCommandDebugInfo","System.Boolean","get_logDialogueCommandDebugInfo","","public","","0x1700011E"
"DevHelper","Console","RedSaw.CommandLineInterface.UnityImpl.GameConsole","get_Console","set_Console","public","private","0x17000126"
"DolocUiSystem","dialogueHistoryTip","DolocTown.UI.DialogueHistoryTip","get_dialogueHistoryTip","set_dialogueHistoryTip","public","private","0x17000167"
"RedSaw.ExceptionTriggerPoint","IsEmpty","System.Boolean","get_IsEmpty","","public","","0x17000192"
"RedSaw.ExceptionAnalyzeResult","FinalTriggerPoint","RedSaw.ExceptionTriggerPoint","get_FinalTriggerPoint","","public","","0x17000193"
"RedSaw.CommandLineInterface.CommandAttribute","Name","System.String","get_Name","set_Name","public","private","0x170001E3"
"RedSaw.CommandLineInterface.CommandAttribute","Desc","System.String","get_Desc","set_Desc","public","public","0x170001E4"
"RedSaw.CommandLineInterface.CommandAttribute","Tag","System.String","get_Tag","set_Tag","public","public","0x170001E5"
"RedSaw.CommandLineInterface.CommandValueParserAttribute","Alias","System.String","get_Alias","set_Alias","public","public","0x170001E6"
"RedSaw.CommandLineInterface.Command","Name","System.String","get_Name","","public","","0x170001E7"
"RedSaw.CommandLineInterface.CommandCreator/<CollectCommands>d__0`1","System.Collections.Generic.IEnumerator<RedSaw.CommandLineInterface.Command>.Current","RedSaw.CommandLineInterface.Command","System.Collections.Generic.IEnumerator<RedSaw.CommandLineInterface.Command>.get_Current","","private","","0x17002F0E"
"RedSaw.CommandLineInterface.CommandCreator/<CollectCommands>d__0`1","System.Collections.IEnumerator.Current","System.Object","System.Collections.IEnumerator.get_Current","","private","","0x17002F0F"
"RedSaw.CommandLineInterface.CommandCreator/<CollectProperties>d__1`1","System.Collections.Generic.IEnumerator<RedSaw.CommandLineInterface.StackProperty>.Current","RedSaw.CommandLineInterface.StackProperty","System.Collections.Generic.IEnumerator<RedSaw.CommandLineInterface.StackProperty>.get_Current","","private","","0x17002F10"
"RedSaw.CommandLineInterface.CommandCreator/<CollectProperties>d__1`1","System.Collections.IEnumerator.Current","System.Object","System.Collections.IEnumerator.get_Current","","private","","0x17002F11"
"RedSaw.CommandLineInterface.CommandCreator/<CollectValueParsers>d__2`1","System.Collections.Generic.IEnumerator<(RedSaw.CommandLineInterface.ValueParser,System.Type,System.String)>.Current","System.ValueTuple`3<RedSaw.CommandLineInterface.ValueParser,System.Type,System.String>","System.Collections.Generic.IEnumerator<(RedSaw.CommandLineInterface.ValueParser,System.Type,System.String)>.get_Current","","private","","0x17002F12"
"RedSaw.CommandLineInterface.CommandCreator/<CollectValueParsers>d__2`1","System.Collections.IEnumerator.Current","System.Object","System.Collections.IEnumerator.get_Current","","private","","0x17002F13"
"RedSaw.CommandLineInterface.InputHistory","History","System.String[]","get_History","set_History","public","public","0x170001E8"
"RedSaw.CommandLineInterface.InputHistory","Last","System.String","get_Last","","public","","0x170001E9"
"RedSaw.CommandLineInterface.InputHistory","Next","System.String","get_Next","","public","","0x170001EA"
"RedSaw.CommandLineInterface.LinearSelector","TotalCount","System.Int32","get_TotalCount","","private","","0x170001EB"
"RedSaw.CommandLineInterface.LinearSelector","SelectionIndex","System.Int32","get_SelectionIndex","","public","","0x170001EC"
"RedSaw.CommandLineInterface.LogManager`1","allLogs","System.Collections.Generic.IEnumerable`1<System.ValueTuple`2<System.String,System.String>>","get_allLogs","","public","","0x170001ED"
"RedSaw.CommandLineInterface.LogManager`1","AllLogs","System.Collections.Generic.IEnumerable`1<RedSaw.CommandLineInterface.LogManager`1/Log<T>>","get_AllLogs","","public","","0x170001EE"
"RedSaw.CommandLineInterface.LogManager`1/Log","Empty","RedSaw.CommandLineInterface.LogManager`1/Log<T>","get_Empty","","public","","0x17002F14"
"RedSaw.CommandLineInterface.LogManager`1/Log","HasColor","System.Boolean","get_HasColor","","public","","0x17002F15"
"RedSaw.CommandLineInterface.LogManager`1/<GetLastLogs>d__15","System.Collections.Generic.IEnumerator<RedSaw.CommandLineInterface.LogManager<T>.Log>.Current","RedSaw.CommandLineInterface.LogManager`1/Log<T>","System.Collections.Generic.IEnumerator<RedSaw.CommandLineInterface.LogManager<T>.Log>.get_Current","","private","","0x17002F16"
"RedSaw.CommandLineInterface.LogManager`1/<GetLastLogs>d__15","System.Collections.IEnumerator.Current","System.Object","System.Collections.IEnumerator.get_Current","","private","","0x17002F17"
"RedSaw.CommandLineInterface.LogManager`1/<GetLastLogs>d__16","System.Collections.Generic.IEnumerator<RedSaw.CommandLineInterface.LogManager<T>.Log>.Current","RedSaw.CommandLineInterface.LogManager`1/Log<T>","System.Collections.Generic.IEnumerator<RedSaw.CommandLineInterface.LogManager<T>.Log>.get_Current","","private","","0x17002F18"
"RedSaw.CommandLineInterface.LogManager`1/<GetLastLogs>d__16","System.Collections.IEnumerator.Current","System.Object","System.Collections.IEnumerator.get_Current","","private","","0x17002F19"
"RedSaw.CommandLineInterface.ConsoleController`1","allLogs","System.Collections.Generic.IEnumerable`1<System.ValueTuple`2<System.String,System.String>>","get_allLogs","","public","","0x170001EF"
"RedSaw.CommandLineInterface.ConsoleController`1","InputHistory","System.String[]","get_InputHistory","set_InputHistory","public","public","0x170001F0"
"RedSaw.CommandLineInterface.ConsoleController`1","AlternativeOptionsCount","System.Int32","get_AlternativeOptionsCount","set_AlternativeOptionsCount","public","public","0x170001F1"
"RedSaw.CommandLineInterface.IConsoleInput","MoveUp","System.Boolean","get_MoveUp","","public","","0x170001F2"
"RedSaw.CommandLineInterface.IConsoleInput","MoveUpC","System.Boolean","get_MoveUpC","","public","","0x170001F3"
"RedSaw.CommandLineInterface.IConsoleInput","MoveDown","System.Boolean","get_MoveDown","","public","","0x170001F4"
"RedSaw.CommandLineInterface.IConsoleInput","MoveDownC","System.Boolean","get_MoveDownC","","public","","0x170001F5"
"RedSaw.CommandLineInterface.IConsoleInput","Focus","System.Boolean","get_Focus","","public","","0x170001F6"
"RedSaw.CommandLineInterface.IConsoleInput","QuitFocus","System.Boolean","get_QuitFocus","","public","","0x170001F7"
"RedSaw.CommandLineInterface.IConsoleInput","ShowOrHide","System.Boolean","get_ShowOrHide","","public","","0x170001F8"
"RedSaw.CommandLineInterface.IConsoleRenderer","OutputPanelCapacity","System.Int32","get_OutputPanelCapacity","","public","","0x170001F9"
"RedSaw.CommandLineInterface.IConsoleRenderer","IsVisible","System.Boolean","get_IsVisible","set_IsVisible","public","public","0x170001FA"
"RedSaw.CommandLineInterface.IConsoleRenderer","IsInputFieldFocus","System.Boolean","get_IsInputFieldFocus","","public","","0x170001FB"
"RedSaw.CommandLineInterface.IConsoleRenderer","InputText","System.String","get_InputText","set_InputText","public","public","0x170001FC"
"RedSaw.CommandLineInterface.IConsoleRenderer","InputTextToCursor","System.String","get_InputTextToCursor","set_InputTextToCursor","public","public","0x170001FD"
"RedSaw.CommandLineInterface.IConsoleRenderer","IsAlternativeOptionsActive","System.Boolean","get_IsAlternativeOptionsActive","set_IsAlternativeOptionsActive","public","public","0x170001FE"
"RedSaw.CommandLineInterface.IConsoleRenderer","AlternativeOptions","System.Collections.Generic.List`1<System.String>","","set_AlternativeOptions","","public","0x170001FF"
"RedSaw.CommandLineInterface.IConsoleRenderer","AlternativeOptionsIndex","System.Int32","","set_AlternativeOptionsIndex","","public","0x17000200"
"RedSaw.CommandLineInterface.CLIUtils","TimeInfo","System.String","get_TimeInfo","","public","","0x17000201"
