"type","method","method_full_name","offset","length","text"
"DebugLight","Test","System.Void DebugLight::Test()","IL_0043","8","_MainTex"
"DebugLight","Test","System.Void DebugLight::Test()","IL_005E","12","_EmissionTex"
"DebugLight","Test","System.Void DebugLight::Test()","IL_0074","21","_EmissionTex_Position"
"DolocAPI","InitDevelopmentHelper","System.Void DolocAPI::InitDevelopmentHelper()","IL_000B","21","GameConsole/devHelper"
"DolocAPI","InitDevelopmentHelper","System.Void DolocAPI::InitDevelopmentHelper()","IL_0066","28","GameConsole/game_loading_tip"
"DolocAPI","ShowDebugInfos","System.Void DolocAPI::ShowDebugInfos(System.Object,System.String)","IL_0000","2","- "
"DolocAPI","ShowDebugInfos","System.Void DolocAPI::ShowDebugInfos(System.Object,System.String)","IL_0006","6"," START"
"DolocAPI","ShowDebugInfos","System.Void DolocAPI::ShowDebugInfos(System.Object,System.String)","IL_001D","9","DolocTown"
"DolocAPI","ShowDebugInfos","System.Void DolocAPI::ShowDebugInfos(System.Object,System.String)","IL_0063","2","- "
"DolocAPI","ShowDebugInfos","System.Void DolocAPI::ShowDebugInfos(System.Object,System.String)","IL_0069","4"," END"
"DolocAPI","ExecuteCommand","System.Void DolocAPI::ExecuteCommand(System.String,System.Object&)","IL_002E","30","error occurred while execute """
"DolocAPI","ExecuteCommand","System.Void DolocAPI::ExecuteCommand(System.String,System.Object&)","IL_0034","1",""""
"DolocAPI","GetDialogueTargetViewOrDefault","DolocTown.IDialogueEntity DolocAPI::GetDialogueTargetViewOrDefault(System.String,System.Boolean)","IL_0092","12","讲话对象不在当前场景: "
"DolocAPI","GetDialogueTargetViewOrDefault","DolocTown.IDialogueEntity DolocAPI::GetDialogueTargetViewOrDefault(System.String,System.Boolean)","IL_00A8","10","获取讲话对象失败: "
"DolocAPI","SetDialogueTargetForeground","System.Void DolocAPI::SetDialogueTargetForeground(System.String,System.Boolean)","IL_000A","6","player"
"DolocAPI","StartDialogueNode","System.Boolean DolocAPI::StartDialogueNode(System.String,System.String)","IL_000A","4","播放动画"
