"namespace","name","full_name","kind","visibility","base_type","interfaces","is_abstract","is_sealed","declaring_type","methods","fields","properties","events","token"
"","DebugLight","DebugLight","class","public","UnityEngine.MonoBehaviour","","False","False","","2","2","0","0","0x02000009"
"","<Command_GoRoom>d__907","DolocAPI/<Command_GoRoom>d__907","struct","private","System.ValueType","System.Runtime.CompilerServices.IAsyncStateMachine","False","True","DolocAPI","2","7","0","0","0x02000DC2"
"","<Command_DropMoney>d__912","DolocAPI/<Command_DropMoney>d__912","struct","private","System.ValueType","System.Runtime.CompilerServices.IAsyncStateMachine","False","True","DolocAPI","2","11","0","0","0x02000DC3"
"","<Command_SubmitItemToNpc>d__945","DolocAPI/<Command_SubmitItemToNpc>d__945","struct","private","System.ValueType","System.Runtime.CompilerServices.IAsyncStateMachine","False","True","DolocAPI","2","6","0","0","0x02000DC6"
"","<Command_SubmitItemToNpcByInfo>d__946","DolocAPI/<Command_SubmitItemToNpcByInfo>d__946","struct","private","System.ValueType","System.Runtime.CompilerServices.IAsyncStateMachine","False","True","DolocAPI","2","4","0","0","0x02000DC8"
"","<Command_GiftItemToNpc>d__957","DolocAPI/<Command_GiftItemToNpc>d__957","struct","private","System.ValueType","System.Runtime.CompilerServices.IAsyncStateMachine","False","True","DolocAPI","2","3","0","0","0x02000DC9"
"","<Command_SubmitBoardMissionItem>d__959","DolocAPI/<Command_SubmitBoardMissionItem>d__959","struct","private","System.ValueType","System.Runtime.CompilerServices.IAsyncStateMachine","False","True","DolocAPI","2","4","0","0","0x02000DCB"
"","DolocError","DolocError","class","public","System.Exception","","False","False","","2","0","0","0","0x02000034"
"","DolocInitError","DolocInitError","class","public","DolocError","","False","False","","2","0","0","0","0x02000035"
"","DolocGameError","DolocGameError","class","public","DolocError","","False","False","","2","0","0","0","0x02000036"
"","DolocDeserializeError","DolocDeserializeError","class","public","DolocError","","False","False","","2","0","0","0","0x02000037"
"","DolocLuaScriptError","DolocLuaScriptError","class","public","DolocError","","False","False","","2","0","0","0","0x02000038"
"","LOGLEVEL","XLua.ObjectTranslator/LOGLEVEL","enum","internal","System.Enum","","False","True","XLua.ObjectTranslator","0","5","0","0","0x02000E18"
"XLua","LuaException","XLua.LuaException","class","public","System.Exception","","False","False","","1","0","0","0","0x0200008C"
"XLua.TemplateEngine","TemplateFormatException","XLua.TemplateEngine.TemplateFormatException","class","private","System.Exception","","False","False","","1","0","0","0","0x020000A5"
"RedSaw","ExceptionTriggerPoint","RedSaw.ExceptionTriggerPoint","struct","public","System.ValueType","","False","True","","10","4","1","0","0x020000B6"
"RedSaw","ExceptionAnalyzeResult","RedSaw.ExceptionAnalyzeResult","struct","public","System.ValueType","","False","True","","3","4","1","0","0x020000B7"
"RedSaw","ExceptionAnalyzer","RedSaw.ExceptionAnalyzer","class","public","System.Object","","False","False","","5","0","0","0","0x020000B8"
"RedSaw","ExceptionRecorder","RedSaw.ExceptionRecorder","class","public","System.Object","","False","False","","7","5","0","0","0x020000B9"
"RedSaw.CommandLineInterface","CommandAttribute","RedSaw.CommandLineInterface.CommandAttribute","class","public","System.Attribute","","False","False","","8","3","3","0","0x020000F2"
"RedSaw.CommandLineInterface","CommandValueParserAttribute","RedSaw.CommandLineInterface.CommandValueParserAttribute","class","public","System.Attribute","","False","False","","3","2","1","0","0x020000F3"
"RedSaw.CommandLineInterface","CommandPropertyAttribute","RedSaw.CommandLineInterface.CommandPropertyAttribute","class","public","System.Attribute","","False","False","","2","3","0","0","0x020000F4"
"RedSaw.CommandLineInterface","Command","RedSaw.CommandLineInterface.Command","class","public","RedSaw.CommandLineInterface.StackMethod","","False","False","","5","3","1","0","0x020000F5"
"RedSaw.CommandLineInterface","CommandCreator","RedSaw.CommandLineInterface.CommandCreator","static class","private","System.Object","","True","True","","4","0","0","0","0x020000F6"
"","<CollectCommands>d__0`1","RedSaw.CommandLineInterface.CommandCreator/<CollectCommands>d__0`1","class","private","System.Object","System.Collections.Generic.IEnumerable`1<RedSaw.CommandLineInterface.Command> | System.Collections.IEnumerable | System.Collections.Generic.IEnumerator`1<RedSaw.CommandLineInterface.Command> | System.Collections.IEnumerator | System.IDisposable","False","True","RedSaw.CommandLineInterface.CommandCreator","8","7","2","0","0x02000E66"
"","<CollectProperties>d__1`1","RedSaw.CommandLineInterface.CommandCreator/<CollectProperties>d__1`1","class","private","System.Object","System.Collections.Generic.IEnumerable`1<RedSaw.CommandLineInterface.StackProperty> | System.Collections.IEnumerable | System.Collections.Generic.IEnumerator`1<RedSaw.CommandLineInterface.StackProperty> | System.Collections.IEnumerator | System.IDisposable","False","True","RedSaw.CommandLineInterface.CommandCreator","8","9","2","0","0x02000E67"
