"type","name","field_type","visibility","is_static","is_readonly","is_literal","constant","token"
"ModSourceType","Workshop","ModSourceType","public","True","False","True","1","0x0400000C"
"DolocTown.BuildingManager","updateCache","System.Collections.Generic.HashSet`1<DolocTown.Room>","private","False","True","False","","0x04000D44"
"DolocTown.ModUiState","currentModInfo","DolocTown.Config.ModInfo","private","False","False","False","","0x040016C7"
"DolocTown.ModUiState","currentModList","System.Collections.Generic.List`1<DolocTown.Config.ModInfo>","private","False","False","False","","0x040016C8"
"DolocTown.ModUiState/<>c","<>9__21_0","System.Func`2<DolocTown.Config.UI.ModMenuInfo,UnityEngine.Sprite>","public","True","False","False","","0x04004674"
"DolocTown.ModUiState/<>c","<>9__21_1","System.Func`2<DolocTown.Config.UI.ModMenuInfo,System.String>","public","True","False","False","","0x04004675"
"DolocTown.ModUiState/<>c","<>9__33_0","System.Func`2<DolocTown.Config.ModInfo,System.Boolean>","public","True","False","False","","0x04004676"
"DolocTown.ModUiState/<>c","<>9__33_1","System.Func`2<DolocTown.Config.ModInfo,System.Boolean>","public","True","False","False","","0x04004677"
"DolocTown.ModUiState/<>c__DisplayClass31_0","modInfo","DolocTown.Config.ModInfo","public","False","False","False","","0x04004679"
"DolocTown.ModUiState/<>c__DisplayClass31_0","workshopId","System.UInt64","public","False","False","False","","0x0400467A"
"DolocTown.ModUiState/<>c__DisplayClass43_0","modInfo","DolocTown.Config.ModInfo","public","False","False","False","","0x0400467F"
"DolocTown.ModUiState/<>c__DisplayClass43_0","<>9__2","System.Action`1<DolocTown.Config.WorkshopUploadResult>","public","False","False","False","","0x04004680"
"DolocTown.ModUiState/<>c__DisplayClass43_1","plan","DolocTown.Config.WorkshopUploadPlan","public","False","False","False","","0x04004681"
"DolocTown.BaseArchiveData","enabledModInfos","DolocTown.Config.ModInfo[]","public","False","False","False","","0x040017BA"
"DolocTown.UI.ModData","canUpdateWorkshopItem","System.Boolean","public","False","False","False","","0x040020A3"
"DolocTown.UI.ModSlot","workshopIcon","UnityEngine.Transform","private","False","False","False","","0x040020BD"
"DolocTown.UI.ModViewer","workshopButtonGroup","DolocTown.UI.ModFunctionButtonGroup","private","False","False","False","","0x040020D2"
"DolocTown.UI.ModViewer","workshopButton","DolocTown.UI.ModFunctionButton","public","False","False","False","","0x040020D3"
"DolocTown.UI.ModViewer","workshopHomepageButton","DolocTown.UI.ModFunctionButton","public","False","False","False","","0x040020D6"
"DolocTown.GameData.DataPersistenceManager","<modManager>k__BackingField","DolocTown.Config.ModManager","private","False","False","False","","0x04002748"
"DolocTown.Config.Tables","<TbModMenu>k__BackingField","DolocTown.Config.UI.TbModMenu","private","False","True","False","","0x0400288B"
"DolocTown.Config.ModManifest","name","System.String","public","False","False","False","","0x0400292E"
"DolocTown.Config.ModManifest","author","System.String","public","False","False","False","","0x0400292F"
"DolocTown.Config.ModManifest","version","System.String","public","False","False","False","","0x04002930"
"DolocTown.Config.ModManifest","description","System.String","public","False","False","False","","0x04002931"
"DolocTown.Config.ModManifest","tags","System.String[]","public","False","False","False","","0x04002932"
"DolocTown.Config.ModManifest","nameL10n","System.Collections.Generic.Dictionary`2<System.String,System.String>","public","False","False","False","","0x04002933"
"DolocTown.Config.ModManifest","descriptionL10n","System.Collections.Generic.Dictionary`2<System.String,System.String>","public","False","False","False","","0x04002934"
"DolocTown.Config.ModWorkshopInfo","workshopId","System.UInt64","public","False","False","False","","0x04002937"
"DolocTown.Config.ModInfo","<HasPlayerOverride>k__BackingField","System.Boolean","private","False","False","False","","0x04002938"
"DolocTown.Config.ModInfo","<HasPlayerHairOverride>k__BackingField","System.Boolean","private","False","False","False","","0x04002939"
