"type","name","full_name","return_type","parameters","visibility","is_static","is_virtual","is_abstract","is_constructor","has_body","body_code_size","token"
"DolocAPI","get_modManager","DolocTown.Config.ModManager DolocAPI::get_modManager()","DolocTown.Config.ModManager","","public","True","False","False","False","True","11","0x06000091"
"DolocAPI","FastButton_ReloadMods","System.Void DolocAPI::FastButton_ReloadMods()","System.Void","","private","True","False","False","False","True","16","0x06000397"
"DolocTown.ModUiState","get_modManager","DolocTown.Config.ModManager DolocTown.ModUiState::get_modManager()","DolocTown.Config.ModManager","","private","False","False","False","False","True","6","0x06004098"
"DolocTown.ModUiState","get_menuConfig","DolocTown.Config.UI.TbModMenu DolocTown.ModUiState::get_menuConfig()","DolocTown.Config.UI.TbModMenu","","private","False","False","False","False","True","11","0x06004099"
"DolocTown.ModUiState","get_currentMenyType","DolocTown.Config.UI.ModMenuType DolocTown.ModUiState::get_currentMenyType()","DolocTown.Config.UI.ModMenuType","","private","False","False","False","False","True","28","0x0600409C"
"DolocTown.ModUiState","SelectMod","System.Void DolocTown.ModUiState::SelectMod(DolocTown.Config.ModInfo)","System.Void","DolocTown.Config.ModInfo modInfo","private","False","False","False","False","True","131","0x060040B3"
"DolocTown.ModUiState","ShowUploadResultMessage","System.Void DolocTown.ModUiState::ShowUploadResultMessage(DolocTown.Config.WorkshopUploadResult)","System.Void","DolocTown.Config.WorkshopUploadResult result","private","False","False","False","False","True","115","0x060040B6"
"DolocTown.ModUiState","OpenWorkshop","System.Void DolocTown.ModUiState::OpenWorkshop(System.Int32)","System.Void","System.Int32 index","private","False","False","False","False","True","27","0x060040B7"
"DolocTown.ModUiState/<>c","<BeforeRegister>b__21_0","UnityEngine.Sprite DolocTown.ModUiState/<>c::<BeforeRegister>b__21_0(DolocTown.Config.UI.ModMenuInfo)","UnityEngine.Sprite","DolocTown.Config.UI.ModMenuInfo x","internal","False","False","False","False","True","12","0x0600A161"
"DolocTown.ModUiState/<>c","<BeforeRegister>b__21_1","System.String DolocTown.ModUiState/<>c::<BeforeRegister>b__21_1(DolocTown.Config.UI.ModMenuInfo)","System.String","DolocTown.Config.UI.ModMenuInfo x","internal","False","False","False","False","True","7","0x0600A162"
"DolocTown.ModUiState/<>c","<RefreshData>b__33_0","System.Boolean DolocTown.ModUiState/<>c::<RefreshData>b__33_0(DolocTown.Config.ModInfo)","System.Boolean","DolocTown.Config.ModInfo x","internal","False","False","False","False","True","7","0x0600A163"
"DolocTown.ModUiState/<>c","<RefreshData>b__33_1","System.Boolean DolocTown.ModUiState/<>c::<RefreshData>b__33_1(DolocTown.Config.ModInfo)","System.Boolean","DolocTown.Config.ModInfo x","internal","False","False","False","False","True","10","0x0600A164"
