"type","name","property_type","getter","setter","getter_visibility","setter_visibility","token"
"DolocAPI","modManager","DolocTown.Config.ModManager","get_modManager","","public","","0x1700003E"
"DolocTown.ModUiState","modManager","DolocTown.Config.ModManager","get_modManager","","private","","0x17000F12"
"DolocTown.ModUiState","menuConfig","DolocTown.Config.UI.TbModMenu","get_menuConfig","","private","","0x17000F13"
"DolocTown.ModUiState","currentMenyType","DolocTown.Config.UI.ModMenuType","get_currentMenyType","","private","","0x17000F16"
"DolocTown.GameData.DataPersistenceManager","modManager","DolocTown.Config.ModManager","get_modManager","set_modManager","public","private","0x17001805"
"DolocTown.GameData.LocalSave","modManagerFullPath","System.String","get_modManagerFullPath","","private","","0x17001815"
"DolocTown.Config.Tables","TbModMenu","DolocTown.Config.UI.TbModMenu","get_TbModMenu","","public","","0x17001942"
"DolocTown.Config.ModManifest","Title","System.String","get_Title","","public","","0x170019E5"
"DolocTown.Config.ModManifest","Description","System.String","get_Description","","public","","0x170019E6"
"DolocTown.Config.ModInfo","HasPlayerOverride","System.Boolean","get_HasPlayerOverride","set_HasPlayerOverride","public","private","0x170019E7"
"DolocTown.Config.ModInfo","HasPlayerHairOverride","System.Boolean","get_HasPlayerHairOverride","set_HasPlayerHairOverride","public","private","0x170019E8"
"DolocTown.Config.ModInfo","HasPlayerBodyOverride","System.Boolean","get_HasPlayerBodyOverride","set_HasPlayerBodyOverride","public","private","0x170019E9"
"DolocTown.Config.ModInfo","workshopId","System.UInt64","get_workshopId","set_workshopId","public","private","0x170019EA"
"DolocTown.Config.ModInfo","title","System.String","get_title","","public","","0x170019EB"
"DolocTown.Config.ModInfo","author","System.String","get_author","","public","","0x170019EC"
"DolocTown.Config.ModInfo","description","System.String","get_description","","public","","0x170019ED"
"DolocTown.Config.ModInfo","icon","UnityEngine.Sprite","get_icon","set_icon","public","private","0x170019EE"
"DolocTown.Config.ModInfo","previewPath","System.String","get_previewPath","set_previewPath","public","private","0x170019EF"
"DolocTown.Config.ModInfo","iconPath","System.String","get_iconPath","set_iconPath","public","private","0x170019F0"
"DolocTown.Config.ModInfo","rootPath","System.String","get_rootPath","set_rootPath","public","private","0x170019F1"
"DolocTown.Config.ModInfo","manifest","DolocTown.Config.ModManifest","get_manifest","set_manifest","public","private","0x170019F2"
"DolocTown.Config.ModInfo","tags","System.String[]","get_tags","","public","","0x170019F3"
"DolocTown.Config.ModManager","configTableTypesByFile","System.Collections.Generic.Dictionary`2<System.String,System.Type>","get_configTableTypesByFile","","private","","0x170019F4"
"DolocTown.Config.ModManager","EnabledMods","DolocTown.Config.ModInfo[]","get_EnabledMods","set_EnabledMods","public","private","0x170019F5"
"DolocTown.Config.ModManager","CachedSprites","System.Collections.Generic.Dictionary`2<System.String,DolocTown.Config.ModInfo>","get_CachedSprites","set_CachedSprites","public","private","0x170019F6"
"DolocTown.Config.ModManager","CachedConfigs","System.Collections.Generic.Dictionary`2<System.String,System.Collections.Generic.List`1<DolocTown.Config.ModInfo>>","get_CachedConfigs","set_CachedConfigs","public","private","0x170019F7"
"DolocTown.Config.ModManager","SortedModInfos","System.Collections.Generic.List`1<DolocTown.Config.ModInfo>","get_SortedModInfos","","public","","0x170019F8"
"DolocTown.Config.ModManager","HasPlayerOverride","System.Boolean","get_HasPlayerOverride","set_HasPlayerOverride","public","private","0x170019F9"
"DolocTown.Config.ModManager","HasPlayerHairOverride","System.Boolean","get_HasPlayerHairOverride","set_HasPlayerHairOverride","public","private","0x170019FA"
"DolocTown.Config.ModManager","HasPlayerBodyOverride","System.Boolean","get_HasPlayerBodyOverride","set_HasPlayerBodyOverride","public","private","0x170019FB"
