"type","method","method_full_name","offset","length","text"
"DolocTown.ModUiState","OpenWorkshop","System.Void DolocTown.ModUiState::OpenWorkshop(System.Int32)","IL_0000","44","https://steamcommunity.com/app/{0}/workshop/"
"DolocTown.UserSettings","UpdateCachedData","System.Void DolocTown.UserSettings::UpdateCachedData()","IL_0028","3","dir"
"DolocTown.UserSettings","UpdateCachedData","System.Void DolocTown.UserSettings::UpdateCachedData()","IL_0163","4","none"
"DolocTown.UserSettings","UpdateCachedData","System.Void DolocTown.UserSettings::UpdateCachedData()","IL_0174","5","first"
"DolocTown.UI.ModChangeData",".ctor","System.Void DolocTown.UI.ModChangeData::.ctor(DolocTown.Config.ModInfo[],DolocTown.Config.ModInfo[])","IL_00A8","1","
"
"DolocTown.UI.ModChangeData",".ctor","System.Void DolocTown.UI.ModChangeData::.ctor(DolocTown.Config.ModInfo[],DolocTown.Config.ModInfo[])","IL_00CF","1","
"
"DolocTown.UI.ModChangeData","<.ctor>b__11_0","System.String DolocTown.UI.ModChangeData::<.ctor>b__11_0(DolocTown.Config.ModInfo)","IL_0000","4"," + ["
"DolocTown.UI.ModChangeData","<.ctor>b__11_0","System.String DolocTown.UI.ModChangeData::<.ctor>b__11_0(DolocTown.Config.ModInfo)","IL_000C","2","] "
"DolocTown.UI.ModChangeData","<.ctor>b__11_1","System.String DolocTown.UI.ModChangeData::<.ctor>b__11_1(DolocTown.Config.ModInfo)","IL_0000","4"," - ["
"DolocTown.UI.ModChangeData","<.ctor>b__11_1","System.String DolocTown.UI.ModChangeData::<.ctor>b__11_1(DolocTown.Config.ModInfo)","IL_000C","2","] "
"DolocTown.GameData.LocalSave","get_modManagerFullPath","System.String DolocTown.GameData.LocalSave::get_modManagerFullPath()","IL_0006","14","mod_infos.json"
"DolocTown.Config.Tables",".ctor","System.Void DolocTown.Config.Tables::.ctor(System.Func`2<System.String,SimpleJSON.JSONNode>)","IL_07E7","12","ui_tbmodmenu"
"DolocTown.Config.Tables",".ctor","System.Void DolocTown.Config.Tables::.ctor(System.Func`2<System.String,SimpleJSON.JSONNode>)","IL_07FC","12","UI.TbModMenu"
