"namespace","name","full_name","kind","visibility","base_type","interfaces","is_abstract","is_sealed","declaring_type","methods","fields","properties","events","token"
"DolocTown.Config","ModManifest","DolocTown.Config.ModManifest","class","public","System.Object","","False","False","","7","7","2","0","0x02000A97"
"DolocTown.Config","ModWorkshopInfo","DolocTown.Config.ModWorkshopInfo","class","public","System.Object","","False","False","","1","1","0","0","0x02000A99"
"DolocTown.Config","ModInfo","DolocTown.Config.ModInfo","class","public","System.Object","","False","False","","35","21","13","0","0x02000A9A"
"DolocTown.Config","ModManager","DolocTown.Config.ModManager","class","public","System.Object","","False","False","","57","20","10","0","0x02000A9B"
"","LocalModUploadPlanCache","DolocTown.Config.ModManager/LocalModUploadPlanCache","class","private","System.Object","","False","False","DolocTown.Config.ModManager","1","2","0","0","0x0200126F"
"","<>c","DolocTown.Config.ModManager/<>c","class","private","System.Object","","False","True","DolocTown.Config.ModManager","5","4","0","0","0x02001270"
"","<>c__DisplayClass82_0","DolocTown.Config.ModManager/<>c__DisplayClass82_0","class","private","System.Object","","False","True","DolocTown.Config.ModManager","2","3","0","0","0x02001271"
"","<>c__DisplayClass85_0","DolocTown.Config.ModManager/<>c__DisplayClass85_0","class","private","System.Object","","False","True","DolocTown.Config.ModManager","2","3","0","0","0x02001272"
"DolocTown.Config","WorkshopUploadMode","DolocTown.Config.WorkshopUploadMode","enum","public","System.Enum","","False","True","","0","3","0","0","0x02000A9C"
"DolocTown.Config","WorkshopUploadPlan","DolocTown.Config.WorkshopUploadPlan","class","public","System.Object","","False","False","","3","2","2","0","0x02000A9D"
"DolocTown.Config","WorkshopUploadResult","DolocTown.Config.WorkshopUploadResult","class","public","System.Object","","False","False","","4","3","3","0","0x02000A9E"
"DolocTown.Config","SteamWorkshopUploader","DolocTown.Config.SteamWorkshopUploader","class","public","System.Object","","False","False","","15","10","3","0","0x02000A9F"
"","WorkshopL10nText","DolocTown.Config.SteamWorkshopUploader/WorkshopL10nText","struct","private","System.ValueType","","False","True","DolocTown.Config.SteamWorkshopUploader","1","3","0","0","0x02001273"
"","<>c__DisplayClass27_0","DolocTown.Config.SteamWorkshopUploader/<>c__DisplayClass27_0","class","private","System.Object","","False","True","DolocTown.Config.SteamWorkshopUploader","2","2","0","0","0x02001274"
"DolocTown.Config.UI","ModMenuInfo","DolocTown.Config.UI.ModMenuInfo","class","public","Bright.Config.BeanBase","","False","True","","17","7","6","0","0x02000AB1"
"DolocTown.Config.UI","ModMenuType","DolocTown.Config.UI.ModMenuType","enum","public","System.Enum","","False","True","","0","4","0","0","0x02000AB2"
"DolocTown.Config.UI","TbModMenu","DolocTown.Config.UI.TbModMenu","class","public","System.Object","","False","True","","8","2","3","0","0x02000ABA"
