"caller_type","caller_method","caller_full_name","offset","opcode","target_type","target_method","target_full_name"
"DolocAPI","__InitDolocBaseGameSystems","System.Void DolocAPI::__InitDolocBaseGameSystems(GameManager)","IL_00BF","callvirt","UnityEngine.Component","GetComponentInChildren","!!0 UnityEngine.Component::GetComponentInChildren<DolocTown.MotorController>(System.Boolean)"
"DolocAPI","__InitDolocBaseGameSystems","System.Void DolocAPI::__InitDolocBaseGameSystems(GameManager)","IL_00C4","call","DolocAPI","set_Motor","System.Void DolocAPI::set_Motor(DolocTown.MotorController)"
"DolocAPI","__InitDolocBaseGameSystems","System.Void DolocAPI::__InitDolocBaseGameSystems(GameManager)","IL_00C9","call","DolocAPI","get_Motor","DolocTown.MotorController DolocAPI::get_Motor()"
"DolocAPI","DoTransport","System.Boolean DolocAPI::DoTransport(System.String,System.Action,System.Boolean,System.Boolean,System.Boolean)","IL_000C","call","DolocAPI","DoTransport","System.Boolean DolocAPI::DoTransport(System.String,UnityEngine.Vector2,System.Action,System.Boolean,System.Boolean,System.Boolean,DolocTown.TransportOverrideInfo)"
"DolocAPI","IsMotor","System.Boolean DolocAPI::IsMotor(UnityEngine.Collider2D)","IL_000A","callvirt","UnityEngine.Component","GetComponent","!!0 UnityEngine.Component::GetComponent<DolocTown.MotorInteractable>()"
"DolocAPI","get_Agent","DolocTown.DolocObject DolocAPI::get_Agent()","IL_0000","call","DolocAPI","get_IsAgentRiding","System.Boolean DolocAPI::get_IsAgentRiding()"
"DolocAPI","get_Agent","DolocTown.DolocObject DolocAPI::get_Agent()","IL_000D","call","DolocAPI","get_Motor","DolocTown.MotorController DolocAPI::get_Motor()"
"DolocAPI","get_AgentTransform","UnityEngine.Transform DolocAPI::get_AgentTransform()","IL_0000","call","DolocAPI","get_IsAgentRiding","System.Boolean DolocAPI::get_IsAgentRiding()"
"DolocAPI","get_AgentTransform","UnityEngine.Transform DolocAPI::get_AgentTransform()","IL_0012","call","DolocAPI","get_Motor","DolocTown.MotorController DolocAPI::get_Motor()"
"DolocAPI","get_IsAgentRiding","System.Boolean DolocAPI::get_IsAgentRiding()","IL_0011","callvirt","DolocTown.AgentControllerState","get_IsRidingNow","System.Boolean DolocTown.AgentControllerState::get_IsRidingNow()"
"DolocAPI","get_DroneFollowTarget","UnityEngine.Transform DolocAPI::get_DroneFollowTarget()","IL_0000","call","DolocAPI","get_IsAgentRiding","System.Boolean DolocAPI::get_IsAgentRiding()"
"DolocAPI","get_DroneFollowTarget","UnityEngine.Transform DolocAPI::get_DroneFollowTarget()","IL_0012","call","DolocAPI","get_Motor","DolocTown.MotorController DolocAPI::get_Motor()"
"DolocAPI","get_DroneFollowTarget","UnityEngine.Transform DolocAPI::get_DroneFollowTarget()","IL_0017","callvirt","DolocTown.MotorController","get_DroneFollowPoint","UnityEngine.Transform DolocTown.MotorController::get_DroneFollowPoint()"
"DolocAPI","GetMotorDirToAgentInMap","System.Boolean DolocAPI::GetMotorDirToAgentInMap(UnityEngine.Vector2&)","IL_005B","callvirt","DolocTown.GameData.MotorDataManager","get_CurrentRoom","DolocTown.Room DolocTown.GameData.MotorDataManager::get_CurrentRoom()"
"DolocAPI","GetMotorDirToAgentInMap","System.Boolean DolocAPI::GetMotorDirToAgentInMap(UnityEngine.Vector2&)","IL_0061","callvirt","DolocTown.GameData.MotorDataManager","get_position","UnityEngine.Vector2 DolocTown.GameData.MotorDataManager::get_position()"
"DolocAPI","GetMotorPosInMap","System.Boolean DolocAPI::GetMotorPosInMap(UnityEngine.Vector2&)","IL_005B","callvirt","DolocTown.GameData.MotorDataManager","get_CurrentRoom","DolocTown.Room DolocTown.GameData.MotorDataManager::get_CurrentRoom()"
"DolocAPI","GetMotorPosInMap","System.Boolean DolocAPI::GetMotorPosInMap(UnityEngine.Vector2&)","IL_0061","callvirt","DolocTown.GameData.MotorDataManager","get_position","UnityEngine.Vector2 DolocTown.GameData.MotorDataManager::get_position()"
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(DolocTown.ItemHat,DolocTown.Item&)","IL_0020","call","DolocAPI","get_Motor","DolocTown.MotorController DolocAPI::get_Motor()"
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(DolocTown.ItemHat,DolocTown.Item&)","IL_0025","callvirt","DolocTown.MotorController","get_driverRenderer","DolocTown.MotorDriverRenderer DolocTown.MotorController::get_driverRenderer()"
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(DolocTown.ItemHat,DolocTown.Item&)","IL_002B","callvirt","DolocTown.MotorDriverRenderer","SetHatInfo","System.Void DolocTown.MotorDriverRenderer::SetHatInfo(DolocTown.Config.Player.HatInfo)"
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(DolocTown.ItemHat,DolocTown.Item&)","IL_00B1","call","DolocAPI","get_Motor","DolocTown.MotorController DolocAPI::get_Motor()"
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(DolocTown.ItemHat,DolocTown.Item&)","IL_00B6","callvirt","DolocTown.MotorController","get_driverRenderer","DolocTown.MotorDriverRenderer DolocTown.MotorController::get_driverRenderer()"
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(DolocTown.ItemHat,DolocTown.Item&)","IL_00BC","callvirt","DolocTown.MotorDriverRenderer","SetHatInfo","System.Void DolocTown.MotorDriverRenderer::SetHatInfo(DolocTown.Config.Player.HatInfo)"
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(System.String,DolocTown.Item&)","IL_002F","call","DolocAPI","get_Motor","DolocTown.MotorController DolocAPI::get_Motor()"
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(System.String,DolocTown.Item&)","IL_0034","callvirt","DolocTown.MotorController","get_driverRenderer","DolocTown.MotorDriverRenderer DolocTown.MotorController::get_driverRenderer()"
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(System.String,DolocTown.Item&)","IL_003A","callvirt","DolocTown.MotorDriverRenderer","SetHatInfo","System.Void DolocTown.MotorDriverRenderer::SetHatInfo(DolocTown.Config.Player.HatInfo)"
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(System.String,DolocTown.Item&)","IL_00BE","call","DolocAPI","get_Motor","DolocTown.MotorController DolocAPI::get_Motor()"
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(System.String,DolocTown.Item&)","IL_00C3","callvirt","DolocTown.MotorController","get_driverRenderer","DolocTown.MotorDriverRenderer DolocTown.MotorController::get_driverRenderer()"
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(System.String,DolocTown.Item&)","IL_00C9","callvirt","DolocTown.MotorDriverRenderer","SetHatInfo","System.Void DolocTown.MotorDriverRenderer::SetHatInfo(DolocTown.Config.Player.HatInfo)"
"DolocAPI","UnlockMotor","System.Void DolocAPI::UnlockMotor(System.Single)","IL_0005","call","DolocTown.GameData.ArchiveOperationGlobal","IsMotorUnlocked","System.Boolean DolocTown.GameData.ArchiveOperationGlobal::IsMotorUnlocked(DolocTown.GameData.ArchiveDataHandle)"
"DolocAPI","UnlockMotor","System.Void DolocAPI::UnlockMotor(System.Single)","IL_0012","call","DolocTown.GameData.ArchiveOperationGlobal","UnlockMotor","System.Void DolocTown.GameData.ArchiveOperationGlobal::UnlockMotor(DolocTown.GameData.ArchiveDataHandle)"
"DolocAPI","UnlockMotor","System.Void DolocAPI::UnlockMotor(System.Single)","IL_0017","call","DolocAPI","get_Motor","DolocTown.MotorController DolocAPI::get_Motor()"
"DolocAPI","UnlockMotor","System.Void DolocAPI::UnlockMotor(System.Single)","IL_0022","call","DolocAPI","get_Motor","DolocTown.MotorController DolocAPI::get_Motor()"
"DolocAPI","SetMotorPosition","System.Void DolocAPI::SetMotorPosition(DolocTown.Room,UnityEngine.Vector2)","IL_0005","call","DolocTown.GameData.ArchiveOperationGlobal","IsMotorUnlocked","System.Boolean DolocTown.GameData.ArchiveOperationGlobal::IsMotorUnlocked(DolocTown.GameData.ArchiveDataHandle)"
"DolocAPI","SetMotorPosition","System.Void DolocAPI::SetMotorPosition(DolocTown.Room,UnityEngine.Vector2)","IL_001D","call","DolocTown.GameData.ArchiveOperationGlobal","UpdateMotorRoom","System.Void DolocTown.GameData.ArchiveOperationGlobal::UpdateMotorRoom(DolocTown.GameData.ArchiveDataHandle,DolocTown.Room)"
"DolocAPI","SetMotorPosition","System.Void DolocAPI::SetMotorPosition(DolocTown.Room,UnityEngine.Vector2)","IL_0022","call","DolocAPI","get_Motor","DolocTown.MotorController DolocAPI::get_Motor()"
"DolocAPI","SetMotorPosition","System.Void DolocAPI::SetMotorPosition(DolocTown.Room,UnityEngine.Vector2)","IL_0027","callvirt","DolocTown.MotorController","Reset","System.Void DolocTown.MotorController::Reset()"
"DolocAPI","SetMotorPosition","System.Void DolocAPI::SetMotorPosition(DolocTown.Room,UnityEngine.Vector2)","IL_002C","call","DolocAPI","get_Motor","DolocTown.MotorController DolocAPI::get_Motor()"
"DolocAPI","SetMotorPosition","System.Void DolocAPI::SetMotorPosition(DolocTown.Room,UnityEngine.Vector2)","IL_003C","call","DolocAPI","get_Motor","DolocTown.MotorController DolocAPI::get_Motor()"
"DolocAPI","ResetMotorStatus","System.Void DolocAPI::ResetMotorStatus()","IL_000D","call","DolocTown.GameData.ArchiveOperationGlobal","IsMotorUnlocked","System.Boolean DolocTown.GameData.ArchiveOperationGlobal::IsMotorUnlocked(DolocTown.GameData.ArchiveDataHandle)"
"DolocAPI","ResetMotorStatus","System.Void DolocAPI::ResetMotorStatus()","IL_001F","callvirt","DolocTown.AgentControllerState","GetOffIfRiding","System.Void DolocTown.AgentControllerState::GetOffIfRiding()"
"DolocAPI","Command_UnlockMotor","System.Void DolocAPI::Command_UnlockMotor(System.Single)","IL_0001","call","DolocAPI","UnlockMotor","System.Void DolocAPI::UnlockMotor(System.Single)"
"DolocAPI","Command_SetMotorPosition","System.Void DolocAPI::Command_SetMotorPosition(System.Single,System.Single)","IL_0008","call","DolocAPI","SetMotorPosition","System.Void DolocAPI::SetMotorPosition(DolocTown.Room,UnityEngine.Vector2)"
"GameStateManager",".ctor","System.Void GameStateManager::.ctor(GameStateMachine)","IL_0018","call","DolocAPI","get_Motor","DolocTown.MotorController DolocAPI::get_Motor()"
"GameStateManager",".ctor","System.Void GameStateManager::.ctor(GameStateMachine)","IL_0031","newobj","DolocTown.AgentControllerState",".ctor","System.Void DolocTown.AgentControllerState::.ctor(DolocTown.BodyController,DolocTown.MotorController,DolocTown.UI.QuickInventoryPanel,DolocTown.CameraController,DolocTown.DolocUserInput)"
"GameManager","OnEverythingLoaded","System.Void GameManager::OnEverythingLoaded()","IL_000C","callvirt","DolocTown.DolocUserInput","LoadBindingOverrides","System.Void DolocTown.DolocUserInput::LoadBindingOverrides()"
"RedSaw.ReflectionUtils","IsFunctionRefined","System.Boolean RedSaw.ReflectionUtils::IsFunctionRefined(System.String)","IL_0015","call","RedSaw.ReflectionUtils","IsFunctionOverride","System.Boolean RedSaw.ReflectionUtils::IsFunctionOverride(System.Type,System.Type,System.String)"
"DolocTown.Gate","_DoTransport","System.Boolean DolocTown.Gate::_DoTransport(System.Action)","IL_0095","call","DolocAPI","DoTransport","System.Boolean DolocAPI::DoTransport(System.String,UnityEngine.Vector2,System.Action,System.Boolean,System.Boolean,System.Boolean,DolocTown.TransportOverrideInfo)"
"DolocTown.Gate","get_AvailableToMotor","System.Boolean DolocTown.Gate::get_AvailableToMotor()","IL_000C","call","DolocTown.Config.Room.PortalInfo","get_AvailableToMotor","System.Boolean DolocTown.Config.Room.PortalInfo::get_AvailableToMotor()"
"DolocTown.Gate","OnTouch","System.Void DolocTown.Gate::OnTouch()","IL_0054","call","DolocAPI","get_IsAgentRiding","System.Boolean DolocAPI::get_IsAgentRiding()"
"DolocTown.Gate","OnTouch","System.Void DolocTown.Gate::OnTouch()","IL_009D","call","DolocAPI","get_IsAgentRiding","System.Boolean DolocAPI::get_IsAgentRiding()"
"DolocTown.Gate","OnTouch","System.Void DolocTown.Gate::OnTouch()","IL_00A5","call","DolocTown.Gate","get_AvailableToMotor","System.Boolean DolocTown.Gate::get_AvailableToMotor()"
"DolocTown.Gate","OnTouch","System.Void DolocTown.Gate::OnTouch()","IL_00BB","callvirt","DolocTown.AgentControllerState","GetOffMotor","System.Void DolocTown.AgentControllerState::GetOffMotor()"
"DolocTown.Gate/<>c__DisplayClass33_0","<OnTouch>b__0","System.Void DolocTown.Gate/<>c__DisplayClass33_0::<OnTouch>b__0()","IL_0011","call","DolocAPI","SetMotorPosition","System.Void DolocAPI::SetMotorPosition(DolocTown.Room,UnityEngine.Vector2)"
"DolocTown.DialogueData","get_useCandidateNodes","System.Boolean DolocTown.DialogueData::get_useCandidateNodes()","IL_0001","call","DolocTown.DialogueData","get_overrideEntrance","System.String DolocTown.DialogueData::get_overrideEntrance()"
"DolocTown.DialogueData","GetEntrance","System.String DolocTown.DialogueData::GetEntrance()","IL_0001","call","DolocTown.DialogueData","get_overrideEntrance","System.String DolocTown.DialogueData::get_overrideEntrance()"
"DolocTown.DialogueData","GetEntrance","System.String DolocTown.DialogueData::GetEntrance()","IL_000E","call","DolocTown.DialogueData","get_overrideEntrance","System.String DolocTown.DialogueData::get_overrideEntrance()"
"DolocTown.DialogueData","SetOverrideEntrance","System.Void DolocTown.DialogueData::SetOverrideEntrance(System.String)","IL_0002","call","DolocTown.DialogueData","set_overrideEntrance","System.Void DolocTown.DialogueData::set_overrideEntrance(System.String)"
"DolocTown.DialogueManager","CheckEventStatus","System.Boolean DolocTown.DialogueManager::CheckEventStatus(System.String)","IL_0021","callvirt","DolocTown.DialogueData","get_overrideEntrance","System.String DolocTown.DialogueData::get_overrideEntrance()"
"DolocTown.DialogueManager","SetOverrideEntrance","System.Boolean DolocTown.DialogueManager::SetOverrideEntrance(System.String,System.String)","IL_002D","callvirt","DolocTown.DialogueData","SetOverrideEntrance","System.Void DolocTown.DialogueData::SetOverrideEntrance(System.String)"
"DolocTown.DialogueManager","RemoveOverrideEntrance","System.Void DolocTown.DialogueManager::RemoveOverrideEntrance(System.String)","IL_0012","callvirt","DolocTown.DialogueData","SetOverrideEntrance","System.Void DolocTown.DialogueData::SetOverrideEntrance(System.String)"
"DolocTown.DialogueState","EnableCinemaScreen","System.Void DolocTown.DialogueState::EnableCinemaScreen()","IL_0056","call","DolocAPI","get_Motor","DolocTown.MotorController DolocAPI::get_Motor()"
"DolocTown.DialogueState","EnableCinemaScreen","System.Void DolocTown.DialogueState::EnableCinemaScreen()","IL_005C","callvirt","DolocTown.MotorController","SetMotorForeground","System.Void DolocTown.MotorController::SetMotorForeground(System.Boolean)"
"DolocTown.DialogueState","OnExit","System.Void DolocTown.DialogueState::OnExit()","IL_0079","call","DolocAPI","get_Motor","DolocTown.MotorController DolocAPI::get_Motor()"
"DolocTown.DialogueState","OnExit","System.Void DolocTown.DialogueState::OnExit()","IL_007F","callvirt","DolocTown.MotorController","SetMotorForeground","System.Void DolocTown.MotorController::SetMotorForeground(System.Boolean)"
"DolocTown.DialogueState","<AppendDialogue>b__49_1","System.Void DolocTown.DialogueState::<AppendDialogue>b__49_1()","IL_0000","call","DolocAPI","get_IsAgentRiding","System.Boolean DolocAPI::get_IsAgentRiding()"
"DolocTown.DialogueState","<AppendDialogue>b__49_1","System.Void DolocTown.DialogueState::<AppendDialogue>b__49_1()","IL_0011","callvirt","DolocTown.AgentControllerState","GetOffMotor","System.Void DolocTown.AgentControllerState::GetOffMotor()"
"DolocTown.Npc",".ctor","System.Void DolocTown.Npc::.ctor(DolocTown.Config.NPC.NpcInfo)","IL_0047","call","DolocTown.Npc","set_overrideMarkPoint","System.Void DolocTown.Npc::set_overrideMarkPoint(System.String)"
"DolocTown.Npc",".ctor","System.Void DolocTown.Npc::.ctor(System.String,UnityEngine.Vector2,System.Boolean,System.String,System.Boolean,System.String,System.String)","IL_006E","call","DolocTown.Npc","set_overrideMarkPoint","System.Void DolocTown.Npc::set_overrideMarkPoint(System.String)"
"DolocTown.Npc","get_useSchedule","System.Boolean DolocTown.Npc::get_useSchedule()","IL_0001","call","DolocTown.Npc","get_overrideMarkPoint","System.String DolocTown.Npc::get_overrideMarkPoint()"
"DolocTown.Npc","EnableSchedule","System.Void DolocTown.Npc::EnableSchedule()","IL_0002","call","DolocTown.Npc","set_overrideMarkPoint","System.Void DolocTown.Npc::set_overrideMarkPoint(System.String)"
"DolocTown.Npc","DisableSchedule","System.Void DolocTown.Npc::DisableSchedule(System.String)","IL_0002","call","DolocTown.Npc","set_overrideMarkPoint","System.Void DolocTown.Npc::set_overrideMarkPoint(System.String)"
"DolocTown.Npc","InvokeSchedule","System.Void DolocTown.Npc::InvokeSchedule(DolocTown.GameData.DateInfo,DolocTown.Config.Weather.WeatherType)","IL_0001","call","DolocTown.Npc","get_overrideMarkPoint","System.String DolocTown.Npc::get_overrideMarkPoint()"
"DolocTown.Npc","InvokeSchedule","System.Void DolocTown.Npc::InvokeSchedule(DolocTown.GameData.DateInfo,DolocTown.Config.Weather.WeatherType)","IL_001D","call","DolocTown.Npc","get_overrideMarkPoint","System.String DolocTown.Npc::get_overrideMarkPoint()"
"DolocTown.Npc","InvokeSchedule","System.Void DolocTown.Npc::InvokeSchedule(DolocTown.GameData.DateInfo,DolocTown.Config.Weather.WeatherType)","IL_0040","call","DolocTown.Npc","get_overrideMarkPoint","System.String DolocTown.Npc::get_overrideMarkPoint()"
"DolocTown.DroneFunction","IsFunctionRefined","System.Boolean DolocTown.DroneFunction::IsFunctionRefined(System.String)","IL_0011","call","RedSaw.ReflectionUtils","IsFunctionOverride","System.Boolean RedSaw.ReflectionUtils::IsFunctionOverride(System.Type,System.Type,System.String)"
"DolocTown.MonsterSight","IsEnemy","System.Boolean DolocTown.MonsterSight::IsEnemy(UnityEngine.GameObject)","IL_0028","callvirt","UnityEngine.GameObject","GetComponent","!!0 UnityEngine.GameObject::GetComponent<DolocTown.MotorInteractable>()"
"DolocTown.MonsterSight","IsEnemy","System.Boolean DolocTown.MonsterSight::IsEnemy(UnityEngine.GameObject)","IL_003F","call","DolocAPI","get_IsAgentRiding","System.Boolean DolocAPI::get_IsAgentRiding()"
"DolocTown.MonsterAI_Nian/WanderState","OnEnter","System.Void DolocTown.MonsterAI_Nian/WanderState::OnEnter()","IL_0079","callvirt","DolocTown.MonsterMoverContextSteering","SetOverridenPath","System.Void DolocTown.MonsterMoverContextSteering::SetOverridenPath(UnityEngine.Vector2Int[])"
"DolocTown.MonsterAI_Nian/IdleState","OnEnter","System.Void DolocTown.MonsterAI_Nian/IdleState::OnEnter()","IL_00BA","callvirt","DolocTown.MonsterMoverContextSteering","SetOverridenPath","System.Void DolocTown.MonsterMoverContextSteering::SetOverridenPath(UnityEngine.Vector2Int[])"
"DolocTown.MonsterAI_NianHead/WanderState","OnEnter","System.Void DolocTown.MonsterAI_NianHead/WanderState::OnEnter()","IL_0079","callvirt","DolocTown.MonsterMoverContextSteering","SetOverridenPath","System.Void DolocTown.MonsterMoverContextSteering::SetOverridenPath(UnityEngine.Vector2Int[])"
"DolocTown.ResourceFellData",".ctor","System.Void DolocTown.ResourceFellData::.ctor(DolocTown.DungeonResource,DolocTown.ItemTool,UnityEngine.Vector2)","IL_0075","callvirt","DolocTown.Config.Tables","get_TbToolOverride","DolocTown.Config.Item.TbToolOverride DolocTown.Config.Tables::get_TbToolOverride()"
"DolocTown.ResourceFellData",".ctor","System.Void DolocTown.ResourceFellData::.ctor(DolocTown.DungeonResource,DolocTown.ItemTool,UnityEngine.Vector2)","IL_0080","callvirt","DolocTown.Config.Item.TbToolOverride","GetOrDefault","DolocTown.Config.Item.ToolOverrideInfo DolocTown.Config.Item.TbToolOverride::GetOrDefault(System.String)"
"DolocTown.ResourceFellData",".ctor","System.Void DolocTown.ResourceFellData::.ctor(DolocTown.DungeonResource,DolocTown.ItemTool,UnityEngine.Vector2)","IL_009F","callvirt","System.Collections.Generic.Dictionary`2<DolocTown.Config.Resource.DungeonResourceClass,DolocTown.Config.Item.ToolOverrideSpawnLut>","TryGetValue","System.Boolean System.Collections.Generic.Dictionary`2<DolocTown.Config.Resource.DungeonResourceClass,DolocTown.Config.Item.ToolOverrideSpawnLut>::TryGetValue(!0,!1&)"
"DolocTown.ResourceFellData",".ctor","System.Void DolocTown.ResourceFellData::.ctor(DolocTown.DungeonResource,DolocTown.ItemTool,UnityEngine.Vector2)","IL_00A8","callvirt","DolocTown.Config.Item.ToolOverrideSpawnLut","get_OverrideSpawnLut","System.String DolocTown.Config.Item.ToolOverrideSpawnLut::get_OverrideSpawnLut()"
"DolocTown.ResourceFellData","GetEffectiveLevel","System.Int32 DolocTown.ResourceFellData::GetEffectiveLevel(DolocTown.ItemTool,DolocTown.Config.Resource.DungeonResourceClass)","IL_0005","callvirt","DolocTown.Config.Tables","get_TbToolOverride","DolocTown.Config.Item.TbToolOverride DolocTown.Config.Tables::get_TbToolOverride()"
"DolocTown.ResourceFellData","GetEffectiveLevel","System.Int32 DolocTown.ResourceFellData::GetEffectiveLevel(DolocTown.ItemTool,DolocTown.Config.Resource.DungeonResourceClass)","IL_0010","callvirt","DolocTown.Config.Item.TbToolOverride","GetOrDefault","DolocTown.Config.Item.ToolOverrideInfo DolocTown.Config.Item.TbToolOverride::GetOrDefault(System.String)"
"DolocTown.ResourceFellData","GetEffectiveLevel","System.Int32 DolocTown.ResourceFellData::GetEffectiveLevel(DolocTown.ItemTool,DolocTown.Config.Resource.DungeonResourceClass)","IL_0034","callvirt","System.Collections.Generic.Dictionary`2<DolocTown.Config.Resource.DungeonResourceClass,DolocTown.Config.Item.ToolOverrideLevel>","TryGetValue","System.Boolean System.Collections.Generic.Dictionary`2<DolocTown.Config.Resource.DungeonResourceClass,DolocTown.Config.Item.ToolOverrideLevel>::TryGetValue(!0,!1&)"
"DolocTown.ResourceFellData","GetEffectiveLevel","System.Int32 DolocTown.ResourceFellData::GetEffectiveLevel(DolocTown.ItemTool,DolocTown.Config.Resource.DungeonResourceClass)","IL_003C","callvirt","DolocTown.Config.Item.ToolOverrideLevel","get_OverrideLevel","System.Int32 DolocTown.Config.Item.ToolOverrideLevel::get_OverrideLevel()"
"DolocTown.Building","get_UiSprite","UnityEngine.Sprite DolocTown.Building::get_UiSprite()","IL_000D","call","DolocTown.Config.Building.BuildingExteriorData","get_OverrideItemIcon","DolocTown.SpriteAsset DolocTown.Config.Building.BuildingExteriorData::get_OverrideItemIcon()"
"DolocTown.PlantBasinSupply","Protect","System.Void DolocTown.PlantBasinSupply::Protect(DolocTown.ItemFilm)","IL_0023","callvirt","DolocTown.Config.Item.ItemFunctionFilm","get_HealingAmount","System.Int32 DolocTown.Config.Item.ItemFunctionFilm::get_HealingAmount()"
"DolocTown.WeatherDecorator","Update","System.Void DolocTown.WeatherDecorator::Update(System.Boolean)","IL_0001","callvirt","DolocTown.WeatherDecorator","get_CallOriginWhileNoOverride","System.Boolean DolocTown.WeatherDecorator::get_CallOriginWhileNoOverride()"
"DolocTown.WeatherDecorator","UpdateNoRender","System.Void DolocTown.WeatherDecorator::UpdateNoRender(System.Boolean)","IL_0001","callvirt","DolocTown.WeatherDecorator","get_CallOriginWhileNoOverride","System.Boolean DolocTown.WeatherDecorator::get_CallOriginWhileNoOverride()"
"DolocTown.WeatherDecorator","OnRender","System.Void DolocTown.WeatherDecorator::OnRender()","IL_0001","callvirt","DolocTown.WeatherDecorator","get_CallOriginWhileNoOverride","System.Boolean DolocTown.WeatherDecorator::get_CallOriginWhileNoOverride()"
"DolocTown.WeatherDecorator","OnUnRender","System.Void DolocTown.WeatherDecorator::OnUnRender()","IL_0001","callvirt","DolocTown.WeatherDecorator","get_CallOriginWhileNoOverride","System.Boolean DolocTown.WeatherDecorator::get_CallOriginWhileNoOverride()"
"DolocTown.WeatherDecorator","OnTouch","System.Void DolocTown.WeatherDecorator::OnTouch()","IL_0001","callvirt","DolocTown.WeatherDecorator","get_CallOriginWhileNoOverride","System.Boolean DolocTown.WeatherDecorator::get_CallOriginWhileNoOverride()"
"DolocTown.WeatherDecorator","OnDisTouch","System.Void DolocTown.WeatherDecorator::OnDisTouch()","IL_0001","callvirt","DolocTown.WeatherDecorator","get_CallOriginWhileNoOverride","System.Boolean DolocTown.WeatherDecorator::get_CallOriginWhileNoOverride()"
"DolocTown.WeatherDecorator","OnInteract","System.Void DolocTown.WeatherDecorator::OnInteract()","IL_0001","callvirt","DolocTown.WeatherDecorator","get_CallOriginWhileNoOverride","System.Boolean DolocTown.WeatherDecorator::get_CallOriginWhileNoOverride()"
"DolocTown.ItemMotorKey",".ctor","System.Void DolocTown.ItemMotorKey::.ctor(DolocTown.Config.Item.ItemInfo,System.Int32)","IL_0003","call","DolocTown.Item",".ctor","System.Void DolocTown.Item::.ctor(DolocTown.Config.Item.ItemInfo,System.Int32)"
"DolocTown.ItemMotorKey",".ctor","System.Void DolocTown.ItemMotorKey::.ctor(System.String,System.Int32)","IL_0003","call","DolocTown.Item",".ctor","System.Void DolocTown.Item::.ctor(System.String,System.Int32)"
"DolocTown.ItemMotorKey","OnUseAsTool","System.Void DolocTown.ItemMotorKey::OnUseAsTool()","IL_0001","call","DolocTown.Item","OnUseAsTool","System.Void DolocTown.Item::OnUseAsTool()"
"DolocTown.ItemMotorKey","OnUseAsTool","System.Void DolocTown.ItemMotorKey::OnUseAsTool()","IL_0007","call","DolocTown.ItemMotorKey","OnUse","System.Void DolocTown.ItemMotorKey::OnUse()"
"DolocTown.ItemMotorKey","OnUseAsItem","System.Void DolocTown.ItemMotorKey::OnUseAsItem()","IL_0001","call","DolocTown.Item","OnUseAsItem","System.Void DolocTown.Item::OnUseAsItem()"
"DolocTown.ItemMotorKey","OnUseAsItem","System.Void DolocTown.ItemMotorKey::OnUseAsItem()","IL_0007","call","DolocTown.ItemMotorKey","OnUse","System.Void DolocTown.ItemMotorKey::OnUse()"
"DolocTown.ItemMotorKey","GetMotorFlyPosition","UnityEngine.Vector2 DolocTown.ItemMotorKey::GetMotorFlyPosition()","IL_0000","call","DolocAPI","get_agent","DolocTown.BodyController DolocAPI::get_agent()"
"DolocTown.ItemMotorKey","GetMotorFlyPosition","UnityEngine.Vector2 DolocTown.ItemMotorKey::GetMotorFlyPosition()","IL_0005","callvirt","DolocTown.BodyController","get_PositionCenter","UnityEngine.Vector2 DolocTown.BodyController::get_PositionCenter()"
"DolocTown.ItemMotorKey","OnUse","System.Void DolocTown.ItemMotorKey::OnUse()","IL_0000","call","DolocAPI","get_archiveHandle","DolocTown.GameData.ArchiveDataHandle DolocAPI::get_archiveHandle()"
"DolocTown.ItemMotorKey","OnUse","System.Void DolocTown.ItemMotorKey::OnUse()","IL_0005","call","DolocTown.GameData.ArchiveOperationGlobal","IsMotorUnlocked","System.Boolean DolocTown.GameData.ArchiveOperationGlobal::IsMotorUnlocked(DolocTown.GameData.ArchiveDataHandle)"
"DolocTown.ItemMotorKey","OnUse","System.Void DolocTown.ItemMotorKey::OnUse()","IL_0011","call","UnityEngine.Debug","Log","System.Void UnityEngine.Debug::Log(System.Object)"
"DolocTown.ItemMotorKey","OnUse","System.Void DolocTown.ItemMotorKey::OnUse()","IL_0017","call","DolocAPI","get_CurrentRoom","DolocTown.Room DolocAPI::get_CurrentRoom()"
"DolocTown.ItemMotorKey","OnUse","System.Void DolocTown.ItemMotorKey::OnUse()","IL_0022","callvirt","DolocTown.Room","get_baseProto","DolocTown.GameData.RoomProto DolocTown.Room::get_baseProto()"
