"type","name","property_type","getter","setter","getter_visibility","setter_visibility","token"
"DolocAPI","Motor","DolocTown.MotorController","get_Motor","set_Motor","public","private","0x1700002D"
"DolocAPI","IsAgentRiding","System.Boolean","get_IsAgentRiding","","public","","0x17000053"
"DolocTown.IGate","AvailableToMotor","System.Boolean","get_AvailableToMotor","","public","","0x170002A3"
"DolocTown.Gate","AvailableToMotor","System.Boolean","get_AvailableToMotor","","public","","0x170002B9"
"DolocTown.DialogueData","overrideEntrance","System.String","get_overrideEntrance","set_overrideEntrance","public","public","0x170002C4"
"DolocTown.Npc","overrideMarkPoint","System.String","get_overrideMarkPoint","set_overrideMarkPoint","public","private","0x170003D8"
"DolocTown.Equipment","OverrideUiSprite","UnityEngine.Sprite","get_OverrideUiSprite","","public","","0x1700077A"
"DolocTown.BuildingGate","AvailableToMotor","System.Boolean","get_AvailableToMotor","","public","","0x170007E8"
"DolocTown.BuildingLinkGate","AvailableToMotor","System.Boolean","get_AvailableToMotor","","public","","0x170007F1"
"DolocTown.BuildingRenderer","overrideOutlineSprite","UnityEngine.Sprite","get_overrideOutlineSprite","","protected","","0x17000804"
"DolocTown.StorageShelf","OverrideUiSprite","UnityEngine.Sprite","get_OverrideUiSprite","","public","","0x170008C4"
"DolocTown.WD_AcidRain_PlantBasin","CallOriginWhileNoOverride","System.Boolean","get_CallOriginWhileNoOverride","","public","","0x17000996"
"DolocTown.WD_AcidRain_Worker","CallOriginWhileNoOverride","System.Boolean","get_CallOriginWhileNoOverride","","public","","0x1700099B"
"DolocTown.WD_ScorchSun_PlantBasin","CallOriginWhileNoOverride","System.Boolean","get_CallOriginWhileNoOverride","","public","","0x1700099D"
"DolocTown.WeatherDecorator","CallOriginWhileNoOverride","System.Boolean","get_CallOriginWhileNoOverride","","public","","0x170009A5"
"DolocTown.ItemDroneStructure","availableIfRiding","System.Boolean","get_availableIfRiding","","public","","0x17000A3B"
"DolocTown.ItemFilm","HealingAmount","System.Int32","get_HealingAmount","","public","","0x17000A77"
"DolocTown.ItemMissile","availableIfRiding","System.Boolean","get_availableIfRiding","","public","","0x17000A7A"
"DolocTown.Item","availableIfRiding","System.Boolean","get_availableIfRiding","","public","","0x17000ABB"
"DolocTown.InteractableObject","shouldShowTipInRiding","System.Boolean","get_shouldShowTipInRiding","","protected","","0x17000C65"
"DolocTown.AnimatedGate","shouldShowTipInRiding","System.Boolean","get_shouldShowTipInRiding","","protected","","0x17000CAB"
"DolocTown.AnimatedGate","AvailableToMotor","System.Boolean","get_AvailableToMotor","","public","","0x17000CAE"
"DolocTown.AgentControllerState","IsRidingNow","System.Boolean","get_IsRidingNow","set_IsRidingNow","public","private","0x17000CFE"
"DolocTown.MotorController","AccelerationX","System.Single","get_AccelerationX","","private","","0x17000DDA"
"DolocTown.MotorController","AccelerationRX","System.Single","get_AccelerationRX","","private","","0x17000DDB"
"DolocTown.MotorController","DecelerationX","System.Single","get_DecelerationX","","private","","0x17000DDC"
"DolocTown.MotorController","MaxSpeedX","System.Single","get_MaxSpeedX","","private","","0x17000DDD"
"DolocTown.MotorController","Gravity","System.Single","get_Gravity","","private","","0x17000DDE"
"DolocTown.MotorController","MaxDropSpeed","System.Single","get_MaxDropSpeed","","private","","0x17000DDF"
"DolocTown.MotorController","GroundRayLength","System.Single","get_GroundRayLength","","private","","0x17000DE0"
"DolocTown.MotorController","NaturalJumpAccelerationRange","UnityEngine.Vector2","get_NaturalJumpAccelerationRange","","private","","0x17000DE1"
"DolocTown.MotorController","NaturalJumpThreshold","System.Single","get_NaturalJumpThreshold","","private","","0x17000DE2"
"DolocTown.MotorController","MaxNaturalJumpSpeed","System.Single","get_MaxNaturalJumpSpeed","","private","","0x17000DE3"
"DolocTown.MotorController","PushJumpAcceleration","System.Single","get_PushJumpAcceleration","","private","","0x17000DE4"
"DolocTown.MotorController","MaxPushJumpSpeed","System.Single","get_MaxPushJumpSpeed","","private","","0x17000DE5"
"DolocTown.MotorController","EnduranceDuration","System.Single","get_EnduranceDuration","","private","","0x17000DE6"
"DolocTown.MotorController","EnduranceRecoveryRate","System.Single","get_EnduranceRecoveryRate","","private","","0x17000DE7"
"DolocTown.MotorController","HorizontalReboundSpeedRate","System.Single","get_HorizontalReboundSpeedRate","","private","","0x17000DE8"
"DolocTown.MotorController","MaxVerticalReboundSpeed","System.Single","get_MaxVerticalReboundSpeed","","private","","0x17000DE9"
