"namespace","name","full_name","kind","visibility","base_type","interfaces","is_abstract","is_sealed","declaring_type","methods","fields","properties","events","token"
"DolocTown","ItemMotorKey","DolocTown.ItemMotorKey","class","public","DolocTown.Item","DolocTown.IActiveItem","False","False","","8","0","0","0","0x02000422"
"DolocTown","PlayerAndMotorChecker","DolocTown.PlayerAndMotorChecker","class","public","DolocTown.AgentTouchCheckerBase","","False","False","","2","1","0","0","0x020004F5"
"","<>c","DolocTown.PlayerAndMotorChecker/<>c","class","private","System.Object","","False","True","DolocTown.PlayerAndMotorChecker","3","2","0","0","0x0200104F"
"DolocTown","TransportOverrideInfo","DolocTown.TransportOverrideInfo","class","public","System.Object","","False","False","","1","2","0","0","0x02000534"
"DolocTown","MotorController","DolocTown.MotorController","class","public","DolocTown.DolocObject","","False","False","","65","46","27","0","0x020005D5"
"","<GetAllSpriteRenderers>d__109","DolocTown.MotorController/<GetAllSpriteRenderers>d__109","class","private","System.Object","System.Collections.Generic.IEnumerable`1<UnityEngine.SpriteRenderer> | System.Collections.IEnumerable | System.Collections.Generic.IEnumerator`1<UnityEngine.SpriteRenderer> | System.Collections.IEnumerator | System.IDisposable","False","True","DolocTown.MotorController","8","6","2","0","0x0200108F"
"","<>c__DisplayClass111_0","DolocTown.MotorController/<>c__DisplayClass111_0","class","private","System.Object","","False","True","DolocTown.MotorController","3","2","0","0","0x02001090"
"","<FlyToTargetCoroutine>d__112","DolocTown.MotorController/<FlyToTargetCoroutine>d__112","class","private","System.Object","System.Collections.Generic.IEnumerator`1<System.Object> | System.Collections.IEnumerator | System.IDisposable","False","True","DolocTown.MotorController","6","6","2","0","0x02001091"
"","<ResumeReboundLatch>d__135","DolocTown.MotorController/<ResumeReboundLatch>d__135","class","private","System.Object","System.Collections.Generic.IEnumerator`1<System.Object> | System.Collections.IEnumerator | System.IDisposable","False","True","DolocTown.MotorController","6","4","2","0","0x02001092"
"DolocTown","MotorDriverRenderer","DolocTown.MotorDriverRenderer","class","public","DolocTown.DolocObject","","False","False","","10","9","2","0","0x020005D6"
"DolocTown","MotorInteractable","DolocTown.MotorInteractable","class","public","DolocTown.DolocObject","DolocTown.IInteractable | DolocTown.IAttackable","False","False","","10","2","3","0","0x020005D7"
"DolocTown","MotorLight","DolocTown.MotorLight","class","public","DolocTown.DolocObject","","False","False","","7","10","0","0","0x020005D8"
"DolocTown","MotorRenderer","DolocTown.MotorRenderer","class","public","DolocTown.DolocObject","","False","False","","6","4","1","0","0x020005D9"
"DolocTown","MotorWorldContentHandle","DolocTown.MotorWorldContentHandle","class","public","DolocTown.DolocObject","","False","False","","3","0","0","0","0x020005DA"
"DolocTown","ScannerInteractableOfMotor","DolocTown.ScannerInteractableOfMotor","class","public","DolocTown.DolocObject","","False","False","","6","2","1","0","0x020005E8"
"DolocTown","HatSpriteOverrideHandler","DolocTown.HatSpriteOverrideHandler","class","public","DolocTown.SpriteOverrideHandler","","False","False","","5","0","1","0","0x020006D5"
"DolocTown","PlayerSpriteOverrideHandler","DolocTown.PlayerSpriteOverrideHandler","class","public","DolocTown.SpriteOverrideHandler","","False","False","","5","1","1","0","0x020006D6"
"DolocTown","SpriteOverrideHandler","DolocTown.SpriteOverrideHandler","class","public","UnityEngine.MonoBehaviour","","False","False","","8","4","2","0","0x020006D7"
"DolocTown.UI","MotorBar","DolocTown.UI.MotorBar","class","public","DolocTown.UI.DolocUiObject","","False","False","","2","5","0","0","0x020007E0"
"DolocTown.GameData","MotorDataManager","DolocTown.GameData.MotorDataManager","class","public","System.Object","","False","False","","17","5","5","0","0x02000A75"
"DolocTown.Config.Item","ItemFunctionMotorKey","DolocTown.Config.Item.ItemFunctionMotorKey","class","public","DolocTown.Config.Item.ItemFunctionBase","","False","True","","7","1","0","0","0x02000C4F"
"DolocTown.Config.Item","TbToolOverride","DolocTown.Config.Item.TbToolOverride","class","public","System.Object","","False","True","","8","2","3","0","0x02000C77"
"DolocTown.Config.Item","ToolOverrideInfo","DolocTown.Config.Item.ToolOverrideInfo","class","public","Bright.Config.BeanBase","","False","True","","19","11","6","0","0x02000C7B"
"DolocTown.Config.Item","ToolOverrideLevel","DolocTown.Config.Item.ToolOverrideLevel","class","public","Bright.Config.BeanBase","","False","True","","11","3","2","0","0x02000C7C"
"DolocTown.Config.Item","ToolOverrideSpawnLut","DolocTown.Config.Item.ToolOverrideSpawnLut","class","public","Bright.Config.BeanBase","","False","True","","13","4","3","0","0x02000C7D"
