"type","name","field_type","visibility","is_static","is_readonly","is_literal","constant","token"
"DebugLight","lightEmissionTex","UnityEngine.Sprite","private","False","False","False","","0x04000013"
"DolocAPI/<>c","<>9__1004_0","System.Func`2<DolocTown.FactionMissionUiState,System.Boolean>","public","True","False","False","","0x04003D3A"
"DolocAPI/<>c__DisplayClass552_0","missionId","System.String","public","False","False","False","","0x04003D72"
"DolocAPI/<>c__DisplayClass685_0","dialogueBox","DolocTown.UI.SceneDialogueBox","public","False","False","False","","0x04003D86"
"DolocAPI/<Command_SubmitItemToNpc>d__945","<>1__state","System.Int32","public","False","False","False","","0x04003DB9"
"DolocAPI/<Command_SubmitItemToNpc>d__945","<>t__builder","Cysharp.Threading.Tasks.CompilerServices.AsyncUniTaskMethodBuilder","public","False","False","False","","0x04003DBA"
"DolocAPI/<Command_SubmitItemToNpc>d__945","itemName","System.String","public","False","False","False","","0x04003DBB"
"DolocAPI/<Command_SubmitItemToNpc>d__945","itemCount","System.Int32","public","False","False","False","","0x04003DBC"
"DolocAPI/<Command_SubmitItemToNpc>d__945","shouldCostItem","System.Boolean","public","False","False","False","","0x04003DBD"
"DolocAPI/<Command_SubmitItemToNpc>d__945","<>u__1","Cysharp.Threading.Tasks.UniTask/Awaiter","private","False","False","False","","0x04003DBE"
"DolocAPI/<>c__DisplayClass946_0","config","DolocTown.Config.Mission.ItemSubmitConditionInfo","public","False","False","False","","0x04003DBF"
"DolocAPI/<Command_SubmitItemToNpcByInfo>d__946","<>1__state","System.Int32","public","False","False","False","","0x04003DC0"
"DolocAPI/<Command_SubmitItemToNpcByInfo>d__946","<>t__builder","Cysharp.Threading.Tasks.CompilerServices.AsyncUniTaskMethodBuilder","public","False","False","False","","0x04003DC1"
"DolocAPI/<Command_SubmitItemToNpcByInfo>d__946","infoId","System.String","public","False","False","False","","0x04003DC2"
"DolocAPI/<Command_SubmitItemToNpcByInfo>d__946","<>u__1","Cysharp.Threading.Tasks.UniTask/Awaiter","private","False","False","False","","0x04003DC3"
