"type","name","full_name","return_type","parameters","visibility","is_static","is_virtual","is_abstract","is_constructor","has_body","body_code_size","token"
"DolocAPI","IsVisitedNpcName","System.Boolean DolocAPI::IsVisitedNpcName(System.String)","System.Boolean","System.String npcName","public","True","False","False","False","True","29","0x060000C3"
"DolocAPI","GetNpcTitle","System.String DolocAPI::GetNpcTitle(System.String,System.Boolean)","System.String","System.String npcName; System.Boolean ignoreUnknown","public","True","False","False","False","True","32","0x060000C4"
"DolocAPI","GetNpcLikingLvLimit","System.Int32 DolocAPI::GetNpcLikingLvLimit(System.String)","System.Int32","System.String npcName","public","True","False","False","False","True","29","0x060000D1"
"DolocAPI","GetMissionLogs","System.Collections.Generic.IEnumerable`1<DolocTown.GameData.MissionLog> DolocAPI::GetMissionLogs(System.String)","System.Collections.Generic.IEnumerable`1<DolocTown.GameData.MissionLog>","System.String missionId","public","True","False","False","False","True","46","0x060000DC"
"DolocAPI","DoWebRequest","System.Void DolocAPI::DoWebRequest(UnityEngine.Networking.UnityWebRequest)","System.Void","UnityEngine.Networking.UnityWebRequest req","public","True","False","False","False","True","26","0x060000E1"
"DolocAPI","get_CurrentDialogueHostTransform","UnityEngine.Transform DolocAPI::get_CurrentDialogueHostTransform()","UnityEngine.Transform","","public","True","False","False","False","True","33","0x0600010C"
"DolocAPI","StartMissionChain","System.Boolean DolocAPI::StartMissionChain(System.String)","System.Boolean","System.String missionId","public","True","False","False","False","True","34","0x060001D2"
"DolocAPI","StartFactionMission","System.Void DolocAPI::StartFactionMission(System.String)","System.Void","System.String missionId","public","True","False","False","False","True","13","0x060001D3"
"DolocAPI","IsFactionMissionComplete","System.Boolean DolocAPI::IsFactionMissionComplete(System.String)","System.Boolean","System.String factionMissionId","public","True","False","False","False","True","44","0x060001D4"
"DolocAPI","IsMissionComplete","System.Boolean DolocAPI::IsMissionComplete(System.String)","System.Boolean","System.String id","public","True","False","False","False","True","32","0x060001D5"
"DolocAPI","IsMissionListening","System.Boolean DolocAPI::IsMissionListening(System.String)","System.Boolean","System.String id","public","True","False","False","False","True","32","0x060001D6"
"DolocAPI","IsMissionInProcess","System.Boolean DolocAPI::IsMissionInProcess(System.String)","System.Boolean","System.String missionId","public","True","False","False","False","True","66","0x060001D7"
