"caller_type","caller_method","caller_full_name","offset","opcode","target_type","target_method","target_full_name"
"DolocAPI","QueryRecipeProto","System.Boolean DolocAPI::QueryRecipeProto(System.String,DolocTown.Config.Recipe.RecipeInfo&)","IL_0006","callvirt","DolocTown.Config.Tables","get_TbRecipe","DolocTown.Config.Recipe.TbRecipe DolocTown.Config.Tables::get_TbRecipe()"
"DolocAPI","QueryRecipeProto","System.Boolean DolocAPI::QueryRecipeProto(System.String,DolocTown.Config.Recipe.RecipeInfo&)","IL_000C","callvirt","DolocTown.Config.Recipe.TbRecipe","GetOrDefault","DolocTown.Config.Recipe.RecipeInfo DolocTown.Config.Recipe.TbRecipe::GetOrDefault(System.String)"
"DolocAPI","QueryRecipe","System.Boolean DolocAPI::QueryRecipe(System.String,DolocTown.Recipe&)","IL_0002","newobj","DolocTown.Recipe",".ctor","System.Void DolocTown.Recipe::.ctor(System.String)"
"DolocAPI","QueryRecipe","System.Boolean DolocAPI::QueryRecipe(System.String,DolocTown.Recipe&)","IL_000A","callvirt","DolocTown.Recipe","get_isValid","System.Boolean DolocTown.Recipe::get_isValid()"
"DolocAPI","Command_UnlockAllEquipment","System.Void DolocAPI::Command_UnlockAllEquipment()","IL_002B","call","DolocTown.GameData.ArchiveOperationFarm","UnlockRecipe","System.Boolean DolocTown.GameData.ArchiveOperationFarm::UnlockRecipe(DolocTown.GameData.ArchiveDataHandle,System.String,System.Boolean)"
"DolocAPI","Command_UnlockRecipeGlobal","System.Void DolocAPI::Command_UnlockRecipeGlobal(System.String,System.Boolean)","IL_001D","call","DolocTown.GameData.ArchiveOperationFarm","UnlockRecipe","System.Boolean DolocTown.GameData.ArchiveOperationFarm::UnlockRecipe(DolocTown.GameData.ArchiveDataHandle,System.String,System.Boolean)"
"DolocAPI","Command_UnlockRecipeGlobal","System.Void DolocAPI::Command_UnlockRecipeGlobal(System.String,System.Boolean)","IL_0025","newobj","DolocTown.RewardRecipe",".ctor","System.Void DolocTown.RewardRecipe::.ctor(System.String)"
"DolocAPI","Command_UnlockAllRecipeInGroup","System.Void DolocAPI::Command_UnlockAllRecipeInGroup(System.String)","IL_0019","call","DolocTown.GameData.ArchiveOperationFarm","UnlockRecipeGroup","System.Boolean DolocTown.GameData.ArchiveOperationFarm::UnlockRecipeGroup(DolocTown.GameData.ArchiveDataHandle,System.String)"
"DolocAPI","Command_UnlockAllRecipes","System.Void DolocAPI::Command_UnlockAllRecipes()","IL_0005","callvirt","DolocTown.Config.Tables","get_TbRecipe","DolocTown.Config.Recipe.TbRecipe DolocTown.Config.Tables::get_TbRecipe()"
"DolocAPI","Command_UnlockAllRecipes","System.Void DolocAPI::Command_UnlockAllRecipes()","IL_000A","callvirt","DolocTown.Config.Recipe.TbRecipe","get_DataList","System.Collections.Generic.List`1<DolocTown.Config.Recipe.RecipeInfo> DolocTown.Config.Recipe.TbRecipe::get_DataList()"
