"type","name","field_type","visibility","is_static","is_readonly","is_literal","constant","token"
"DolocGameAssets","UI_ELEMENT_MAKE_RECIPE_SLOT","DolocGameAssets","public","True","False","True","29","0x04000199"
"DolocGameAssets","UI_ICON_RECIPE","DolocGameAssets","public","True","False","True","95","0x040001DB"
"DolocGameAssets","GAME_ENTITY_MONSTER_AIRCRAFT","DolocGameAssets","public","True","False","True","168","0x04000224"
"DolocTown.RewardRecipe","recipeName","System.String","public","False","True","False","","0x04000823"
"DolocTown.ExchangeStoreRecipe","data","DolocTown.Config.Store.ExchangeStoreItemData","public","False","True","False","","0x0400082A"
"DolocTown.ExchangeStoreRecipe","<Storage>k__BackingField","System.Int32","private","False","True","False","","0x0400082B"
"DolocTown.ExchangeStoreRecipe","<isValid>k__BackingField","System.Boolean","private","False","True","False","","0x0400082C"
"DolocTown.BattleUtils","_damageFormula","XLua.LuaFunction","private","True","False","False","","0x04000855"
"DolocTown.AutomateBotDecisionMakerProcessing/<>c__DisplayClass9_0","<>9__0","System.Func`2<DolocTown.Synthesizer,System.Boolean>","public","False","False","False","","0x04004265"
"DolocTown.AutomateParamProcessing","recipes","System.Collections.Generic.HashSet`1<System.String>","private","False","False","False","","0x04000C28"
"DolocTown.AutomateParamProcessing","SubRecipe","DolocTown.Config.Recipe.RecipeSubTypeInfo","public","False","False","False","","0x04000C2B"
"DolocTown.AutomateParamProcessing/<>c__DisplayClass19_0","subType","DolocTown.Config.Recipe.RecipeSubTypeInfo","public","False","False","False","","0x040042BC"
"DolocTown.AutomateParamProcessing/<>c__DisplayClass20_0","subType","DolocTown.Config.Recipe.RecipeSubTypeInfo","public","False","False","False","","0x040042BD"
"DolocTown.AutomateParamProcessing/<>c","<>9__20_1","System.Func`2<DolocTown.Config.Recipe.RecipeInfo,System.String>","public","True","False","False","","0x040042BF"
"DolocTown.Synthesizer","recipeGroup","DolocTown.RecipeGroup","protected","False","False","False","","0x04000C6B"
"DolocTown.Synthesizer","dishGroup","DolocTown.DishGroup","protected","False","False","False","","0x04000C6C"
"DolocTown.Synthesizer","latestRecipe","DolocTown.IRecipe","protected","False","False","False","","0x04000C6D"
"DolocTown.Synthesizer","latestRecipeGroup","DolocTown.IRecipeGroup","private","False","False","False","","0x04000C6E"
"DolocTown.Synthesizer","itemBuffer","DolocTown.LinearInventory","protected","False","False","False","","0x04000C6F"
"DolocTown.Synthesizer","taskCounter","RedSaw.Counter","protected","False","False","False","","0x04000C70"
"DolocTown.Synthesizer","_useConversionMode","System.Nullable`1<System.Boolean>","private","False","False","False","","0x04000C71"
"DolocTown.Synthesizer","latestItem","DolocTown.CountItem","protected","False","False","False","","0x04000C72"
"DolocTown.Synthesizer/<>c","<>9","DolocTown.Synthesizer/<>c","public","True","True","False","","0x040042DB"
"DolocTown.Synthesizer/<>c","<>9__33_0","System.Func`2<DolocTown.IRecipe,System.Boolean>","public","True","False","False","","0x040042DC"
"DolocTown.Synthesizer/<>c","<>9__57_0","System.Func`2<DolocTown.CountItem,UnityEngine.Sprite>","public","True","False","False","","0x040042DD"
"DolocTown.Synthesizer/<>c","<>9__58_0","System.Func`2<DolocTown.CountItem,UnityEngine.Sprite>","public","True","False","False","","0x040042DE"
"DolocTown.Synthesizer/<>c__DisplayClass42_0","<>4__this","DolocTown.Synthesizer","public","False","False","False","","0x040042DF"
"DolocTown.Synthesizer/<>c__DisplayClass42_0","taskTitle","System.String","public","False","False","False","","0x040042E0"
"DolocTown.Synthesizer/<>c__DisplayClass42_0","taskInfo","System.String","public","False","False","False","","0x040042E1"
"DolocTown.Synthesizer/<>c__DisplayClass57_0","<>4__this","DolocTown.Synthesizer","public","False","False","False","","0x040042E2"
"DolocTown.Synthesizer/<>c__DisplayClass57_0","icons","UnityEngine.Sprite[]","public","False","False","False","","0x040042E3"
"DolocTown.Synthesizer/<>c__DisplayClass73_0","content","DolocTown.Item","public","False","False","False","","0x040042E4"
"DolocTown.Synthesizer/<>c__DisplayClass73_0","<>9__1","System.Func`2<DolocTown.CountItem,System.Boolean>","public","False","False","False","","0x040042E5"
"DolocTown.ProcessingMission","recipe","DolocTown.Recipe","public","False","True","False","","0x04000C80"
"DolocTown.ProcessingMission","machine","DolocTown.Synthesizer","public","False","True","False","","0x04000C82"
"DolocTown.GeneSynthesizer","<inventory>k__BackingField","DolocTown.LinearInventory","private","False","False","False","","0x04000DD8"
"DolocTown.GeneSynthesizer/<>c","<>9","DolocTown.GeneSynthesizer/<>c","public","True","True","False","","0x04004371"
"DolocTown.GeneSynthesizer/<>c","<>9__10_1","System.Func`1<System.String>","public","True","False","False","","0x04004372"
"DolocTown.GeneSynthesizer/<>c","<>9__15_0","System.Func`2<DolocTown.Item,System.Boolean>","public","True","False","False","","0x04004373"
"DolocTown.GeneSynthesizer/<>c","<>9__23_0","System.Func`2<DolocTown.Item,System.Boolean>","public","True","False","False","","0x04004374"
"DolocTown.CustomSynthesizer/<>c__DisplayClass4_0","<>4__this","DolocTown.CustomSynthesizer","public","False","False","False","","0x040043C4"
"DolocTown.CustomSynthesizer/<>c__DisplayClass4_0","taskTitle","System.String","public","False","False","False","","0x040043C5"
"DolocTown.SynthesizerGenerator","func","DolocTown.Config.Equipment.EquipmentFuncSynthesizerGenerator","private","False","True","False","","0x04000E31"
"DolocTown.ItemRecipe","_recipe","DolocTown.Recipe","private","False","False","False","","0x04000ED9"
"DolocTown.ItemRecipeGroup","_recipeGroup","DolocTown.RecipeGroup","private","False","False","False","","0x04000EDA"
"DolocTown.Dish","proto","DolocTown.Config.Recipe.DishInfo","public","False","True","False","","0x04000F64"
"DolocTown.DishGroup","proto","DolocTown.Config.Recipe.DishGroupInfo","public","False","True","False","","0x04000F69"
"DolocTown.Recipe","id","System.String","private","False","False","False","","0x04000F6C"
"DolocTown.Recipe","proto","DolocTown.Config.Recipe.RecipeInfo","public","False","True","False","","0x04000F6D"
"DolocTown.Recipe","<isValid>k__BackingField","System.Boolean","private","False","True","False","","0x04000F6E"
"DolocTown.RecipeGroup","proto","DolocTown.Config.Recipe.RecipeGroupInfo","public","False","True","False","","0x04000F6F"
"DolocTown.RecipeGroup","<TimeAddition>k__BackingField","System.Single","private","False","False","False","","0x04000F70"
"DolocTown.RecipeGroup","<isValid>k__BackingField","System.Boolean","private","False","True","False","","0x04000F71"
"DolocTown.RecipeManager","unlockedRecipes","System.Collections.Generic.HashSet`1<System.String>","private","False","False","False","","0x04000F72"
"DolocTown.RecipeManager","unlockedDishes","System.Collections.Generic.HashSet`1<System.String>","private","False","False","False","","0x04000F73"
"DolocTown.AircraftEngineSmoke","_collisionLayer","UnityEngine.LayerMask","private","False","False","False","","0x04001279"
"DolocTown.AircraftEngineSmoke","_particleSystem","UnityEngine.ParticleSystem","private","False","False","False","","0x0400127A"
"DolocTown.AircraftEngineSmoke","_detectDistance","System.Single","private","False","False","False","","0x0400127B"
"DolocTown.AgentEquipmentFunctionCook","func","DolocTown.Config.Player.AgentEquipmentFuncProtoCook","public","False","True","False","","0x04001456"
"DolocTown.SoundEvents","EQUIPMENT_SYNTHESIZE_END","DolocTown.SoundEvents","public","True","False","True","90","0x040015F0"
"DolocTown.BuildingPanelUiState/<>c__DisplayClass13_0","recipe","DolocTown.IRecipe","public","False","False","False","","0x04004641"
"DolocTown.EquipmentPanelUiState/<>c__DisplayClass36_0","recipe","DolocTown.IRecipe","public","False","False","False","","0x04004648"
"DolocTown.RecipePanelUiState","inventoriesAround","DolocTown.LinearInventory[]","private","False","False","False","","0x04001673"
"DolocTown.RecipePanelUiState","inFixedTask","System.Boolean","private","False","False","False","","0x04001674"
"DolocTown.RecipePanelUiState","inDynamicTask","System.Boolean","private","False","False","False","","0x04001675"
"DolocTown.RecipePanelUiState","taskTitle","System.String","private","False","False","False","","0x04001676"
"DolocTown.RecipePanelUiState","confirmText","System.String","private","False","False","False","","0x04001677"
"DolocTown.RecipePanelUiState","recipeGroup","DolocTown.IRecipeGroup","private","False","False","False","","0x04001678"
"DolocTown.RecipePanelUiState","dishGroup","DolocTown.DishGroup","private","False","False","False","","0x04001679"
"DolocTown.RecipePanelUiState","dishItemBuffer","DolocTown.LinearInventory","private","False","False","False","","0x0400167A"
"DolocTown.RecipePanelUiState","unlockedRecipes","DolocTown.IRecipe[]","private","False","False","False","","0x0400167B"
"DolocTown.RecipePanelUiState","craftState","System.Boolean","private","False","False","False","","0x0400167C"
"DolocTown.RecipePanelUiState","onCraft","System.Action`3<DolocTown.IRecipe,DolocTown.IRecipeGroup,System.Int32>","private","False","False","False","","0x0400167D"
"DolocTown.RecipePanelUiState","onExit","System.Action`2<DolocTown.IRecipe,DolocTown.IRecipeGroup>","private","False","False","False","","0x0400167E"
"DolocTown.RecipePanelUiState","currentPanelMode","DolocTown.UI.CookPanelMode","private","False","False","False","","0x0400167F"
"DolocTown.RecipePanelUiState","firstSelectedIndex","System.Int32","protected","False","False","False","","0x04001680"
"DolocTown.RecipePanelUiState","currentRecipe","DolocTown.IRecipe","private","False","False","False","","0x04001681"
"DolocTown.RecipePanelUiState","currentRecipeGroup","DolocTown.IRecipeGroup","private","False","False","False","","0x04001682"
"DolocTown.RecipePanelUiState","closeAfterCraft","System.Boolean","private","False","False","False","","0x04001683"
"DolocTown.RecipePanelUiState","maxCraftCountGetter","System.Func`2<DolocTown.IRecipe,System.Int32>","private","False","False","False","","0x04001684"
"DolocTown.RecipePanelUiState","recipeDataConverter","System.Func`2<DolocTown.IRecipe,DolocTown.UI.RecipeData>","private","False","False","False","","0x04001685"
"DolocTown.RecipePanelUiState","prevIndex","System.Int32","private","False","False","False","","0x04001686"
"DolocTown.RecipePanelUiState/<>c__DisplayClass54_0","<>4__this","DolocTown.RecipePanelUiState","public","False","False","False","","0x0400464E"
"DolocTown.RecipePanelUiState/<>c__DisplayClass54_0","useMaxCount","System.Boolean","public","False","False","False","","0x0400464F"
"DolocTown.RecipePanelUiState/<>c__DisplayClass54_0","maxCnt","System.Int32","public","False","False","False","","0x04004650"
"DolocTown.RecipePanelUiState/<>c__DisplayClass56_0","<>4__this","DolocTown.RecipePanelUiState","public","False","False","False","","0x04004651"
"DolocTown.RecipePanelUiState/<>c__DisplayClass56_0","count","System.Int32","public","False","False","False","","0x04004652"
"DolocTown.RecipePanelUiState/<>c__DisplayClass75_0","<>4__this","DolocTown.RecipePanelUiState","public","False","False","False","","0x04004653"
"DolocTown.RecipePanelUiState/<>c__DisplayClass75_0","store","DolocTown.ExchangeStore","public","False","False","False","","0x04004654"
"DolocTown.AutomateBotUiState","currentRecipeList","System.Collections.Generic.List`1<System.String>","private","False","False","False","","0x040016A5"
"DolocTown.AutomateBotUiState","recipeName","System.String","private","False","False","False","","0x040016A6"
"DolocTown.ConversionRecipeUiState","recipeGroup","DolocTown.IRecipeGroup","private","False","False","False","","0x040016DD"
"DolocTown.ConversionRecipeUiState","currentRecipe","DolocTown.IRecipe","private","False","False","False","","0x040016DE"
"DolocTown.ConversionRecipeUiState","allRecipes","DolocTown.IRecipe[]","private","False","False","False","","0x040016DF"
"DolocTown.ConversionRecipeUiState","onCraft","System.Action`3<DolocTown.IRecipe,DolocTown.IRecipeGroup,System.Int32>","private","False","False","False","","0x040016E0"
"DolocTown.ConversionRecipeUiState","backupItemName","System.Boolean","private","False","False","False","","0x040016E1"
"DolocTown.ConversionRecipeUiState","canEditBuffer","System.Boolean","private","False","False","False","","0x040016E2"
"DolocTown.ConversionRecipeUiState","taskTitle","System.String","private","False","False","False","","0x040016E3"
"DolocTown.ConversionRecipeUiState","extraInfoGetter","System.Func`2<DolocTown.Item,System.String>","private","False","False","False","","0x040016E4"
"DolocTown.ConversionRecipeUiState","restTimeInfoGetter","System.Func`4<DolocTown.IRecipeGroup,DolocTown.IRecipe,System.Int32,System.String>","private","False","False","False","","0x040016E5"
"DolocTown.ConversionRecipeUiState","previewItemHandler","System.Func`2<DolocTown.Item,DolocTown.Item>","private","False","False","False","","0x040016E6"
"DolocTown.GarbageShredderUiState","maxCraftCount","System.Int32","private","False","False","False","","0x040016F3"
"DolocTown.GarbageShredderUiState","onCraft","System.Action","private","False","False","False","","0x040016F4"
"DolocTown.CraftedItem","targetItem","DolocTown.CountItem","public","False","False","False","","0x040017A7"
"DolocTown.CraftedItem","costItems","DolocTown.CountItem[]","public","False","False","False","","0x040017A8"
"DolocTown.UserSettings","<useQuickCraft>k__BackingField","System.Boolean","private","False","False","False","","0x040017DA"
"DolocTown.UserSettings","<openMenuWhenRecipeConflict>k__BackingField","System.Boolean","private","False","False","False","","0x040017DB"
"DolocTown.UserSettings","<selectFirstRecipe>k__BackingField","System.Boolean","private","False","False","False","","0x040017DC"
"DolocTown.BuildingRecipe","data","DolocTown.Config.Building.BuildingInfo","public","False","True","False","","0x0400193C"
"DolocTown.BuildingRecipe","<isValid>k__BackingField","System.Boolean","private","False","True","False","","0x0400193D"
"DolocTown.UI.AnimalViewer","callButton","DolocTown.UI.ConfirmCraftButton","public","False","False","False","","0x04001AC3"
"DolocTown.UI.ItemRecipeListViewer","distanceWeight","System.Single","public","False","False","False","","0x04001B6B"
"DolocTown.UI.ItemRecipeListViewer","angleLimit","System.Single","public","False","False","False","","0x04001B6C"
"DolocTown.UI.ItemRecipeListViewer","viewport","UnityEngine.RectTransform","private","False","False","False","","0x04001B6D"
"DolocTown.UI.ItemRecipeListViewer","moveDuration","System.Single","private","False","False","False","","0x04001B6E"
"DolocTown.UI.ItemRecipeListViewer","scrollOffset","System.Single","private","False","False","False","","0x04001B6F"
"DolocTown.UI.ItemRecipeListViewer","itemListViewer","DolocTown.UI.ItemListViewer","private","False","False","False","","0x04001B70"
"DolocTown.UI.ItemRecipeListViewer/<>c__DisplayClass17_0","slot","DolocTown.UI.ItemRecipeSlot","public","False","False","False","","0x040048BB"
"DolocTown.UI.ItemRecipeListViewer/<>c__DisplayClass17_0","<>4__this","DolocTown.UI.ItemRecipeListViewer","public","False","False","False","","0x040048BC"
"DolocTown.UI.ItemRecipeListViewer/<>c__DisplayClass17_1","i","System.Int32","public","False","False","False","","0x040048BD"
"DolocTown.UI.ItemRecipeListViewer/<>c__DisplayClass17_1","<>4__this","DolocTown.UI.ItemRecipeListViewer","public","False","False","False","","0x040048BE"
"DolocTown.UI.ItemRecipeData","<notEmpty>k__BackingField","System.Boolean","private","False","True","False","","0x04001B71"
"DolocTown.UI.ItemRecipeData","<isUnlock>k__BackingField","System.Boolean","private","False","True","False","","0x04001B72"
"DolocTown.UI.ItemRecipeData","<uiSprite>k__BackingField","UnityEngine.Sprite","private","False","True","False","","0x04001B73"
"DolocTown.UI.ItemRecipeData","<outputCount>k__BackingField","System.String","private","False","True","False","","0x04001B74"
"DolocTown.UI.ItemRecipeData","<simpleData>k__BackingField","DolocTown.UI.ItemSimpleData[]","private","False","True","False","","0x04001B75"
"DolocTown.UI.ItemRecipeData","<hasSynthesizer>k__BackingField","System.Boolean","private","False","True","False","","0x04001B76"
"DolocTown.UI.ItemRecipeData","<synthesizerName>k__BackingField","System.String","private","False","True","False","","0x04001B77"
"DolocTown.UI.ItemRecipeData","<time>k__BackingField","System.String","private","False","True","False","","0x04001B78"
"DolocTown.UI.ItemRecipeData","<emptyHint>k__BackingField","System.String","private","False","True","False","","0x04001B79"
"DolocTown.UI.ItemRecipeData","<targetItemName>k__BackingField","System.String","private","False","True","False","","0x04001B7A"
"DolocTown.UI.ItemRecipeData","<outputItemName>k__BackingField","System.String","private","False","True","False","","0x04001B7B"
"DolocTown.UI.ItemRecipeData","<recipeProto>k__BackingField","DolocTown.Config.Recipe.RecipeInfo","private","False","True","False","","0x04001B7C"
"DolocTown.UI.ItemRecipeData/<>c","<>9","DolocTown.UI.ItemRecipeData/<>c","public","True","True","False","","0x040048BF"
"DolocTown.UI.ItemRecipeData/<>c","<>9__36_0","System.Func`2<DolocTown.CountItem,DolocTown.UI.ItemSimpleData>","public","True","False","False","","0x040048C0"
"DolocTown.UI.ItemRecipeSlot","contentGroup","UnityEngine.CanvasGroup","private","False","False","False","","0x04001B7D"
"DolocTown.UI.ItemRecipeSlot","outputRecipeItem","DolocTown.UI.RecipeSubItemSlot","private","False","False","False","","0x04001B7E"
"DolocTown.UI.ItemRecipeSlot","inputItems","DolocTown.UI.InputItemViewer","private","False","False","False","","0x04001B7F"
"DolocTown.UI.ItemRecipeSlot","synthesizeGroup","UnityEngine.GameObject","private","False","False","False","","0x04001B80"
"DolocTown.UI.ItemRecipeSlot","synthesizer","UnityEngine.UI.Text","private","False","False","False","","0x04001B81"
"DolocTown.UI.ItemRecipeSlot","time","UnityEngine.UI.Text","private","False","False","False","","0x04001B82"
"DolocTown.UI.ItemRecipeSlot","hintText","UnityEngine.UI.Text","private","False","False","False","","0x04001B83"
"DolocTown.UI.ItemRecipeSlot","itemGetter","System.Func`2<System.Int32,DolocTown.Config.Recipe.RecipeInfo>","public","False","False","False","","0x04001B84"
"DolocTown.UI.ItemRecipeSlot","selectCallback","System.Action","private","False","False","False","","0x04001B85"
"DolocTown.UI.ItemRecipeSlot","firstSelected","UnityEngine.UI.Selectable","public","False","False","False","","0x04001B86"
"DolocTown.UI.ItemRecipeSlot","selectables","System.Collections.Generic.List`1<UnityEngine.UI.Selectable>","private","False","False","False","","0x04001B87"
"DolocTown.UI.ItemDetailData","<recipesData>k__BackingField","DolocTown.UI.ItemRecipeData[]","private","False","True","False","","0x04001B92"
"DolocTown.UI.ItemDetailData/<GetRelatedRecipesData>d__34","<>1__state","System.Int32","private","False","False","False","","0x040048C4"
"DolocTown.UI.ItemDetailData/<GetRelatedRecipesData>d__34","<>2__current","System.String","private","False","False","False","","0x040048C5"
"DolocTown.UI.ItemDetailData/<GetRelatedRecipesData>d__34","<>l__initialThreadId","System.Int32","private","False","False","False","","0x040048C6"
"DolocTown.UI.ItemDetailData/<GetRelatedRecipesData>d__34","<>4__this","DolocTown.UI.ItemDetailData","public","False","False","False","","0x040048C7"
"DolocTown.UI.ItemDetailData/<GetRelatedRecipesData>d__34","<>3__<>4__this","DolocTown.UI.ItemDetailData","public","False","False","False","","0x040048C8"
"DolocTown.UI.ItemDetailData/<GetRelatedRecipesData>d__34","<>7__wrap1","System.Collections.Generic.List`1/Enumerator<DolocTown.Config.Recipe.RecipeInfo>","private","False","False","False","","0x040048C9"
"DolocTown.UI.ItemDetailData/<GetRelatedRecipesData>d__34","<recipeProto>5__3","DolocTown.Config.Recipe.RecipeInfo","private","False","False","False","","0x040048CA"
"DolocTown.UI.ItemDetailData/<GetRelatedRecipesData>d__34","<>7__wrap3","DolocTown.CountItem[]","private","False","False","False","","0x040048CB"
"DolocTown.UI.ItemDetailData/<GetRelatedRecipesData>d__34","<>7__wrap4","System.Int32","private","False","False","False","","0x040048CC"
"DolocTown.UI.ItemViewer","itemRecipeListViewer","DolocTown.UI.ItemRecipeListViewer","public","False","False","False","","0x04001B99"
"DolocTown.UI.ItemViewer","recipeView","UnityEngine.GameObject","private","False","False","False","","0x04001B9F"
"DolocTown.UI.RecipeSubItemSlot","textNum","UnityEngine.UI.Text","private","False","False","False","","0x04001BA6"
"DolocTown.UI.RecipeSubItemSlot","normalBgColor","UnityEngine.Color","private","False","False","False","","0x04001BA7"
"DolocTown.UI.RecipeSubItemSlot","highLightBgColor","UnityEngine.Color","private","False","False","False","","0x04001BA8"
"DolocTown.UI.RecipeSubItemSlot","border","UnityEngine.GameObject","private","False","False","False","","0x04001BA9"
"DolocTown.UI.RecipeSubItemSlot","resetScrollRectCallback","System.Action`1<UnityEngine.RectTransform>","public","False","False","False","","0x04001BAA"
"DolocTown.UI.RecipeSubItemSlot","parentSlot","DolocTown.UI.ItemRecipeSlot","private","False","False","False","","0x04001BAB"
"DolocTown.UI.BuildingData","<recipeTitle>k__BackingField","System.String","private","False","True","False","","0x04001C21"
"DolocTown.UI.ConfirmCraftButton","normalColor","UnityEngine.Color","private","False","False","False","","0x04001C2E"
"DolocTown.UI.ConfirmCraftButton","grayColor","UnityEngine.Color","private","False","False","False","","0x04001C2F"
"DolocTown.UI.ConfirmCraftButton","textCom","DolocTown.UI.DeviceDetectTextCom","private","False","False","False","","0x04001C30"
"DolocTown.UI.ConfirmCraftButton","text","UnityEngine.UI.Text","private","False","False","False","","0x04001C31"
"DolocTown.UI.ConfirmCraftButton","progress","UnityEngine.UI.Image","public","False","False","False","","0x04001C32"
