"namespace","name","full_name","kind","visibility","base_type","interfaces","is_abstract","is_sealed","declaring_type","methods","fields","properties","events","token"
"DolocTown","RewardRecipe","DolocTown.RewardRecipe","class","public","DolocTown.Reward","","False","False","","9","1","4","0","0x0200020C"
"DolocTown","ExchangeStoreRecipe","DolocTown.ExchangeStoreRecipe","class","public","System.Object","DolocTown.IRecipe","False","False","","11","3","10","0","0x0200020F"
"DolocTown","MonsterDecoratorAircraft","DolocTown.MonsterDecoratorAircraft","class","public","DolocTown.MonsterDecorator","","False","False","","2","0","0","0","0x0200026F"
"DolocTown","AttackBehaviourRendererAircraft","DolocTown.AttackBehaviourRendererAircraft","class","public","DolocTown.AttackBehaviourRenderer","","False","False","","2","0","0","0","0x020002A7"
"DolocTown","Synthesizer","DolocTown.Synthesizer","class","public","DolocTown.EquipmentWorker","DolocTown.IContainer","False","False","","50","8","16","0","0x02000364"
"","<>c","DolocTown.Synthesizer/<>c","class","private","System.Object","","False","True","DolocTown.Synthesizer","5","4","0","0","0x02000FA5"
"","<>c__DisplayClass42_0","DolocTown.Synthesizer/<>c__DisplayClass42_0","class","private","System.Object","","False","True","DolocTown.Synthesizer","3","3","0","0","0x02000FA6"
"","<>c__DisplayClass57_0","DolocTown.Synthesizer/<>c__DisplayClass57_0","class","private","System.Object","","False","True","DolocTown.Synthesizer","2","2","0","0","0x02000FA7"
"","<>c__DisplayClass73_0","DolocTown.Synthesizer/<>c__DisplayClass73_0","class","private","System.Object","","False","True","DolocTown.Synthesizer","3","2","0","0","0x02000FA8"
"DolocTown","GeneSynthesizer","DolocTown.GeneSynthesizer","class","public","DolocTown.EquipmentWorker","DolocTown.IContainer","False","False","","19","1","5","0","0x020003D2"
"","<>c","DolocTown.GeneSynthesizer/<>c","class","private","System.Object","","False","True","DolocTown.GeneSynthesizer","5","4","0","0","0x02000FD3"
"DolocTown","CustomSynthesizer","DolocTown.CustomSynthesizer","class","public","DolocTown.Synthesizer","","True","False","","6","0","1","0","0x020003ED"
"","<>c__DisplayClass4_0","DolocTown.CustomSynthesizer/<>c__DisplayClass4_0","class","private","System.Object","","False","True","DolocTown.CustomSynthesizer","2","2","0","0","0x02000FE8"
"DolocTown","SynthesizerGenerator","DolocTown.SynthesizerGenerator","class","public","DolocTown.EquipmentWorker","","False","False","","5","1","0","0","0x020003EE"
"DolocTown","ItemRecipe","DolocTown.ItemRecipe","class","public","DolocTown.Item","","False","False","","9","1","4","0","0x0200044A"
"DolocTown","ItemRecipeGroup","DolocTown.ItemRecipeGroup","class","public","DolocTown.Item","","False","False","","7","1","2","0","0x0200044B"
"DolocTown","IRecipe","DolocTown.IRecipe","interface","public","","","True","False","","14","0","9","0","0x02000484"
"DolocTown","IRecipeGroup","DolocTown.IRecipeGroup","interface","public","","","True","False","","18","0","11","0","0x02000485"
"DolocTown","Recipe","DolocTown.Recipe","class","public","System.Object","DolocTown.IRecipe","False","False","","11","3","9","0","0x02000486"
"DolocTown","RecipeGroup","DolocTown.RecipeGroup","class","public","System.Object","DolocTown.IRecipeGroup","False","False","","19","3","12","0","0x02000487"
"DolocTown","RecipeManager","DolocTown.RecipeManager","class","public","System.Object","","False","False","","11","2","5","0","0x02000488"
"DolocTown","AircraftEngineSmoke","DolocTown.AircraftEngineSmoke","class","public","UnityEngine.MonoBehaviour","","False","False","","2","3","0","0","0x0200055C"
"DolocTown","AgentEquipmentFunctionCook","DolocTown.AgentEquipmentFunctionCook","class","public","DolocTown.AgentEquipmentFunction","","False","False","","1","1","0","0","0x020005BA"
"DolocTown","RecipePanelUiState","DolocTown.RecipePanelUiState","class","public","DolocTown.DolocUiState`1<DolocTown.UI.CookPanel>","","False","False","","48","20","12","0","0x02000621"
"","<>c__DisplayClass54_0","DolocTown.RecipePanelUiState/<>c__DisplayClass54_0","class","private","System.Object","","False","True","DolocTown.RecipePanelUiState","2","3","0","0","0x020010BC"
"","<>c__DisplayClass56_0","DolocTown.RecipePanelUiState/<>c__DisplayClass56_0","class","private","System.Object","","False","True","DolocTown.RecipePanelUiState","2","2","0","0","0x020010BD"
"","<>c__DisplayClass75_0","DolocTown.RecipePanelUiState/<>c__DisplayClass75_0","class","private","System.Object","","False","True","DolocTown.RecipePanelUiState","3","2","0","0","0x020010BE"
"DolocTown","ConversionRecipeUiState","DolocTown.ConversionRecipeUiState","class","public","DolocTown.ContainerBaseUiState","","False","False","","23","10","2","0","0x0200063A"
"DolocTown","CraftQuantitySubmitUiState","DolocTown.CraftQuantitySubmitUiState","class","public","DolocTown.QuantitySubmitUiStateBase`2<DolocTown.UI.CraftQuantitySubmitPanel,DolocTown.UI.CraftQuantityData>","","False","False","","1","0","0","0","0x0200065E"
"DolocTown","CraftedItem","DolocTown.CraftedItem","class","public","System.Object","","False","False","","1","2","0","0","0x0200067D"
"DolocTown","BuildingRecipe","DolocTown.BuildingRecipe","class","public","System.Object","DolocTown.IRecipe","False","False","","11","2","10","0","0x020006E4"
"DolocTown.UI","ItemRecipeListViewer","DolocTown.UI.ItemRecipeListViewer","class","public","DolocTown.UI.DolocScrollGridUI`2<DolocTown.UI.ItemRecipeSlot,DolocTown.UI.ItemRecipeData>","","False","False","","15","6","3","0","0x02000765"
"","<>c__DisplayClass17_0","DolocTown.UI.ItemRecipeListViewer/<>c__DisplayClass17_0","class","private","System.Object","","False","True","DolocTown.UI.ItemRecipeListViewer","2","2","0","0","0x02001161"
"","<>c__DisplayClass17_1","DolocTown.UI.ItemRecipeListViewer/<>c__DisplayClass17_1","class","private","System.Object","","False","True","DolocTown.UI.ItemRecipeListViewer","3","2","0","0","0x02001162"
"DolocTown.UI","ItemRecipeScrollRect","DolocTown.UI.ItemRecipeScrollRect","class","public","UnityEngine.UI.ScrollRect","","False","False","","1","0","0","0","0x02000766"
"DolocTown.UI","ItemRecipeData","DolocTown.UI.ItemRecipeData","struct","public","System.ValueType","DolocTown.UI.IUIData","False","True","","13","12","12","0","0x02000767"
"","<>c","DolocTown.UI.ItemRecipeData/<>c","class","private","System.Object","","False","True","DolocTown.UI.ItemRecipeData","3","2","0","0","0x02001163"
