"caller_type","caller_method","caller_full_name","offset","opcode","target_type","target_method","target_full_name"
"<>f__AnonymousType0`2","Equals","System.Boolean <>f__AnonymousType0`2::Equals(System.Object)","IL_0022","call","System.Collections.Generic.EqualityComparer`1<<score>j__TPar>","get_Default","System.Collections.Generic.EqualityComparer`1<!0> System.Collections.Generic.EqualityComparer`1<<score>j__TPar>::get_Default()"
"<>f__AnonymousType0`2","Equals","System.Boolean <>f__AnonymousType0`2::Equals(System.Object)","IL_0033","callvirt","System.Collections.Generic.EqualityComparer`1<<score>j__TPar>","Equals","System.Boolean System.Collections.Generic.EqualityComparer`1<<score>j__TPar>::Equals(!0,!0)"
"<>f__AnonymousType0`2","GetHashCode","System.Int32 <>f__AnonymousType0`2::GetHashCode()","IL_0022","call","System.Collections.Generic.EqualityComparer`1<<score>j__TPar>","get_Default","System.Collections.Generic.EqualityComparer`1<!0> System.Collections.Generic.EqualityComparer`1<<score>j__TPar>::get_Default()"
"<>f__AnonymousType0`2","GetHashCode","System.Int32 <>f__AnonymousType0`2::GetHashCode()","IL_002D","callvirt","System.Collections.Generic.EqualityComparer`1<<score>j__TPar>","GetHashCode","System.Int32 System.Collections.Generic.EqualityComparer`1<<score>j__TPar>::GetHashCode(!0)"
"AddressablesUtility","GetAddressFromAssetReference","System.String AddressablesUtility::GetAddressFromAssetReference(UnityEngine.AddressableAssets.AssetReference)","IL_0002","call","UnityEngine.AddressableAssets.Addressables","LoadResourceLocationsAsync","UnityEngine.ResourceManagement.AsyncOperations.AsyncOperationHandle`1<System.Collections.Generic.IList`1<UnityEngine.ResourceManagement.ResourceLocations.IResourceLocation>> UnityEngine.AddressableAssets.Addressables::LoadResourceLocationsAsync(System.Object,System.Type)"
"AddressablesUtility","GetAddressFromAssetReference","System.String AddressablesUtility::GetAddressFromAssetReference(UnityEngine.AddressableAssets.AssetReference)","IL_000A","call","UnityEngine.ResourceManagement.AsyncOperations.AsyncOperationHandle`1<System.Collections.Generic.IList`1<UnityEngine.ResourceManagement.ResourceLocations.IResourceLocation>>","WaitForCompletion","!0 UnityEngine.ResourceManagement.AsyncOperations.AsyncOperationHandle`1<System.Collections.Generic.IList`1<UnityEngine.ResourceManagement.ResourceLocations.IResourceLocation>>::WaitForCompletion()"
"AddressablesUtility","GetAddressFromAssetReference","System.String AddressablesUtility::GetAddressFromAssetReference(UnityEngine.AddressableAssets.AssetReference)","IL_0011","callvirt","System.Collections.Generic.ICollection`1<UnityEngine.ResourceManagement.ResourceLocations.IResourceLocation>","get_Count","System.Int32 System.Collections.Generic.ICollection`1<UnityEngine.ResourceManagement.ResourceLocations.IResourceLocation>::get_Count()"
"AddressablesUtility","GetAddressFromAssetReference","System.String AddressablesUtility::GetAddressFromAssetReference(UnityEngine.AddressableAssets.AssetReference)","IL_001B","callvirt","System.Collections.Generic.IList`1<UnityEngine.ResourceManagement.ResourceLocations.IResourceLocation>","get_Item","!0 System.Collections.Generic.IList`1<UnityEngine.ResourceManagement.ResourceLocations.IResourceLocation>::get_Item(System.Int32)"
"AddressablesUtility","GetAddressFromAssetReference","System.String AddressablesUtility::GetAddressFromAssetReference(UnityEngine.AddressableAssets.AssetReference)","IL_0020","callvirt","UnityEngine.ResourceManagement.ResourceLocations.IResourceLocation","get_PrimaryKey","System.String UnityEngine.ResourceManagement.ResourceLocations.IResourceLocation::get_PrimaryKey()"
"AddressablesUtility","GetAddressFromAssetReference","System.String AddressablesUtility::GetAddressFromAssetReference(UnityEngine.AddressableAssets.AssetReference)","IL_0026","call","UnityEngine.AddressableAssets.Addressables","Release","System.Void UnityEngine.AddressableAssets.Addressables::Release<System.Collections.Generic.IList`1<UnityEngine.ResourceManagement.ResourceLocations.IResourceLocation>>(UnityEngine.ResourceManagement.AsyncOperations.AsyncOperationHandle`1<!!0>)"
"AddressablesUtility","GetAddressFromAssetReference","System.String AddressablesUtility::GetAddressFromAssetReference(UnityEngine.AddressableAssets.AssetReference)","IL_002D","call","UnityEngine.AddressableAssets.Addressables","Release","System.Void UnityEngine.AddressableAssets.Addressables::Release<System.Collections.Generic.IList`1<UnityEngine.ResourceManagement.ResourceLocations.IResourceLocation>>(UnityEngine.ResourceManagement.AsyncOperations.AsyncOperationHandle`1<!!0>)"
"ProbabilityTest","ValidateLutItems","System.Boolean ProbabilityTest::ValidateLutItems(System.Collections.Generic.List`1<ProbabilityTest/LutItem>)","IL_0037","call","DolocTown.DolocPatch","IsNullOrEmpty","System.Boolean DolocTown.DolocPatch::IsNullOrEmpty(System.String)"
"DolocAPI","InitDevelopmentHelper","System.Void DolocAPI::InitDevelopmentHelper()","IL_0010","call","UnityEngine.Resources","Load","!!0 UnityEngine.Resources::Load<UnityEngine.GameObject>(System.String)"
"DolocAPI","InitDevelopmentHelper","System.Void DolocAPI::InitDevelopmentHelper()","IL_006B","call","UnityEngine.Resources","Load","!!0 UnityEngine.Resources::Load<UnityEngine.GameObject>(System.String)"
"DolocAPI","InitDevelopmentHelper","System.Void DolocAPI::InitDevelopmentHelper()","IL_00B6","call","UnityEngine.Resources","Load","!!0 UnityEngine.Resources::Load<UnityEngine.GameObject>(System.String)"
"DolocAPI","__InstallConfigs","System.Void DolocAPI::__InstallConfigs()","IL_0014","callvirt","DolocBundleManager","get_effectsConfig","DolocTown.GameData.DRockEffectsConfig DolocBundleManager::get_effectsConfig()"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","IL_00C4","call","DolocTown.DolocPatch","IsNullOrEmpty","System.Boolean DolocTown.DolocPatch::IsNullOrEmpty(System.String)"
"DolocAPI","ReturnHome","System.Void DolocAPI::ReturnHome(System.Boolean)","IL_002D","call","DolocAPI","RemoveUiState","System.Void DolocAPI::RemoveUiState<DolocTown.TechTreeUiState>()"
"DolocAPI","QueryEquipment","System.Boolean DolocAPI::QueryEquipment(System.String,DolocTown.Config.Equipment.EquipmentInfo&)","IL_0004","call","DolocTown.DolocPatch","IsNullOrEmpty","System.Boolean DolocTown.DolocPatch::IsNullOrEmpty(System.String)"
"DolocAPI","IsVisitedNpcName","System.Boolean DolocAPI::IsVisitedNpcName(System.String)","IL_0001","call","System.String","IsNullOrEmpty","System.Boolean System.String::IsNullOrEmpty(System.String)"
"DolocAPI","GetNpcTitle","System.String DolocAPI::GetNpcTitle(System.String,System.Boolean)","IL_0001","call","System.String","IsNullOrEmpty","System.Boolean System.String::IsNullOrEmpty(System.String)"
