"type","name","field_type","visibility","is_static","is_readonly","is_literal","constant","token"
"<>f__AnonymousType0`2","<score>i__Field","<score>j__TPar","private","False","True","False","","0x04000002"
"DolocAPI/<>c","<>9__1003_0","System.Func`2<DolocTown.StoreUiState,System.Boolean>","public","True","False","False","","0x04003D39"
"DolocAPI/<>c__DisplayClass680_0","storeId","System.String","public","False","False","False","","0x04003D85"
"DolocAPI/<>c__DisplayClass718_0","treeId","System.String","public","False","False","False","","0x04003D8E"
"DolocAPI/<>c__DisplayClass718_0","<>9__1","System.Func`2<DolocTown.TechTreeUiState,System.Boolean>","public","False","False","False","","0x04003D90"
"DolocAPI/<>c__DisplayClass756_0","resourceType","DolocTown.Config.Resource.DungeonResourceType","public","False","False","False","","0x04003D91"
"DolocAPI/<>c__DisplayClass760_0","type","DolocTown.Config.Resource.DungeonResourceType","public","False","False","False","","0x04003D92"
"DolocAPI/<Command_DropMoney>d__912","<>1__state","System.Int32","public","False","False","False","","0x04003DAA"
"DolocAPI/<Command_DropMoney>d__912","<>t__builder","Cysharp.Threading.Tasks.CompilerServices.AsyncUniTaskMethodBuilder","public","False","False","False","","0x04003DAB"
"DolocAPI/<Command_DropMoney>d__912","totalMoney","System.Int32","public","False","False","False","","0x04003DAC"
"DolocAPI/<Command_DropMoney>d__912","dropCount","System.Int32","public","False","False","False","","0x04003DAD"
"DolocAPI/<Command_DropMoney>d__912","interval","System.Single","public","False","False","False","","0x04003DAE"
"DolocAPI/<Command_DropMoney>d__912","<host>5__2","DolocTown.IDropItemHost","private","False","False","False","","0x04003DAF"
"DolocAPI/<Command_DropMoney>d__912","<moneyPerDrop>5__3","System.Int32","private","False","False","False","","0x04003DB0"
"DolocAPI/<Command_DropMoney>d__912","<remainingMoney>5__4","System.Int32","private","False","False","False","","0x04003DB1"
"DolocAPI/<Command_DropMoney>d__912","<pos>5__5","UnityEngine.Vector3","private","False","False","False","","0x04003DB2"
"DolocAPI/<Command_DropMoney>d__912","<i>5__6","System.Int32","private","False","False","False","","0x04003DB3"
"DolocAPI/<Command_DropMoney>d__912","<>u__1","Cysharp.Threading.Tasks.UniTask/Awaiter","private","False","False","False","","0x04003DB4"
"DolocAPI/<>c__DisplayClass927_0","store","DolocTown.ExchangeStore","public","False","False","False","","0x04003DB5"
"DolocInputSource","m_NormalInput_ToggleTechTree","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x040000C7"
"DolocInputSource","m_BaseInput_ToggleTechTree","UnityEngine.InputSystem.InputAction","private","False","True","False","","0x04000105"
"DolocConst","BuildingsForegroundLayerName","System.String","public","True","False","True","BuildingsForeground","0x04000122"
"DolocConst","AnimationName_Drop","System.String","public","True","False","True","drop","0x04000142"
"DolocConst","LanguageID_Korean","System.String","public","True","False","True","ko","0x0400016B"
"DolocAssetCache/<Load>d__3","<handle>5__2","UnityEngine.ResourceManagement.AsyncOperations.AsyncOperationHandle`1<System.Collections.Generic.IList`1<UnityEngine.Object>>","private","False","False","False","","0x04003E1B"
"DolocGameAssets","UI_ELEMENT_BOOK_RESOURCE_SLOT","DolocGameAssets","public","True","False","True","36","0x040001A0"
"DolocGameAssets","GAME_ENTITY_DUNGEON_RESOURCE","DolocGameAssets","public","True","False","True","103","0x040001E3"
"DolocGameAssets","GAME_ENTITY_VEGETATION","DolocGameAssets","public","True","False","True","104","0x040001E4"
"DolocGameAssets","GAME_ENTITY_DROPITEM","DolocGameAssets","public","True","False","True","107","0x040001E7"
"DolocGameAssets","GAME_ENTITY_CROP_TREE","DolocGameAssets","public","True","False","True","121","0x040001F5"
"DolocBundleManager","<techTrees>k__BackingField","DolocTown.GameData.TechTreeDatabase","private","False","False","False","","0x0400026B"
"DolocBundleManager","<effectsConfig>k__BackingField","DolocTown.GameData.DRockEffectsConfig","private","False","False","False","","0x04000278"
"DolocTweenValue","getter","DG.Tweening.Core.DOGetter`1<System.Single>","private","False","False","False","","0x040002FC"
"DolocTweenValue","setter","DG.Tweening.Core.DOSetter`1<System.Single>","private","False","False","False","","0x040002FD"
"DolocTweenColorHandler","colorGetter","DG.Tweening.Core.DOGetter`1<UnityEngine.Color>","public","False","True","False","","0x04000302"
"DolocTweenColorHandler","colorSetter","DG.Tweening.Core.DOSetter`1<UnityEngine.Color>","public","False","True","False","","0x04000303"
"UIAnimSingleFadeInout","getter","DG.Tweening.Core.DOGetter`1<UnityEngine.Color>","private","False","False","False","","0x04000326"
"UIAnimSingleFadeInout","setter","DG.Tweening.Core.DOSetter`1<UnityEngine.Color>","private","False","False","False","","0x04000327"
"UIAnimFloat","getter","DG.Tweening.Core.DOGetter`1<System.Single>","private","False","False","False","","0x0400032B"
"UIAnimFloat","setter","DG.Tweening.Core.DOSetter`1<System.Single>","private","False","False","False","","0x0400032C"
"UIAnimStree","animation","InifiniteDolocTween","private","False","False","False","","0x0400033B"
"XLua.HotfixFlag","IgnoreProperty","XLua.HotfixFlag","public","True","False","True","4","0x040003E7"
"XLua.HotfixFlag","IgnoreNotPublic","XLua.HotfixFlag","public","True","False","True","8","0x040003E8"
"XLua.HotfixFlag","IgnoreCompilerGenerated","XLua.HotfixFlag","public","True","False","True","128","0x040003EC"
"RedSaw.ExceptionRecorder","ignoreExceptions","System.Collections.Generic.HashSet`1<RedSaw.ExceptionTriggerPoint>","private","False","True","False","","0x0400046E"
"RedSaw.PoolCore","container","UnityEngine.Transform","private","False","True","False","","0x04000472"
"RedSaw.PoolCore","pfb","UnityEngine.GameObject","private","False","True","False","","0x04000473"
"RedSaw.PoolCore","<OnCreated>k__BackingField","System.Action`1<UnityEngine.GameObject>","private","False","False","False","","0x04000474"
"RedSaw.PoolCore`1","container","UnityEngine.Transform","private","False","True","False","","0x04000475"
"RedSaw.PoolCore`1","pfb","UnityEngine.GameObject","private","False","True","False","","0x04000476"
"RedSaw.PoolCore`1","<OnCreated>k__BackingField","System.Action`1<T>","private","False","False","False","","0x04000477"
"RedSaw.ObjectPool","core","RedSaw.PoolCore","private","False","True","False","","0x04000478"
"RedSaw.ObjectPool`1","core","RedSaw.PoolCore`1<T>","protected","False","True","False","","0x0400047C"
"RedSaw.NashObjectPool`1","store","System.Int32","private","False","False","False","","0x04000485"
"RedSaw.TilemapAutoPainter","coreTile","UnityEngine.Tilemaps.TileBase","private","False","False","False","","0x040004BF"
"RedSaw.TilemapAutoPainter/TilePosition","Core","RedSaw.TilemapAutoPainter/TilePosition","public","True","False","True","2","0x04003EF5"
"RedSaw.CommandLineInterface.CommandSystem","scoreThresholdCommand","System.Single","private","False","True","False","","0x04000503"
"RedSaw.CommandLineInterface.CommandSystem","scoreThresholdVariable","System.Single","private","False","True","False","","0x04000504"
"RedSaw.CommandLineInterface.CommandSystem","scoreThresholdType","System.Single","private","False","True","False","","0x04000505"
"RedSaw.CommandLineInterface.CommandSystem/<>c__DisplayClass23_0","scoreFunc","System.Func`3<System.String,System.String,System.Single>","public","False","False","False","","0x04003FB4"
"RedSaw.CommandLineInterface.CommandSystem/<>c__DisplayClass24_0","scoreFunc","System.Func`3<System.String,System.String,System.Single>","public","False","False","False","","0x04003FBE"
