"caller_type","caller_method","caller_full_name","offset","opcode","target_type","target_method","target_full_name"
"AddressablesUtility","GetAddressFromAssetReference","System.String AddressablesUtility::GetAddressFromAssetReference(UnityEngine.AddressableAssets.AssetReference)","IL_0002","call","UnityEngine.AddressableAssets.Addressables","LoadResourceLocationsAsync","UnityEngine.ResourceManagement.AsyncOperations.AsyncOperationHandle`1<System.Collections.Generic.IList`1<UnityEngine.ResourceManagement.ResourceLocations.IResourceLocation>> UnityEngine.AddressableAssets.Addressables::LoadResourceLocationsAsync(System.Object,System.Type)"
"SpawnLutTest","Test","System.Void SpawnLutTest::Test()","IL_0000","call","DolocTown.Config.DolocConfig","Reload","System.Void DolocTown.Config.DolocConfig::Reload()"
"DolocAPI","get_IsNewVersion","System.Boolean DolocAPI::get_IsNewVersion()","IL_0000","call","DolocAPI","get_archiveHandle","DolocTown.GameData.ArchiveDataHandle DolocAPI::get_archiveHandle()"
"DolocAPI","get_IsNewVersion","System.Boolean DolocAPI::get_IsNewVersion()","IL_0009","call","DolocAPI","get_archiveHandle","DolocTown.GameData.ArchiveDataHandle DolocAPI::get_archiveHandle()"
"DolocAPI","get_IsNewVersion","System.Boolean DolocAPI::get_IsNewVersion()","IL_000E","callvirt","DolocTown.GameData.ArchiveDataHandle","get_baseDataOnLoad","DolocTown.BaseArchiveData DolocTown.GameData.ArchiveDataHandle::get_baseDataOnLoad()"
"DolocAPI","get_IsDataLoaded","System.Boolean DolocAPI::get_IsDataLoaded()","IL_0005","callvirt","DolocTown.GameData.DataPersistenceManager","get_IsDataLoaded","System.Boolean DolocTown.GameData.DataPersistenceManager::get_IsDataLoaded()"
"DolocAPI","InitDevelopmentHelper","System.Void DolocAPI::InitDevelopmentHelper()","IL_0010","call","UnityEngine.Resources","Load","!!0 UnityEngine.Resources::Load<UnityEngine.GameObject>(System.String)"
"DolocAPI","InitDevelopmentHelper","System.Void DolocAPI::InitDevelopmentHelper()","IL_0056","ldftn","DolocTown.DolocLuaLoader","LoadLua","System.Byte[] DolocTown.DolocLuaLoader::LoadLua(System.String&)"
"DolocAPI","InitDevelopmentHelper","System.Void DolocAPI::InitDevelopmentHelper()","IL_005C","newobj","XLua.LuaEnv/CustomLoader",".ctor","System.Void XLua.LuaEnv/CustomLoader::.ctor(System.Object,System.IntPtr)"
"DolocAPI","InitDevelopmentHelper","System.Void DolocAPI::InitDevelopmentHelper()","IL_0061","callvirt","XLua.LuaEnv","AddLoader","System.Void XLua.LuaEnv::AddLoader(XLua.LuaEnv/CustomLoader)"
