"type","name","field_type","visibility","is_static","is_readonly","is_literal","constant","token"
"DolocAPI","<gameLoadingTip>k__BackingField","DolocTown.UI.GameLoadingTip","private","True","False","False","","0x04000023"
"DolocAPI","dataPersistenceManager","DolocTown.GameData.DataPersistenceManager","public","True","False","False","","0x04000048"
"DolocAPI","OnAfterLoadArchiveData","UnityEngine.Events.UnityEvent`1<System.Boolean>","public","True","True","False","","0x0400004A"
"DolocAPI/<>c","<>9__918_0","System.Func`2<DolocTown.BaseArchiveData,System.Boolean>","public","True","False","False","","0x04003D33"
"DolocAPI/<>c__DisplayClass907_0","loaded","System.Boolean","public","False","False","False","","0x04003DA1"
"DolocAssetCache/<Load>d__3","<>1__state","System.Int32","private","False","False","False","","0x04003E17"
"DolocAssetCache/<Load>d__3","<>2__current","System.Object","private","False","False","False","","0x04003E18"
"DolocAssetCache/<Load>d__3","<>4__this","DolocAssetCache","public","False","False","False","","0x04003E19"
"DolocAssetCache/<Load>d__3","callback","System.Action","public","False","False","False","","0x04003E1A"
"DolocAssetCache/<Load>d__3","<handle>5__2","UnityEngine.ResourceManagement.AsyncOperations.AsyncOperationHandle`1<System.Collections.Generic.IList`1<UnityEngine.Object>>","private","False","False","False","","0x04003E1B"
"DolocCoroutineLoader","total","System.Int32","private","False","False","False","","0x04000178"
"DolocCoroutineLoader","callback","System.Action","private","False","False","False","","0x04000179"
"DolocCoroutineLoader","coroutines","System.Collections.Generic.Queue`1<System.Collections.IEnumerator>","private","False","False","False","","0x0400017A"
"DolocGameAssets","UI_ELEMENT_BOOK_ARCHIVE_SLOT","DolocGameAssets","public","True","False","True","34","0x0400019E"
"DolocBundleManager","preloadLabel","UnityEngine.AddressableAssets.AssetLabelReference","private","False","False","False","","0x04000266"
"DolocBundleManager/<InitDataAsync>d__76","<>7__wrap2","DolocBundleManager/DataLoader[]","private","False","False","False","","0x04003E25"
"DolocBundleManager/<InitDataAsync>d__76","<loader>5__5","DolocBundleManager/DataLoader","private","False","False","False","","0x04003E27"
"GameManager","archiveFileCount","System.Int32","public","False","False","False","","0x04000282"
"GameManager","archiveFileNameFormat","System.String","public","False","False","False","","0x04000283"
"XLua.ObjectTranslator","loadAssemblyFunction","XLua.LuaDLL.lua_CSFunction","private","False","False","False","","0x040003AF"
"XLua.ObjectTranslator","loaded_types","System.Collections.Generic.Dictionary`2<System.Type,System.Boolean>","private","False","False","False","","0x040003B4"
"XLua.LuaEnv","customLoaders","System.Collections.Generic.List`1<XLua.LuaEnv/CustomLoader>","internal","False","False","False","","0x04000400"
"XLua.OverloadMethodWrap","translator","XLua.ObjectTranslator","private","False","False","False","","0x04000402"
"XLua.OverloadMethodWrap","targetType","System.Type","private","False","False","False","","0x04000403"
"XLua.OverloadMethodWrap","method","System.Reflection.MethodBase","private","False","False","False","","0x04000404"
"XLua.OverloadMethodWrap","checkArray","XLua.ObjectCheck[]","private","False","False","False","","0x04000405"
"XLua.OverloadMethodWrap","castArray","XLua.ObjectCast[]","private","False","False","False","","0x04000406"
"XLua.OverloadMethodWrap","inPosArray","System.Int32[]","private","False","False","False","","0x04000407"
"XLua.OverloadMethodWrap","outPosArray","System.Int32[]","private","False","False","False","","0x04000408"
"XLua.OverloadMethodWrap","isOptionalArray","System.Boolean[]","private","False","False","False","","0x04000409"
"XLua.OverloadMethodWrap","defaultValueArray","System.Object[]","private","False","False","False","","0x0400040A"
"XLua.OverloadMethodWrap","isVoid","System.Boolean","private","False","False","False","","0x0400040B"
"XLua.OverloadMethodWrap","luaStackPosStart","System.Int32","private","False","False","False","","0x0400040C"
"XLua.OverloadMethodWrap","targetNeeded","System.Boolean","private","False","False","False","","0x0400040D"
"XLua.OverloadMethodWrap","args","System.Object[]","private","False","False","False","","0x0400040E"
"XLua.OverloadMethodWrap","refPos","System.Int32[]","private","False","False","False","","0x0400040F"
"XLua.OverloadMethodWrap","paramsType","System.Type","private","False","False","False","","0x04000410"
"XLua.OverloadMethodWrap","<HasDefalutValue>k__BackingField","System.Boolean","private","False","False","False","","0x04000411"
"XLua.MethodWrap","overloads","System.Collections.Generic.List`1<XLua.OverloadMethodWrap>","private","False","False","False","","0x04000413"
"XLua.SignatureLoader","userLoader","XLua.LuaEnv/CustomLoader","private","False","False","False","","0x04000444"
"XLua.SignatureLoader","rsa","System.Security.Cryptography.RSACryptoServiceProvider","private","False","False","False","","0x04000445"
"XLua.SignatureLoader","sha","System.Security.Cryptography.SHA1","private","False","False","False","","0x04000446"
"RedSaw.CommandLineInterface.SyntaxTreeCode","OP_LOADVAR","RedSaw.CommandLineInterface.SyntaxTreeCode","public","True","False","True","11","0x04000582"
"RedSaw.CommandLineInterface.DebugField","_isCallbackMethodLoaded","System.Boolean","private","False","False","False","","0x040005CF"
"DolocTown.AssetArrayBase`2","loaded","System.Boolean","protected","False","False","False","","0x040006BD"
"DolocTown.AssetBase`1","_isLoaded","System.Boolean","private","False","False","False","","0x040006C2"
"DolocTown.DebugCrops","_loadedSrs","UnityEngine.SpriteRenderer[]","private","False","False","False","","0x040006C8"
"DolocTown.ScreenCaptureTest","savePath","System.String","private","False","False","False","","0x040006DE"
"DolocTown.ChipDocumentManager","unlockedDocuments","System.Collections.Generic.Dictionary`2<System.String,DolocTown.Config.Archives.ChipDocumentInfo>","public","False","False","False","","0x04000766"
"DolocTown.PlantDocumentManager","unlockedDocuments","System.Collections.Generic.Dictionary`2<System.String,DolocTown.Config.Archives.PlantDocumentInfo>","public","False","False","False","","0x04000775"
"DolocTown.MissionChainManager","isChainInfosSaved","System.Boolean","private","False","False","False","","0x040007C4"
"DolocTown.BattleUtils","_isBattleConfigLoaded","System.Boolean","private","True","False","False","","0x04000854"
"DolocTown.WeaponDebuggerSO","reloadDuration","System.Single","private","False","False","False","","0x04000897"
"DolocTown.DroneController","autoReloadingTimer","RedSaw.RSTimer","private","False","True","False","","0x040008B3"
"DolocTown.DroneEventType","ReloadComplete","DolocTown.DroneEventType","public","True","False","True","0","0x040008E0"
"DolocTown.DroneWeaponParams","ReloadDuration","System.Single","public","False","True","False","","0x040008EF"
"DolocTown.DroneRenderer","offsetReloadTip01","UnityEngine.Vector2","protected","False","False","False","","0x04000916"
"DolocTown.DroneWeaponGun","autoReloadTimer","RedSaw.RSTimer","private","False","True","False","","0x04000935"
"DolocTown.DroneWeaponGun","tipReload","DolocTown.UI.GunReloadTip","private","False","True","False","","0x04000938"
"DolocTown.DroneWeaponGun","isReloading","System.Boolean","private","False","False","False","","0x0400093B"
"DolocTown.MonsterGroupManager/<LoadLocalGroups>d__5","<>1__state","System.Int32","private","False","False","False","","0x04004146"
"DolocTown.MonsterGroupManager/<LoadLocalGroups>d__5","<>2__current","DolocTown.MonsterGroup","private","False","False","False","","0x04004147"
"DolocTown.MonsterGroupManager/<LoadLocalGroups>d__5","<>l__initialThreadId","System.Int32","private","False","False","False","","0x04004148"
"DolocTown.MonsterGroupManager/<LoadLocalGroups>d__5","host","DolocTown.IMonsterHost","private","False","False","False","","0x04004149"
"DolocTown.MonsterGroupManager/<LoadLocalGroups>d__5","<>3__host","DolocTown.IMonsterHost","public","False","False","False","","0x0400414A"
"DolocTown.MonsterGroupManager/<LoadLocalGroups>d__5","<>4__this","DolocTown.MonsterGroupManager","public","False","False","False","","0x0400414B"
"DolocTown.MonsterGroupManager/<LoadLocalGroups>d__5","<>7__wrap1","System.Collections.Generic.IEnumerator`1<DolocTown.StrategicPointGroup>","private","False","False","False","","0x0400414C"
"DolocTown.MonsterDecoratorTarget","_hasTargetLoaded","System.Boolean","private","False","False","False","","0x0400099E"
"DolocTown.DungeonTransitionState/<AsyncLoad>d__6","<>1__state","System.Int32","private","False","False","False","","0x04004190"
"DolocTown.DungeonTransitionState/<AsyncLoad>d__6","<>2__current","System.Object","private","False","False","False","","0x04004191"
"DolocTown.DungeonTransitionState/<AsyncLoad>d__6","<>4__this","DolocTown.DungeonTransitionState","public","False","False","False","","0x04004192"
"DolocTown.Animal","isInitAfterLoadData","System.Boolean","private","False","False","False","","0x04000B49"
"DolocTown.EnvOptimizerDataManager","branches","System.Collections.Generic.Dictionary`2<DolocTown.Config.EnvOptimizer.EnvOptimizerBranchType,DolocTown.EnvOptimizerBranch>","public","False","True","False","","0x04000D82"
"DolocTown.EnvOptimizerDataManager/<>c","<>9","DolocTown.EnvOptimizerDataManager/<>c","public","True","True","False","","0x0400434D"
"DolocTown.EnvOptimizerDataManager/<>c","<>9__2_0","System.Func`2<DolocTown.EnvOptimizerBranch,System.Int32>","public","True","False","False","","0x0400434E"
"DolocTown.EnvOptimizerDataManager/<>c","<>9__4_0","System.Func`2<DolocTown.EnvOptimizerBranch,System.Int32>","public","True","False","False","","0x0400434F"
"DolocTown.EnvOptimizerDataManager/<>c","<>9__6_0","System.Func`2<DolocTown.EnvOptimizerBranch,System.Int32>","public","True","False","False","","0x04004350"
"DolocTown.EnvOptimizerSystem","<data>k__BackingField","DolocTown.EnvOptimizerDataManager","private","False","False","False","","0x04000D84"
"DolocTown.WindController","_hasConfigLoaded","System.Boolean","private","False","False","False","","0x04001097"
"DolocTown.InteractableObject","<archiveData>k__BackingField","DolocTown.RoomInteractableObjectManager","private","False","False","False","","0x04001120"
"DolocTown.SaveOptionType","value__","System.Int32","public","False","False","False","","0x04001173"
"DolocTown.SaveOptionType","Sleep","DolocTown.SaveOptionType","public","True","False","True","0","0x04001174"
"DolocTown.SaveOptionType","KillTime","DolocTown.SaveOptionType","public","True","False","True","1","0x04001175"
"DolocTown.InteractableSavePoint","saveOptionType","DolocTown.SaveOptionType","public","False","False","False","","0x04001176"
"DolocTown.InteractableSavePoint","sitPosition","UnityEngine.Transform","public","False","False","False","","0x04001177"
"DolocTown.InteractableSavePoint","chairConfig","System.String","public","False","False","False","","0x04001178"
"DolocTown.GameEventType","GUN_RELOAD_FINISH","DolocTown.GameEventType","public","True","False","True","45","0x04001322"
"DolocTown.BuffManager","loadedBuffs","System.Collections.Generic.Dictionary`2<System.String,DolocTown.Buff>","private","False","True","False","","0x0400147D"
"DolocTown.DataManager`1","datas","RedSaw.IndexList`1<T>","private","False","True","False","","0x04001535"
"DolocTown.SoundEvents","PLAY_CHARACTER_GUN_RELOAD","DolocTown.SoundEvents","public","True","False","True","40","0x040015BE"
"DolocTown.WwiseSoundManager","loadedSoundBanks","System.Collections.Generic.HashSet`1<System.String>","private","False","False","False","","0x04001653"
"DolocTown.WwiseSoundManager/<LoadBankAsync>d__41","<>1__state","System.Int32","public","False","False","False","","0x0400462B"
"DolocTown.WwiseSoundManager/<LoadBankAsync>d__41","<>t__builder","Cysharp.Threading.Tasks.CompilerServices.AsyncUniTaskVoidMethodBuilder","public","False","False","False","","0x0400462C"
