"type","name","full_name","return_type","parameters","visibility","is_static","is_virtual","is_abstract","is_constructor","has_body","body_code_size","token"
"DolocAPI","get_IsDataLoaded","System.Boolean DolocAPI::get_IsDataLoaded()","System.Boolean","","public","True","False","False","False","True","11","0x06000031"
"DolocAPI","get_gameLoadingTip","DolocTown.UI.GameLoadingTip DolocAPI::get_gameLoadingTip()","DolocTown.UI.GameLoadingTip","","public","True","False","False","False","True","6","0x06000035"
"DolocAPI","set_gameLoadingTip","System.Void DolocAPI::set_gameLoadingTip(DolocTown.UI.GameLoadingTip)","System.Void","DolocTown.UI.GameLoadingTip value","private","True","False","False","False","True","7","0x06000036"
"DolocAPI","__LoadStaticAssets","System.Void DolocAPI::__LoadStaticAssets(System.Action)","System.Void","System.Action callback","public","True","False","False","False","True","105","0x06000040"
"DolocAPI","get_archiveHandle","DolocTown.GameData.ArchiveDataHandle DolocAPI::get_archiveHandle()","DolocTown.GameData.ArchiveDataHandle","","public","True","False","False","False","True","11","0x0600008F"
"DolocAPI","LoadGame","System.Boolean DolocAPI::LoadGame(System.Int32)","System.Boolean","System.Int32 index","public","True","False","False","False","True","39","0x06000097"
"DolocAPI","ResetArchiveState","System.Void DolocAPI::ResetArchiveState()","System.Void","","private","True","False","False","False","True","36","0x06000099"
"DolocAPI","AfterLoadArchiveData","System.Void DolocAPI::AfterLoadArchiveData(System.Boolean)","System.Void","System.Boolean isNewGame","private","True","False","False","False","True","512","0x0600009A"
"DolocAPI","SaveGame","System.Boolean DolocAPI::SaveGame(System.Int32)","System.Boolean","System.Int32 index","public","True","False","False","False","True","78","0x0600009B"
"DolocAPI","GetArchiveInfo","DolocTown.BaseArchiveData DolocAPI::GetArchiveInfo(System.Int32)","DolocTown.BaseArchiveData","System.Int32 index","public","True","False","False","False","True","12","0x0600009E"
"DolocAPI","GetAllArchiveInfos","DolocTown.BaseArchiveData[] DolocAPI::GetAllArchiveInfos()","DolocTown.BaseArchiveData[]","","public","True","False","False","False","True","11","0x0600009F"
"DolocAPI","LoadUserSettings","System.Boolean DolocAPI::LoadUserSettings()","System.Boolean","","public","True","False","False","False","True","11","0x060000A1"
"DolocAPI","SaveUserSettings","System.Boolean DolocAPI::SaveUserSettings(DolocTown.UserSettings)","System.Boolean","DolocTown.UserSettings settings","public","True","False","False","False","True","12","0x060000A2"
"DolocAPI","GetCurrentArchiveDataAsString","System.String DolocAPI::GetCurrentArchiveDataAsString()","System.String","","public","True","False","False","False","True","11","0x060000A3"
"DolocAPI","SaveUserSettings","System.Boolean DolocAPI::SaveUserSettings()","System.Boolean","","public","True","False","False","False","True","16","0x060000A4"
"DolocAPI","LoadSprite","UnityEngine.Sprite DolocAPI::LoadSprite(System.String)","UnityEngine.Sprite","System.String imageName","public","True","False","False","False","True","8","0x060000AC"
"DolocAPI","LoadBackground","System.Void DolocAPI::LoadBackground(DolocTown.GameData.EnvBackgroundSO)","System.Void","DolocTown.GameData.EnvBackgroundSO background","public","True","False","False","False","True","32","0x0600010F"
"DolocAPI","UnloadDrone","System.Void DolocAPI::UnloadDrone()","System.Void","","private","True","False","False","False","True","53","0x06000122"
"DolocAPI","Command_SaveGame","System.Void DolocAPI::Command_SaveGame(System.Int32)","System.Void","System.Int32 index","private","True","False","False","False","True","24","0x060002D0"
"DolocAPI","Command_LoadGame","System.Void DolocAPI::Command_LoadGame(System.Int32)","System.Void","System.Int32 index","private","True","False","False","False","True","28","0x060002D1"
"DolocAPI","Command_GetArchiveDataCount","System.Int32 DolocAPI::Command_GetArchiveDataCount()","System.Int32","","private","True","False","False","False","True","42","0x0600033B"
"DolocAPI","Command_HasAnyArchiveData","System.Boolean DolocAPI::Command_HasAnyArchiveData()","System.Boolean","","private","True","False","False","False","True","9","0x0600033C"
"DolocAPI","_LoadSwingAnimationCache","System.Void DolocAPI::_LoadSwingAnimationCache()","System.Void","","private","True","False","False","False","True","61","0x0600037C"
"DolocAPI","FastButton_ReloadConfigTables","System.Void DolocAPI::FastButton_ReloadConfigTables()","System.Void","","private","True","False","False","False","True","38","0x06000391"
"DolocAPI","FastButton_ReloadMods","System.Void DolocAPI::FastButton_ReloadMods()","System.Void","","private","True","False","False","False","True","16","0x06000397"
"DolocAPI","<ExtendFarm>g__OnSceneLoaded|346_1","System.Void DolocAPI::<ExtendFarm>g__OnSceneLoaded|346_1(DolocTown.GameData.ArchiveDataHandle)","System.Void","DolocTown.GameData.ArchiveDataHandle handle","internal","True","False","False","False","True","18","0x06000399"
