"type","name","property_type","getter","setter","getter_visibility","setter_visibility","token"
"DolocAPI","IsDataLoaded","System.Boolean","get_IsDataLoaded","","public","","0x1700000E"
"DolocAPI","gameLoadingTip","DolocTown.UI.GameLoadingTip","get_gameLoadingTip","set_gameLoadingTip","public","private","0x17000011"
"DolocAPI","archiveHandle","DolocTown.GameData.ArchiveDataHandle","get_archiveHandle","","public","","0x1700003C"
"DolocAssetCache/<Load>d__3","System.Collections.Generic.IEnumerator<System.Object>.Current","System.Object","System.Collections.Generic.IEnumerator<System.Object>.get_Current","","private","","0x17002EE5"
"DolocAssetCache/<Load>d__3","System.Collections.IEnumerator.Current","System.Object","System.Collections.IEnumerator.get_Current","","private","","0x17002EE6"
"XLua.OverloadMethodWrap","HasDefalutValue","System.Boolean","get_HasDefalutValue","set_HasDefalutValue","public","private","0x17000189"
"RedSaw.IHasIndex","isDeserializationValid","System.Boolean","get_isDeserializationValid","","public","","0x170001AE"
"DolocTown.ChipDocumentManager","ChipEventTb","DolocTown.Config.Archives.TbSpecialChipEvent","get_ChipEventTb","","private","","0x17000315"
"DolocTown.ChipDocumentManager","ChipDocTb","DolocTown.Config.Archives.TbChipDocument","get_ChipDocTb","","private","","0x17000316"
"DolocTown.PlantDocumentManager","plantDocTb","DolocTown.Config.Archives.TbPlantDocument","get_plantDocTb","","private","","0x17000322"
"DolocTown.IMission","IsCompleteLoadArchive","System.Boolean","get_IsCompleteLoadArchive","","public","","0x17000388"
"DolocTown.IMission","isDeserializationValid","System.Boolean","get_isDeserializationValid","","public","","0x1700038B"
"DolocTown.Mission","isDeserializationValid","System.Boolean","get_isDeserializationValid","","public","","0x1700039C"
"DolocTown.Mission","IsCompleteLoadArchive","System.Boolean","get_IsCompleteLoadArchive","","public","","0x1700039F"
"DolocTown.MissionWithBoard","isDeserializationValid","System.Boolean","get_isDeserializationValid","","public","","0x170003B3"
"DolocTown.MissionWithBoard","IsCompleteLoadArchive","System.Boolean","get_IsCompleteLoadArchive","","public","","0x170003B6"
"DolocTown.DroneRenderer","reloadTipPosition","UnityEngine.Vector2","get_reloadTipPosition","","public","","0x17000483"
"DolocTown.DroneWeapon","NeedReload","System.Boolean","get_NeedReload","","public","","0x17000497"
"DolocTown.DroneWeaponGun","ReloadingEnergyCost","System.Single","get_ReloadingEnergyCost","","private","","0x1700049E"
"DolocTown.MonsterGroupManager/<LoadLocalGroups>d__5","System.Collections.Generic.IEnumerator<DolocTown.MonsterGroup>.Current","DolocTown.MonsterGroup","System.Collections.Generic.IEnumerator<DolocTown.MonsterGroup>.get_Current","","private","","0x17002F35"
"DolocTown.MonsterGroupManager/<LoadLocalGroups>d__5","System.Collections.IEnumerator.Current","System.Object","System.Collections.IEnumerator.get_Current","","private","","0x17002F36"
"DolocTown.DungeonTransitionState/<AsyncLoad>d__6","System.Collections.Generic.IEnumerator<System.Object>.Current","System.Object","System.Collections.Generic.IEnumerator<System.Object>.get_Current","","private","","0x17002F3B"
"DolocTown.DungeonTransitionState/<AsyncLoad>d__6","System.Collections.IEnumerator.Current","System.Object","System.Collections.IEnumerator.get_Current","","private","","0x17002F3C"
"DolocTown.Animal","isDeserializationValid","System.Boolean","get_isDeserializationValid","","public","","0x170005EC"
"DolocTown.EnvOptimizerDataManager","TotalCount","System.Int32","get_TotalCount","","public","","0x17000842"
"DolocTown.EnvOptimizerDataManager","TotalLimitation","System.Int32","get_TotalLimitation","","public","","0x17000843"
"DolocTown.EnvOptimizerDataManager","TotalProcess","System.Single","get_TotalProcess","","public","","0x17000844"
"DolocTown.EnvOptimizerSystem","data","DolocTown.EnvOptimizerDataManager","get_data","set_data","public","private","0x17000847"
"DolocTown.TerrainContent","isDeserializationValid","System.Boolean","get_isDeserializationValid","","public","","0x17000BC6"
"DolocTown.WorldContent","isDeserializationValid","System.Boolean","get_isDeserializationValid","","public","","0x17000BE4"
"DolocTown.SitParams","save","System.Boolean","get_save","","public","","0x17000BF2"
"DolocTown.InteractableObject","archiveData","DolocTown.RoomInteractableObjectManager","get_archiveData","set_archiveData","protected","private","0x17000C57"
"DolocTown.DataManager`1","AllDatas","System.Collections.Generic.IEnumerable`1<T>","get_AllDatas","","public","","0x17000E24"
"DolocTown.DataManager`1","IsEmpty","System.Boolean","get_IsEmpty","","public","","0x17000E25"
"DolocTown.DataManager`1","IsNotEmpty","System.Boolean","get_IsNotEmpty","","public","","0x17000E26"
"DolocTown.DataManager`1","First","T","get_First","","public","","0x17000E27"
"DolocTown.DataManager`1","Choice","T","get_Choice","","public","","0x17000E28"
"DolocTown.CollectionBookUiState","archivePanel","DolocTown.UI.ArchiveCatalogPanel","get_archivePanel","","private","","0x17000F8F"
"DolocTown.UserSettings","saveOnNap","System.Boolean","get_saveOnNap","set_saveOnNap","public","private","0x170010B1"
"DolocTown.SceneManagement","LoadedScenes","System.Collections.Generic.Dictionary`2<System.Int32,UnityEngine.SceneManagement.Scene>","get_LoadedScenes","","public","","0x170010FD"
"DolocTown.SceneManager/<CoroutineLoadSceneAsync>d__10","System.Collections.Generic.IEnumerator<System.Object>.Current","System.Object","System.Collections.Generic.IEnumerator<System.Object>.get_Current","","private","","0x17002FB4"
"DolocTown.SceneManager/<CoroutineLoadSceneAsync>d__10","System.Collections.IEnumerator.Current","System.Object","System.Collections.IEnumerator.get_Current","","private","","0x17002FB5"
"DolocTown.SceneManager/<CoroutineLoadSceneAsyncEx>d__11","System.Collections.Generic.IEnumerator<System.Object>.Current","System.Object","System.Collections.Generic.IEnumerator<System.Object>.get_Current","","private","","0x17002FB6"
"DolocTown.SceneManager/<CoroutineLoadSceneAsyncEx>d__11","System.Collections.IEnumerator.Current","System.Object","System.Collections.IEnumerator.get_Current","","private","","0x17002FB7"
"DolocTown.SceneManager/<CoroutineUnloadSceneAsync>d__14","System.Collections.Generic.IEnumerator<System.Object>.Current","System.Object","System.Collections.Generic.IEnumerator<System.Object>.get_Current","","private","","0x17002FB8"
"DolocTown.SceneManager/<CoroutineUnloadSceneAsync>d__14","System.Collections.IEnumerator.Current","System.Object","System.Collections.IEnumerator.get_Current","","private","","0x17002FB9"
"DolocTown.VersionPatcher/<LoadAllVersionPatchFunctions>d__2","System.Collections.Generic.IEnumerator<(DolocTown.VersionPatchAttribute,System.Reflection.MethodInfo)>.Current","System.ValueTuple`2<DolocTown.VersionPatchAttribute,System.Reflection.MethodInfo>","System.Collections.Generic.IEnumerator<(DolocTown.VersionPatchAttribute,System.Reflection.MethodInfo)>.get_Current","","private","","0x17002FBF"
"DolocTown.VersionPatcher/<LoadAllVersionPatchFunctions>d__2","System.Collections.IEnumerator.Current","System.Object","System.Collections.IEnumerator.get_Current","","private","","0x17002FC0"
"DolocTown.GameDataTracker.DataUploader","UserId","System.String","get_UserId","","private","","0x17001127"
"DolocTown.UI.ArchiveCatalogPanel","scrollRect","UnityEngine.UI.ScrollRect","get_scrollRect","","public","","0x170011FB"
"DolocTown.UI.ArchiveCatalogPanel","moveDelta","System.Single","get_moveDelta","","public","","0x170011FC"
"DolocTown.UI.ArchiveListViewer","slotPrefab","UnityEngine.GameObject","get_slotPrefab","","protected","","0x170011FD"
"DolocTown.UI.DialogueHistoryTextSlot","isDeserializationValid","System.Boolean","get_isDeserializationValid","","public","","0x1700131A"
"DolocTown.UI.GunReloadTip","process","System.Single","","set_process","","public","0x17001471"
"DolocTown.UI.AgentStatusTip","agentData","DolocTown.GameData.AgentArchiveData","get_agentData","","private","","0x17001495"
"DolocTown.UI.SettingPanel","isSaveButtonSelect","System.Boolean","get_isSaveButtonSelect","set_isSaveButtonSelect","public","private","0x17001506"
"DolocTown.GameData.MissionContentHandle","IsCompleteLoadArchive","System.Boolean","get_IsCompleteLoadArchive","","public","","0x170016BF"
"DolocTown.GameData.MissionContentHandleMulti","IsCompleteLoadArchive","System.Boolean","get_IsCompleteLoadArchive","","public","","0x170016C5"
"DolocTown.GameData.MissionContentHandleSingle","IsCompleteLoadArchive","System.Boolean","get_IsCompleteLoadArchive","","public","","0x170016CD"
"DolocTown.GameData.MissionRequire_Simple/Handle","IsCompleteLoadArchive","System.Boolean","get_IsCompleteLoadArchive","","public","","0x1700300C"
"DolocTown.GameData.MissionRequireHandle","IsCompleteLoadArchive","System.Boolean","get_IsCompleteLoadArchive","","public","","0x170016EF"
"DolocTown.GameData.MissionRequireHandle_Graph","IsCompleteLoadArchive","System.Boolean","get_IsCompleteLoadArchive","","public","","0x170016F5"
"DolocTown.GameData.DataPersistenceManager","userSettings","DolocTown.UserSettings","get_userSettings","set_userSettings","public","private","0x17001804"
"DolocTown.GameData.DataPersistenceManager","modManager","DolocTown.Config.ModManager","get_modManager","set_modManager","public","private","0x17001805"
"DolocTown.GameData.DataPersistenceManager","IsDataLoaded","System.Boolean","get_IsDataLoaded","set_IsDataLoaded","public","private","0x17001806"
"DolocTown.GameData.DataPersistenceManager","dataPersistences","DolocTown.GameData.IDataPersistence[]","get_dataPersistences","","private","","0x17001807"
"DolocTown.GameData.LocalSave","dataDirPath","System.String","get_dataDirPath","","private","","0x17001808"
