"type","name","field_type","visibility","is_static","is_readonly","is_literal","constant","token"
"ModSourceType","Workshop","ModSourceType","public","True","False","True","1","0x0400000C"
"DolocAPI/<>c","<>9__1003_0","System.Func`2<DolocTown.StoreUiState,System.Boolean>","public","True","False","False","","0x04003D39"
"DolocAPI/<>c__DisplayClass680_0","storeId","System.String","public","False","False","False","","0x04003D85"
"DolocAPI/<>c__DisplayClass927_0","store","DolocTown.ExchangeStore","public","False","False","False","","0x04003DB5"
"RedSaw.NashObjectPool`1","store","System.Int32","private","False","False","False","","0x04000485"
"RedSaw.CommandLineInterface.UnityImpl.GameConsole","colorHexRestore","System.Collections.Generic.Dictionary`2<UnityEngine.Color,System.String>","private","False","True","False","","0x040005EB"
"DolocTown.ExchangeStore","currentItems","System.Collections.Generic.HashSet`1<System.String>","private","False","True","False","","0x04000825"
"DolocTown.ExchangeStore","soldItems","System.Collections.Generic.Dictionary`2<System.String,System.Int32>","private","False","True","False","","0x04000826"
"DolocTown.ExchangeStore","forceUnlockedItems","System.Collections.Generic.HashSet`1<System.String>","private","False","True","False","","0x04000827"
"DolocTown.ExchangeStore","proto","DolocTown.Config.Store.ExchangeStoreInfo","public","False","True","False","","0x04000828"
"DolocTown.ExchangeStore","<TimeAddition>k__BackingField","System.Single","private","False","False","False","","0x04000829"
"DolocTown.ExchangeStoreRecipe","data","DolocTown.Config.Store.ExchangeStoreItemData","public","False","True","False","","0x0400082A"
"DolocTown.ExchangeStoreRecipe","<Storage>k__BackingField","System.Int32","private","False","True","False","","0x0400082B"
"DolocTown.ExchangeStoreRecipe","<isValid>k__BackingField","System.Boolean","private","False","True","False","","0x0400082C"
"DolocTown.Store","<proto>k__BackingField","DolocTown.Config.Store.StoreInfo","private","False","False","False","","0x0400082D"
"DolocTown.Store","<money>k__BackingField","System.Int32","private","False","False","False","","0x0400082E"
"DolocTown.Store","currentItems","System.Collections.Generic.Dictionary`2<System.String,System.Int32>","private","False","False","False","","0x0400082F"
"DolocTown.Store","buybackItems","System.Collections.Generic.Dictionary`2<System.String,System.Int32>","private","False","False","False","","0x04000830"
"DolocTown.Store","soldItems","System.Collections.Generic.Dictionary`2<System.String,System.Int32>","private","False","False","False","","0x04000831"
"DolocTown.Store","extraUnlockedItems","System.Collections.Generic.HashSet`1<System.String>","private","False","False","False","","0x04000832"
"DolocTown.Store","totalEarnings","System.Int64","private","False","False","False","","0x04000833"
"DolocTown.Store","totalSpending","System.Int64","private","False","False","False","","0x04000834"
"DolocTown.Store/<>c","<>9","DolocTown.Store/<>c","public","True","True","False","","0x040040DC"
"DolocTown.Store/<>c","<>9__32_0","System.Func`2<System.String,System.Boolean>","public","True","False","False","","0x040040DD"
"DolocTown.StoreItemRef","itemName","System.String","public","False","False","False","","0x04000835"
"DolocTown.StoreItemRef","isBuyback","System.Boolean","public","False","False","False","","0x04000836"
"DolocTown.StoreManager","stores","System.Collections.Generic.Dictionary`2<System.String,DolocTown.Store>","private","False","False","False","","0x04000837"
"DolocTown.StoreManager","exchangeStores","System.Collections.Generic.Dictionary`2<System.String,DolocTown.ExchangeStore>","private","False","False","False","","0x04000838"
"DolocTown.StoreManager","globalStoreLevel","System.Int32","private","False","False","False","","0x04000839"
"DolocTown.StoreManager","allTypedStores","System.Collections.Generic.Dictionary`2<System.Type,System.Collections.Generic.Dictionary`2<System.String,DolocTown.IStore>>","private","False","False","False","","0x0400083A"
"DolocTown.StoreManager","allStores","System.Collections.Generic.List`1<DolocTown.IStore>","private","False","False","False","","0x0400083B"
"DolocTown.StoreManager","itemsNeedUnlock","System.Collections.Generic.Dictionary`2<System.String,DolocTown.Config.Store.StoreItemUnlockInfo>","private","False","False","False","","0x0400083C"
"DolocTown.ParkingApron","itemsToReturn","System.Collections.Generic.Queue`1<DolocTown.Item>","private","False","False","False","","0x04000DEC"
"DolocTown.ParkingApron","inventoryTotalPrice","System.Int32","private","False","False","False","","0x04000DED"
"DolocTown.ParkingApron","_store","DolocTown.Store","private","False","False","False","","0x04000DF2"
"DolocTown.ParkingApron/<>c__DisplayClass64_0","price","System.Int32","public","False","False","False","","0x04004384"
"DolocTown.GameEventType","SELL_ITEM_IN_STORE","DolocTown.GameEventType","public","True","False","True","20","0x04001309"
"DolocTown.RecipePanelUiState/<>c__DisplayClass75_0","store","DolocTown.ExchangeStore","public","False","False","False","","0x04004654"
"DolocTown.ModUiState/<>c__DisplayClass31_0","workshopId","System.UInt64","public","False","False","False","","0x0400467A"
