"type","name","full_name","return_type","parameters","visibility","is_static","is_virtual","is_abstract","is_constructor","has_body","body_code_size","token"
"DolocAPI","GetItemSellingPrice","System.Int32 DolocAPI::GetItemSellingPrice(DolocTown.Item)","System.Int32","DolocTown.Item item","public","True","False","False","False","True","13","0x060000B9"
"DolocAPI","GetItemSellingPrice","System.Int32 DolocAPI::GetItemSellingPrice(System.String)","System.Int32","System.String itemName","public","True","False","False","False","True","49","0x060000BA"
"DolocAPI","GetItemBuyingPrice","System.Int32 DolocAPI::GetItemBuyingPrice(System.String)","System.Int32","System.String itemName","public","True","False","False","False","True","19","0x060000BB"
"DolocAPI","RefreshStore","System.Boolean DolocAPI::RefreshStore(System.String)","System.Boolean","System.String storeName","public","True","False","False","False","True","25","0x06000200"
"DolocAPI","UnlockStoreItem","System.Boolean DolocAPI::UnlockStoreItem(System.String,System.String)","System.Boolean","System.String storeName; System.String itemName","public","True","False","False","False","True","27","0x06000201"
"DolocAPI","OpenStore","System.Boolean DolocAPI::OpenStore(System.String)","System.Boolean","System.String storeId","public","True","False","False","False","True","48","0x06000254"
"DolocAPI","Command_GetItemSellingPrice","System.Int32 DolocAPI::Command_GetItemSellingPrice(System.String,System.Single)","System.Int32","System.String itemName; System.Single scale","private","True","False","False","False","True","15","0x060002E8"
"DolocAPI","Command_GetItemBuyingPrice","System.Int32 DolocAPI::Command_GetItemBuyingPrice(System.String,System.Single)","System.Int32","System.String itemName; System.Single scale","private","True","False","False","False","True","27","0x060002E9"
"DolocAPI","Command_SetStoreLevel","System.Void DolocAPI::Command_SetStoreLevel(System.Int32)","System.Void","System.Int32 level","private","True","False","False","False","True","22","0x06000322"
"DolocAPI","Command_RefreshStore","System.Void DolocAPI::Command_RefreshStore(System.String)","System.Void","System.String storeName","private","True","False","False","False","True","27","0x06000323"
"DolocAPI","Command_UnlockStoreItem","System.Void DolocAPI::Command_UnlockStoreItem(System.String,System.String)","System.Void","System.String storeName; System.String itemName","private","True","False","False","False","True","36","0x06000324"
"DolocAPI","Command_RevertUnlockStoreItem","System.Void DolocAPI::Command_RevertUnlockStoreItem(System.String,System.String)","System.Void","System.String storeName; System.String itemName","private","True","False","False","False","True","41","0x06000325"
"DolocAPI","Command_OpenExchangeStore","Cysharp.Threading.Tasks.UniTask DolocAPI::Command_OpenExchangeStore(System.String)","Cysharp.Threading.Tasks.UniTask","System.String storeId","private","True","False","False","False","True","57","0x06000344"
"DolocAPI","Command_OpenStore","Cysharp.Threading.Tasks.UniTask DolocAPI::Command_OpenStore(System.String)","Cysharp.Threading.Tasks.UniTask","System.String storeName","private","True","False","False","False","True","63","0x06000345"
"DolocAPI","Command_GetSoldItemCountStore","System.Int32 DolocAPI::Command_GetSoldItemCountStore(System.String)","System.Int32","System.String itemName","private","True","False","False","False","True","7","0x06000346"
"DolocAPI","Command_GetLatestEarningInStore","System.Int32 DolocAPI::Command_GetLatestEarningInStore()","System.Int32","","private","True","False","False","False","True","6","0x06000347"
"DolocAPI","Command_GetTotalEarningsInStore","System.Int32 DolocAPI::Command_GetTotalEarningsInStore(System.String)","System.Int32","System.String storeName","private","True","False","False","False","True","24","0x06000348"
"DolocAPI","Command_GetBoughtItemCountStore","System.Int32 DolocAPI::Command_GetBoughtItemCountStore(System.String)","System.Int32","System.String itemName","private","True","False","False","False","True","7","0x06000349"
"DolocAPI","Command_GetLatestSpendingInStore","System.Int32 DolocAPI::Command_GetLatestSpendingInStore()","System.Int32","","private","True","False","False","False","True","6","0x0600034A"
"DolocAPI","Command_GetTotalSpendingInStore","System.Int32 DolocAPI::Command_GetTotalSpendingInStore(System.String)","System.Int32","System.String storeName","private","True","False","False","False","True","24","0x0600034B"
"DolocAPI","FastButton_OpenSeedStore","System.Void DolocAPI::FastButton_OpenSeedStore()","System.Void","","private","True","False","False","False","True","38","0x0600038F"
"DolocAPI/<>c","<FastButton_OpenSeedStore>b__1003_0","System.Boolean DolocAPI/<>c::<FastButton_OpenSeedStore>b__1003_0(DolocTown.StoreUiState)","System.Boolean","DolocTown.StoreUiState state","internal","False","False","False","False","True","12","0x0600953F"
