"type","method","method_full_name","offset","length","text"
"DolocAPI","Command_RefreshStore","System.Void DolocAPI::Command_RefreshStore(System.String)","IL_0008","8","商店名称不能为空"
"DolocAPI","Command_UnlockStoreItem","System.Void DolocAPI::Command_UnlockStoreItem(System.String,System.String)","IL_0010","6","参数不能为空"
"DolocAPI","Command_RevertUnlockStoreItem","System.Void DolocAPI::Command_RevertUnlockStoreItem(System.String,System.String)","IL_000A","0",""
"DolocAPI","Command_RevertUnlockStoreItem","System.Void DolocAPI::Command_RevertUnlockStoreItem(System.String,System.String)","IL_001E","0",""
"DolocAPI","Command_OpenExchangeStore","Cysharp.Threading.Tasks.UniTask DolocAPI::Command_OpenExchangeStore(System.String)","IL_0010","0",""
"DolocAPI","Command_OpenStore","Cysharp.Threading.Tasks.UniTask DolocAPI::Command_OpenStore(System.String)","IL_0008","8","商店名称不能为空"
"DolocAPI","Command_OpenStore","Cysharp.Threading.Tasks.UniTask DolocAPI::Command_OpenStore(System.String)","IL_0024","3","商店<"
"DolocAPI","Command_OpenStore","Cysharp.Threading.Tasks.UniTask DolocAPI::Command_OpenStore(System.String)","IL_002A","7",">不存在或无效"
"DolocAPI/<>c","<FastButton_OpenSeedStore>b__1003_0","System.Boolean DolocAPI/<>c::<FastButton_OpenSeedStore>b__1003_0(DolocTown.StoreUiState)","IL_0001","12","villain_shop"
"DolocTown.EmailManager","SendSellBoxEmail","System.Boolean DolocTown.EmailManager::SendSellBoxEmail(System.Int32)","IL_0000","21","drop_off_box_template"
"DolocTown.EmailManager","SendSellBoxEmail","System.Boolean DolocTown.EmailManager::SendSellBoxEmail(System.Int32)","IL_0016","10","没有指定的模板邮件："
"DolocTown.ExchangeStore","CheckItemUnlock","System.Boolean DolocTown.ExchangeStore::CheckItemUnlock(DolocTown.Config.Store.ExchangeStoreItemData)","IL_001C","0",""
"DolocTown.ExchangeStore","get_SwitchMainInfo","System.String DolocTown.ExchangeStore::get_SwitchMainInfo()","IL_0000","0",""
"DolocTown.ExchangeStore","get_SwitchSubInfo","System.String DolocTown.ExchangeStore::get_SwitchSubInfo()","IL_0000","0",""
"DolocTown.StoreManager","Validate","System.Void DolocTown.StoreManager::Validate()","IL_002C","8","普通商店失效: "
"DolocTown.StoreManager","Validate","System.Void DolocTown.StoreManager::Validate()","IL_007F","8","升级商店失效: "
