"type","name","field_type","visibility","is_static","is_readonly","is_literal","constant","token"
"DolocAPI","<gameLoadingTip>k__BackingField","DolocTown.UI.GameLoadingTip","private","True","False","False","","0x04000023"
"DolocAPI","<uiSystem>k__BackingField","DolocUiSystem","private","True","False","False","","0x04000039"
"DolocAPI","<gameUiStates>k__BackingField","DolocTown.DolocGameUiStateManager","private","True","False","False","","0x0400003A"
"DolocAPI","<uiEffectsProvider>k__BackingField","DolocTown.GameServiceLocator.IUIEffectsProvider","private","True","False","False","","0x04000041"
"DolocAPI","<dolocBuilder>k__BackingField","DolocBuilder","private","True","False","False","","0x04000043"
"DolocAPI","DisableOverlayUi","System.Boolean","public","True","False","False","","0x04000049"
"DolocAPI","_itemBorder","DolocTown.UI.ItemBorder","private","True","False","False","","0x0400004E"
"DolocAPI","_hoverBoxGroup","DolocTown.UI.HoverBoxGroup","private","True","False","False","","0x0400004F"
"DolocAPI/<>c","<>9__973_0","System.Func`2<DolocTown.InputNameUiState,System.Boolean>","public","True","False","False","","0x04003D34"
"DolocAPI/<>c","<>9__974_0","System.Func`2<DolocTown.InputBirthdayUiState,System.Boolean>","public","True","False","False","","0x04003D35"
"DolocAPI/<>c","<>9__977_0","System.Func`2<DolocTown.AnimalPanelUiState,System.Boolean>","public","True","False","False","","0x04003D36"
"DolocAPI/<>c","<>9__1003_0","System.Func`2<DolocTown.StoreUiState,System.Boolean>","public","True","False","False","","0x04003D39"
"DolocAPI/<>c","<>9__1004_0","System.Func`2<DolocTown.FactionMissionUiState,System.Boolean>","public","True","False","False","","0x04003D3A"
"DolocAPI/<_WaitUntil>d__284","<>t__builder","Cysharp.Threading.Tasks.CompilerServices.AsyncUniTaskVoidMethodBuilder","public","False","False","False","","0x04003D4A"
"DolocAPI/<_WaitWhile>d__286","<>t__builder","Cysharp.Threading.Tasks.CompilerServices.AsyncUniTaskVoidMethodBuilder","public","False","False","False","","0x04003D4F"
"DolocAPI/<WaitWhileInUiSateTask>d__287","<>1__state","System.Int32","public","False","False","False","","0x04003D53"
"DolocAPI/<WaitWhileInUiSateTask>d__287","<>t__builder","Cysharp.Threading.Tasks.CompilerServices.AsyncUniTaskMethodBuilder","public","False","False","False","","0x04003D54"
