"type","name","full_name","return_type","parameters","visibility","is_static","is_virtual","is_abstract","is_constructor","has_body","body_code_size","token"
"DolocAPI","get_gameLoadingTip","DolocTown.UI.GameLoadingTip DolocAPI::get_gameLoadingTip()","DolocTown.UI.GameLoadingTip","","public","True","False","False","False","True","6","0x06000035"
"DolocAPI","set_gameLoadingTip","System.Void DolocAPI::set_gameLoadingTip(DolocTown.UI.GameLoadingTip)","System.Void","DolocTown.UI.GameLoadingTip value","private","True","False","False","False","True","7","0x06000036"
"DolocAPI","get_uiSystem","DolocUiSystem DolocAPI::get_uiSystem()","DolocUiSystem","","public","True","False","False","False","True","6","0x06000066"
"DolocAPI","set_uiSystem","System.Void DolocAPI::set_uiSystem(DolocUiSystem)","System.Void","DolocUiSystem value","private","True","False","False","False","True","7","0x06000067"
"DolocAPI","get_gameUiStates","DolocTown.DolocGameUiStateManager DolocAPI::get_gameUiStates()","DolocTown.DolocGameUiStateManager","","public","True","False","False","False","True","6","0x06000068"
"DolocAPI","set_gameUiStates","System.Void DolocAPI::set_gameUiStates(DolocTown.DolocGameUiStateManager)","System.Void","DolocTown.DolocGameUiStateManager value","private","True","False","False","False","True","7","0x06000069"
"DolocAPI","get_uiEffectsProvider","DolocTown.GameServiceLocator.IUIEffectsProvider DolocAPI::get_uiEffectsProvider()","DolocTown.GameServiceLocator.IUIEffectsProvider","","public","True","False","False","False","True","6","0x06000078"
"DolocAPI","set_uiEffectsProvider","System.Void DolocAPI::set_uiEffectsProvider(DolocTown.GameServiceLocator.IUIEffectsProvider)","System.Void","DolocTown.GameServiceLocator.IUIEffectsProvider value","private","True","False","False","False","True","7","0x06000079"
"DolocAPI","get_dolocBuilder","DolocBuilder DolocAPI::get_dolocBuilder()","DolocBuilder","","public","True","False","False","False","True","6","0x06000080"
"DolocAPI","set_dolocBuilder","System.Void DolocAPI::set_dolocBuilder(DolocBuilder)","System.Void","DolocBuilder value","private","True","False","False","False","True","7","0x06000081"
"DolocAPI","GetEquipmentLimitation","System.Int32 DolocAPI::GetEquipmentLimitation(System.String)","System.Int32","System.String name","public","True","False","False","False","True","2","0x060000AD"
"DolocAPI","QueryEquipment","System.Boolean DolocAPI::QueryEquipment(System.String,DolocTown.Config.Equipment.EquipmentInfo&)","System.Boolean","System.String name; DolocTown.Config.Equipment.EquipmentInfo& proto","public","True","False","False","False","True","36","0x060000BF"
"DolocAPI","GetEquipmentTitle","System.String DolocAPI::GetEquipmentTitle(System.String)","System.String","System.String name","public","True","False","False","False","True","19","0x060000C0"
"DolocAPI","QueryBuilding","System.Boolean DolocAPI::QueryBuilding(System.String,DolocTown.Config.Building.BuildingInfo&)","System.Boolean","System.String name; DolocTown.Config.Building.BuildingInfo& proto","public","True","False","False","False","True","33","0x060000C1"
"DolocAPI","GetBuildingTitle","System.String DolocAPI::GetBuildingTitle(System.String)","System.String","System.String buildingName","public","True","False","False","False","True","19","0x060000C2"
"DolocAPI","WaitWhileInUiSateTask","Cysharp.Threading.Tasks.UniTask DolocAPI::WaitWhileInUiSateTask()","Cysharp.Threading.Tasks.UniTask","","public","True","False","False","False","True","47","0x060000ED"
"DolocAPI","WorldToAroundUiPosBottom","UnityEngine.Vector2 DolocAPI::WorldToAroundUiPosBottom(UnityEngine.Vector3,UnityEngine.Vector2,System.Int32)","UnityEngine.Vector2","UnityEngine.Vector3 posWS; UnityEngine.Vector2 uiSize; System.Int32 dst","public","True","False","False","False","True","73","0x060000F3"
"DolocAPI","get_CurrentL10nInfo","DolocTown.Config.Localization.LocalizationInfo DolocAPI::get_CurrentL10nInfo()","DolocTown.Config.Localization.LocalizationInfo","","public","True","False","False","False","True","21","0x060000FC"
"DolocAPI","QuitCurrentRoom","System.Void DolocAPI::QuitCurrentRoom(DolocTown.Room,System.Boolean)","System.Void","DolocTown.Room nextRoom; System.Boolean shouldUnloadScene","public","True","False","False","False","True","163","0x06000111"
"DolocAPI","_TryQuitDungeon","System.Void DolocAPI::_TryQuitDungeon()","System.Void","","private","True","False","False","False","True","35","0x0600011F"
"DolocAPI","RunGameProcess","System.Boolean DolocAPI::RunGameProcess(DolocTown.NodeCanvas.GameProcessGraph,System.Action)","System.Boolean","DolocTown.NodeCanvas.GameProcessGraph graph; System.Action callback","public","True","False","False","False","True","24","0x0600012A"
"DolocAPI","RaiseUiTextFadeUp","System.Void DolocAPI::RaiseUiTextFadeUp(System.String,UnityEngine.Color,UnityEngine.Vector2,System.Single,DG.Tweening.Ease,System.Single)","System.Void","System.String text; UnityEngine.Color color; UnityEngine.Vector2 screenPosition; System.Single duration; DG.Tweening.Ease moveEase; System.Single popDistance","public","True","False","False","False","True","19","0x06000140"
"DolocAPI","RaiseUiNumberFadeUp","System.Void DolocAPI::RaiseUiNumberFadeUp(System.Int32,UnityEngine.Color,UnityEngine.Vector2,System.Single,DG.Tweening.Ease,System.Single,System.Single)","System.Void","System.Int32 value; UnityEngine.Color color; UnityEngine.Vector2 screenPosition; System.Single duration; DG.Tweening.Ease moveEase; System.Single popDistance; System.Single waitDuration","public","True","False","False","False","True","21","0x06000141"
"DolocAPI","RaiseUiSpriteFadeUp","System.Void DolocAPI::RaiseUiSpriteFadeUp(UnityEngine.Vector2,UnityEngine.Sprite,System.Single,DG.Tweening.Ease,System.Single)","System.Void","UnityEngine.Vector2 screenPosition; UnityEngine.Sprite icon; System.Single duration; DG.Tweening.Ease moveEase; System.Single popDistance","public","True","False","False","False","True","17","0x06000142"
"DolocAPI","RaiseUiSpriteFadeDown","System.Void DolocAPI::RaiseUiSpriteFadeDown(UnityEngine.Vector2,UnityEngine.Sprite,System.Single,DG.Tweening.Ease,System.Single)","System.Void","UnityEngine.Vector2 screenPosition; UnityEngine.Sprite icon; System.Single duration; DG.Tweening.Ease moveEase; System.Single popDistance","public","True","False","False","False","True","17","0x06000145"
"DolocAPI","RaiseUiEffects","System.Void DolocAPI::RaiseUiEffects(System.Int32,UnityEngine.Color)","System.Void","System.Int32 value; UnityEngine.Color color","public","True","False","False","False","True","77","0x0600015B"
"DolocAPI","QuickSelectCurrentItem","System.Void DolocAPI::QuickSelectCurrentItem()","System.Void","","public","True","False","False","False","True","51","0x0600015F"
"DolocAPI","QuickDeselectCurrentItem","System.Void DolocAPI::QuickDeselectCurrentItem()","System.Void","","public","True","False","False","False","True","24","0x06000160"
"DolocAPI","ReQuickSelectCurrentItem","System.Void DolocAPI::ReQuickSelectCurrentItem()","System.Void","","public","True","False","False","False","True","11","0x06000161"
"DolocAPI","get_SelectedEquipment","DolocTown.Equipment DolocAPI::get_SelectedEquipment()","DolocTown.Equipment","","public","True","False","False","False","True","26","0x06000163"
"DolocAPI","get_SelectedBuilding","DolocTown.Building DolocAPI::get_SelectedBuilding()","DolocTown.Building","","public","True","False","False","False","True","26","0x06000164"
"DolocAPI","get_AgentEquipmentParams","DolocTown.Params.AgentEquipmentAbility DolocAPI::get_AgentEquipmentParams()","DolocTown.Params.AgentEquipmentAbility","","public","True","False","False","False","True","26","0x06000168"
"DolocAPI","get_AgentEquipmentManager","DolocTown.GameData.AgentEquipmentManager DolocAPI::get_AgentEquipmentManager()","DolocTown.GameData.AgentEquipmentManager","","public","True","False","False","False","True","21","0x06000169"
"DolocAPI","ResetQuickInventorySelection","System.Void DolocAPI::ResetQuickInventorySelection()","System.Void","","public","True","False","False","False","True","16","0x0600019D"
"DolocAPI","GetInventoriesAroundEquipment","DolocTown.LinearInventory[] DolocAPI::GetInventoriesAroundEquipment(DolocTown.Equipment)","DolocTown.LinearInventory[]","DolocTown.Equipment equipment","public","True","False","False","False","True","76","0x060001A9"
"DolocAPI","GetDialogueTargetViewOrDefault","DolocTown.IDialogueEntity DolocAPI::GetDialogueTargetViewOrDefault(System.String,System.Boolean)","DolocTown.IDialogueEntity","System.String targetName; System.Boolean force","public","True","False","False","False","True","190","0x060001DF"
"DolocAPI","GetDialogueLineView","DolocTown.IDialogueLineView DolocAPI::GetDialogueLineView(System.String)","DolocTown.IDialogueLineView","System.String targetName","public","True","False","False","False","True","69","0x060001E4"
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(DolocTown.ItemHat,DolocTown.Item&)","System.Boolean","DolocTown.ItemHat hatItem; DolocTown.Item& oldHat","public","True","False","False","False","True","221","0x060001F5"
