"type","name","property_type","getter","setter","getter_visibility","setter_visibility","token"
"DolocAPI","gameLoadingTip","DolocTown.UI.GameLoadingTip","get_gameLoadingTip","set_gameLoadingTip","public","private","0x17000011"
"DolocAPI","uiSystem","DolocUiSystem","get_uiSystem","set_uiSystem","public","private","0x17000029"
"DolocAPI","gameUiStates","DolocTown.DolocGameUiStateManager","get_gameUiStates","set_gameUiStates","public","private","0x1700002A"
"DolocAPI","uiEffectsProvider","DolocTown.GameServiceLocator.IUIEffectsProvider","get_uiEffectsProvider","set_uiEffectsProvider","public","private","0x17000033"
"DolocAPI","dolocBuilder","DolocBuilder","get_dolocBuilder","set_dolocBuilder","public","private","0x17000036"
"DolocAPI","CurrentL10nInfo","DolocTown.Config.Localization.LocalizationInfo","get_CurrentL10nInfo","","public","","0x17000040"
"DolocAPI","SelectedEquipment","DolocTown.Equipment","get_SelectedEquipment","","public","","0x17000046"
"DolocAPI","SelectedBuilding","DolocTown.Building","get_SelectedBuilding","","public","","0x17000047"
"DolocAPI","AgentEquipmentParams","DolocTown.Params.AgentEquipmentAbility","get_AgentEquipmentParams","","public","","0x1700004B"
"DolocAPI","AgentEquipmentManager","DolocTown.GameData.AgentEquipmentManager","get_AgentEquipmentManager","","public","","0x1700004C"
"DolocAPI","itemBorder","DolocTown.UI.ItemBorder","get_itemBorder","","private","","0x1700005F"
"DolocAPI","HoverBoxGroup","DolocTown.UI.HoverBoxGroup","get_HoverBoxGroup","","public","","0x17000060"
"IDolocGameState","ForceShowQuickInventory","System.Boolean","get_ForceShowQuickInventory","","public","","0x1700006F"
"IDolocGameState","ForceHideQuickInventory","System.Boolean","get_ForceHideQuickInventory","","public","","0x17000070"
"DolocTownGameStateBase","ForceShowQuickInventory","System.Boolean","get_ForceShowQuickInventory","","public","","0x1700008F"
"DolocTownGameStateBase","ForceHideQuickInventory","System.Boolean","get_ForceHideQuickInventory","","public","","0x17000090"
"AgentStateBase","SupportScrollQuickInventoryUI","System.Boolean","get_SupportScrollQuickInventoryUI","","public","","0x170000A0"
"BoxUiState","SoundEventShow","DolocTown.SoundEvents","get_SoundEventShow","","protected","","0x170000A8"
"BoxUiState","boxes","System.Collections.Generic.List`1<DolocTown.ItemBox>","get_boxes","","private","","0x170000A9"
"BoxUiState","currentBoxIndex","System.Int32","get_currentBoxIndex","","private","","0x170000AA"
"BoxUiState","currentBoxItem","DolocTown.ItemBox","get_currentBoxItem","","private","","0x170000AB"
"BoxUiState","canBoxPutIn","System.Boolean","get_canBoxPutIn","","private","","0x170000AC"
"BoxUiState","isBoxUsedUp","System.Boolean","get_isBoxUsedUp","","private","","0x170000AD"
"BoxUiState","ignoreSubmitWhenClick","System.Boolean","get_ignoreSubmitWhenClick","","protected","","0x170000AE"
"BoxUiState","disableItemLocked","System.Boolean","get_disableItemLocked","","protected","","0x170000AF"
"DolocInputSource","BuilderInput","DolocInputSource/BuilderInputActions","get_BuilderInput","","public","","0x170000B6"
"DolocInputSource/NormalInputActions","QuickSelect_1","UnityEngine.InputSystem.InputAction","get_QuickSelect_1","","public","","0x17002E8B"
"DolocInputSource/NormalInputActions","QuickSelect_2","UnityEngine.InputSystem.InputAction","get_QuickSelect_2","","public","","0x17002E8C"
"DolocInputSource/NormalInputActions","QuickSelect_3","UnityEngine.InputSystem.InputAction","get_QuickSelect_3","","public","","0x17002E8D"
"DolocInputSource/NormalInputActions","QuickSelect_4","UnityEngine.InputSystem.InputAction","get_QuickSelect_4","","public","","0x17002E8E"
"DolocInputSource/NormalInputActions","QuickSelect_5","UnityEngine.InputSystem.InputAction","get_QuickSelect_5","","public","","0x17002E8F"
"DolocInputSource/NormalInputActions","QuickSelect_6","UnityEngine.InputSystem.InputAction","get_QuickSelect_6","","public","","0x17002E90"
"DolocInputSource/NormalInputActions","QuickSelect_7","UnityEngine.InputSystem.InputAction","get_QuickSelect_7","","public","","0x17002E91"
"DolocInputSource/NormalInputActions","QuickSelect_8","UnityEngine.InputSystem.InputAction","get_QuickSelect_8","","public","","0x17002E92"
"DolocInputSource/NormalInputActions","QuickSelect_9","UnityEngine.InputSystem.InputAction","get_QuickSelect_9","","public","","0x17002E93"
"DolocInputSource/NormalInputActions","QuickSelect_0","UnityEngine.InputSystem.InputAction","get_QuickSelect_0","","public","","0x17002E94"
"DolocInputSource/NormalInputActions","QuickSelectPrev","UnityEngine.InputSystem.InputAction","get_QuickSelectPrev","","public","","0x17002E9A"
"DolocInputSource/NormalInputActions","QuickSelectNext","UnityEngine.InputSystem.InputAction","get_QuickSelectNext","","public","","0x17002E9B"
"DolocInputSource/NormalInputActions","ToggleMissionPanel","UnityEngine.InputSystem.InputAction","get_ToggleMissionPanel","","public","","0x17002E9C"
"DolocInputSource/NormalInputActions","ToggleMenu","UnityEngine.InputSystem.InputAction","get_ToggleMenu","","public","","0x17002EA1"
"DolocInputSource/BuilderInputActions","DPadUp","UnityEngine.InputSystem.InputAction","get_DPadUp","","public","","0x17002EA5"
"DolocInputSource/BuilderInputActions","DPadDown","UnityEngine.InputSystem.InputAction","get_DPadDown","","public","","0x17002EA6"
"DolocInputSource/BuilderInputActions","DPadLeft","UnityEngine.InputSystem.InputAction","get_DPadLeft","","public","","0x17002EA7"
"DolocInputSource/BuilderInputActions","DPadRight","UnityEngine.InputSystem.InputAction","get_DPadRight","","public","","0x17002EA8"
"DolocInputSource/BuilderInputActions","BuilderLast","UnityEngine.InputSystem.InputAction","get_BuilderLast","","public","","0x17002EA9"
"DolocInputSource/BuilderInputActions","BuilderNext","UnityEngine.InputSystem.InputAction","get_BuilderNext","","public","","0x17002EAA"
"DolocInputSource/BuilderInputActions","BuilderSelected","UnityEngine.InputSystem.InputAction","get_BuilderSelected","","public","","0x17002EAB"
"DolocInputSource/BuilderInputActions","BuilderRevocation","UnityEngine.InputSystem.InputAction","get_BuilderRevocation","","public","","0x17002EAC"
"DolocInputSource/BuilderInputActions","BuilderDismantle","UnityEngine.InputSystem.InputAction","get_BuilderDismantle","","public","","0x17002EAD"
"DolocInputSource/BuilderInputActions","BuilderDismantleHold","UnityEngine.InputSystem.InputAction","get_BuilderDismantleHold","","public","","0x17002EAE"
"DolocInputSource/BuilderInputActions","BuilderRotate","UnityEngine.InputSystem.InputAction","get_BuilderRotate","","public","","0x17002EAF"
"DolocInputSource/BuilderInputActions","BuilderSwitch","UnityEngine.InputSystem.InputAction","get_BuilderSwitch","","public","","0x17002EB0"
"DolocInputSource/BuilderInputActions","BuilderSwitchInventory","UnityEngine.InputSystem.InputAction","get_BuilderSwitchInventory","","public","","0x17002EB1"
"DolocInputSource/BuilderInputActions","enabled","System.Boolean","get_enabled","","public","","0x17002EB2"
"DolocInputSource/BaseInputActions","QuickSelectPrev","UnityEngine.InputSystem.InputAction","get_QuickSelectPrev","","public","","0x17002ED6"
"DolocInputSource/BaseInputActions","QuickSelectNext","UnityEngine.InputSystem.InputAction","get_QuickSelectNext","","public","","0x17002ED7"
"DolocInputSource/BaseInputActions","ToggleMissionPanel","UnityEngine.InputSystem.InputAction","get_ToggleMissionPanel","","public","","0x17002ED8"
"DolocInputSource/BaseInputActions","ToggleMenu","UnityEngine.InputSystem.InputAction","get_ToggleMenu","","public","","0x17002EDC"
"LocSprites","UI_TIP_FILLEDSOCK","UnityEngine.Sprite","get_UI_TIP_FILLEDSOCK","","public","","0x170000BD"
"LocSprites","UI_TIP_EMPTYSOCK","UnityEngine.Sprite","get_UI_TIP_EMPTYSOCK","","public","","0x170000BE"
"LocSprites","UI_POINTER_UP","UnityEngine.Sprite","get_UI_POINTER_UP","","public","","0x170000C0"
"LocSprites","UI_POINTER_DOWN","UnityEngine.Sprite","get_UI_POINTER_DOWN","","public","","0x170000C1"
"LocSprites","UI_TIP_ANIMAL_FONDLE","UnityEngine.Sprite","get_UI_TIP_ANIMAL_FONDLE","","public","","0x170000C2"
"LocSprites","UI_TIP_ANIMAL_COLLECT","UnityEngine.Sprite","get_UI_TIP_ANIMAL_COLLECT","","public","","0x170000C3"
"LocSprites","UI_INFOICON_ATTENTION","UnityEngine.Sprite","get_UI_INFOICON_ATTENTION","","public","","0x170000C4"
"LocSprites","UI_INFOICON_QUESTION","UnityEngine.Sprite","get_UI_INFOICON_QUESTION","","public","","0x170000C5"
"LocSprites","UI_INFOICON_ERROR_24PX","UnityEngine.Sprite","get_UI_INFOICON_ERROR_24PX","","public","","0x170000C6"
"LocSprites","UI_INFOICON_ERROR","UnityEngine.Sprite","get_UI_INFOICON_ERROR","","public","","0x170000C7"
"LocSprites","UI_INFOICON_COMPLETE_24PX","UnityEngine.Sprite","get_UI_INFOICON_COMPLETE_24PX","","public","","0x170000C8"
"LocSprites","UI_INFOICON_LOVE_24PX","UnityEngine.Sprite","get_UI_INFOICON_LOVE_24PX","","public","","0x170000C9"
"LocSprites","UI_INFOICON_HATE_24PX","UnityEngine.Sprite","get_UI_INFOICON_HATE_24PX","","public","","0x170000CA"
"LocSprites","UI_INFOICON_STAR","UnityEngine.Sprite","get_UI_INFOICON_STAR","","public","","0x170000CB"
"LocSprites","UI_INFOICON_STAR2","UnityEngine.Sprite","get_UI_INFOICON_STAR2","","public","","0x170000CC"
"LocSprites","UI_INFOICON_STAR3","UnityEngine.Sprite","get_UI_INFOICON_STAR3","","public","","0x170000CD"
"LocSprites","UI_INFOICON_STAR_24PX","UnityEngine.Sprite","get_UI_INFOICON_STAR_24PX","","public","","0x170000CE"
"LocSprites","UI_INFOICON_DRONE_28PX","UnityEngine.Sprite","get_UI_INFOICON_DRONE_28PX","","public","","0x170000CF"
"LocSprites","UI_INFOICON_ACTIVE_28PX","UnityEngine.Sprite","get_UI_INFOICON_ACTIVE_28PX","","public","","0x170000D0"
"LocSprites","UI_MENUICON_GIFT","UnityEngine.Sprite","get_UI_MENUICON_GIFT","","public","","0x170000D1"
"LocSprites","UI_MENUICON_PLATFORM","UnityEngine.Sprite","get_UI_MENUICON_PLATFORM","","public","","0x170000D2"
"LocSprites","UI_MENUICON_BUILDINGS","UnityEngine.Sprite","get_UI_MENUICON_BUILDINGS","","public","","0x170000D3"
"LocSprites","UI_ICON_DEFAULT24","UnityEngine.Sprite","get_UI_ICON_DEFAULT24","","public","","0x170000D4"
"LocSprites","UI_ICON_RECIPE","UnityEngine.Sprite","get_UI_ICON_RECIPE","","public","","0x170000D5"
"LocSprites","UI_ITEMICON_DEFAULT","UnityEngine.Sprite","get_UI_ITEMICON_DEFAULT","","public","","0x170000D6"
"LocSprites","UI_BUFFICON_DEFAULT","UnityEngine.Sprite","get_UI_BUFFICON_DEFAULT","","public","","0x170000D7"
"LocSprites","UI_ICON_GOLD28X","UnityEngine.Sprite","get_UI_ICON_GOLD28X","","public","","0x170000D8"
"LocSprites","UI_ICON_GOLD16X","UnityEngine.Sprite","get_UI_ICON_GOLD16X","","public","","0x170000D9"
"LocMaterials","UI_MAT_DEFAULT","UnityEngine.Material","get_UI_MAT_DEFAULT","","public","","0x170000DA"
"LocMaterials","UI_MAT_SWIMSPRITE","UnityEngine.Material","get_UI_MAT_SWIMSPRITE","","public","","0x170000DB"
"LocMaterials","UI_MAT_WIRELINE","UnityEngine.Material","get_UI_MAT_WIRELINE","","public","","0x170000DC"
"LocMaterials","UI_MAT_GREY","UnityEngine.Material","get_UI_MAT_GREY","","public","","0x170000DD"
"LocMaterials","UI_MAT_FLOAT_ARROW_VERTICAL","UnityEngine.Material","get_UI_MAT_FLOAT_ARROW_VERTICAL","","public","","0x170000DE"
"LocMaterials","UI_MAT_FLOAT_ARROW_HORIZONTAL","UnityEngine.Material","get_UI_MAT_FLOAT_ARROW_HORIZONTAL","","public","","0x170000DF"
"LocMaterials","GAME_MAT_BUILDERINDICATOR","UnityEngine.Material","get_GAME_MAT_BUILDERINDICATOR","","public","","0x170000EB"
"LocPfbs","UI_PFB_TEXT_EX","UnityEngine.GameObject","get_UI_PFB_TEXT_EX","","public","","0x17000100"
