"type","method","method_full_name","offset","length","text"
"DolocAPI","QueryBuilding","System.Boolean DolocAPI::QueryBuilding(System.String,DolocTown.Config.Building.BuildingInfo&)","IL_0010","0",""
"DolocAPI","QuitCurrentRoom","System.Void DolocAPI::QuitCurrentRoom(DolocTown.Room,System.Boolean)","IL_0074","8","数据错误:房间<"
"DolocAPI","QuitCurrentRoom","System.Void DolocAPI::QuitCurrentRoom(DolocTown.Room,System.Boolean)","IL_007F","8",">没有对应场景!"
"DolocAPI","GetAgentPosInMap","System.Boolean DolocAPI::GetAgentPosInMap(UnityEngine.Vector2&)","IL_0038","10","获取城镇地图ui失败"
"DolocAPI","GetMotorDirToAgentInMap","System.Boolean DolocAPI::GetMotorDirToAgentInMap(UnityEngine.Vector2&)","IL_0038","10","获取城镇地图ui失败"
"DolocAPI","GetMapPosByWorldPosition","System.Boolean DolocAPI::GetMapPosByWorldPosition(DolocTown.Room,UnityEngine.Vector2,UnityEngine.Vector2&)","IL_003D","10","获取城镇地图ui失败"
"DolocAPI","GetMotorPosInMap","System.Boolean DolocAPI::GetMotorPosInMap(UnityEngine.Vector2&)","IL_0038","10","获取城镇地图ui失败"
"DolocAPI","GetDialogueTargetViewOrDefault","DolocTown.IDialogueEntity DolocAPI::GetDialogueTargetViewOrDefault(System.String,System.Boolean)","IL_0092","12","讲话对象不在当前场景: "
"DolocAPI","GetDialogueTargetViewOrDefault","DolocTown.IDialogueEntity DolocAPI::GetDialogueTargetViewOrDefault(System.String,System.Boolean)","IL_00A8","10","获取讲话对象失败: "
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(DolocTown.ItemHat,DolocTown.Item&)","IL_0030","3","帽子<"
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(DolocTown.ItemHat,DolocTown.Item&)","IL_0043","4",">已取下"
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(DolocTown.ItemHat,DolocTown.Item&)","IL_0062","13","目标道具不是帽子，无法装备"
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(DolocTown.ItemHat,DolocTown.Item&)","IL_008C","14","<color=red>帽子"""
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(DolocTown.ItemHat,DolocTown.Item&)","IL_0097","15","""渲染信息丢失</color>"
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(DolocTown.ItemHat,DolocTown.Item&)","IL_00C1","3","帽子<"
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(DolocTown.ItemHat,DolocTown.Item&)","IL_00CC","5",">装备成功"
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(System.String,DolocTown.Item&)","IL_003F","3","帽子<"
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(System.String,DolocTown.Item&)","IL_0052","4",">已取下"
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(System.String,DolocTown.Item&)","IL_0079","13","目标道具不是帽子，无法装备"
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(System.String,DolocTown.Item&)","IL_009E","14","<color=red>帽子"""
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(System.String,DolocTown.Item&)","IL_00A4","15","""渲染信息丢失</color>"
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(System.String,DolocTown.Item&)","IL_00CE","3","帽子<"
"DolocAPI","EquipHat","System.Boolean DolocAPI::EquipHat(System.String,DolocTown.Item&)","IL_00D9","5",">装备成功"
"DolocAPI","Command_ViewDisabledGates","System.Void DolocAPI::Command_ViewDisabledGates()","IL_0017","10","当前没有禁用的传送门"
"DolocAPI","Command_ViewDisabledGates","System.Void DolocAPI::Command_ViewDisabledGates()","IL_003F","1","<"
"DolocAPI","Command_ViewDisabledGates","System.Void DolocAPI::Command_ViewDisabledGates()","IL_0045","1",">"
"DolocAPI","Command_ShowSelectedBuildingInfo","System.Void DolocAPI::Command_ShowSelectedBuildingInfo()","IL_000C","10","当前房间不是建筑宿主"
"DolocAPI","Command_ShowSelectedBuildingInfo","System.Void DolocAPI::Command_ShowSelectedBuildingInfo()","IL_0020","9","当前没有选中的建筑"
"DolocAPI","Command_ShowSelectedBuildingInfo","System.Void DolocAPI::Command_ShowSelectedBuildingInfo()","IL_002C","10","DEBUG INFO"
"DolocAPI","Command_ClearAllEquipmentInSelectedRoom","System.Void DolocAPI::Command_ClearAllEquipmentInSelectedRoom()","IL_0009","9","当前没有选中的建筑"
"DolocAPI","Command_ExtendBuilding","System.Void DolocAPI::Command_ExtendBuilding()","IL_0009","6","没有选择建筑"
"DolocAPI","Command_ExtendBuilding","System.Void DolocAPI::Command_ExtendBuilding()","IL_001C","4","升级失败"
"DolocAPI","Command_ExtendBuilding","System.Void DolocAPI::Command_ExtendBuilding()","IL_0023","4","升级成功"
"DolocAPI","Command_ViewCurrentGameState","System.Void DolocAPI::Command_ViewCurrentGameState()","IL_0000","11","当前游戏状态: {0}"
"DolocAPI","Command_ViewCurrentGameState","System.Void DolocAPI::Command_ViewCurrentGameState()","IL_0029","12","当前状态栈有{0}个状态"
"DolocAPI","Command_ViewCurrentGameState","System.Void DolocAPI::Command_ViewCurrentGameState()","IL_0044","18","----- 游戏状态堆栈 -----"
"DolocAPI","Command_ViewCurrentGameState","System.Void DolocAPI::Command_ViewCurrentGameState()","IL_006B","23","+---------------------+"
"DolocAPI","Command_SetProduceRequireMood","System.Void DolocAPI::Command_SetProduceRequireMood(System.Boolean)","IL_0013","18","已设置生产是否依赖心情值为: {0}"
"DolocAPI","Command_EquipHat","System.Void DolocAPI::Command_EquipHat(System.String)","IL_0020","6","帽子装备失败"
"DolocAPI","Command_ViewNpcCelebrationOrder","System.Void DolocAPI::Command_ViewNpcCelebrationOrder(System.Boolean)","IL_0063","14","{0}: {1} [{2}]"
"DolocAPI","Command_AddAgentEquipmentSkill","System.Void DolocAPI::Command_AddAgentEquipmentSkill(System.String)","IL_0008","8","技能ID不能为空"
"DolocAPI","Command_RemoveAgentEquipmentSkill","System.Void DolocAPI::Command_RemoveAgentEquipmentSkill(System.String)","IL_0008","8","技能ID不能为空"
"DolocAPI","Command_ViewEmail","System.Void DolocAPI::Command_ViewEmail()","IL_000F","8","当前玩家没有邮件"
