"type","method","method_full_name","offset","length","text"
"<>f__AnonymousType0`2","ToString","System.String <>f__AnonymousType0`2::ToString()","IL_0001","30","{{ value = {0}, score = {1} }}"
"<>f__AnonymousType1`2","ToString","System.String <>f__AnonymousType1`2::ToString()","IL_0001","31","{{ Value = {0}, Weight = {1} }}"
"<>f__AnonymousType2`3","ToString","System.String <>f__AnonymousType2`3::ToString()","IL_0001","42","{{ Type = {0}, Value = {1}, Index = {2} }}"
"<>f__AnonymousType3`2","ToString","System.String <>f__AnonymousType3`2::ToString()","IL_0001","30","{{ type = {0}, method = {1} }}"
"BoxExample","FixedUpdate","System.Void BoxExample::FixedUpdate()","IL_0053","6","Hit : "
"DebugLight","Test","System.Void DebugLight::Test()","IL_0043","8","_MainTex"
"DebugLight","Test","System.Void DebugLight::Test()","IL_005E","12","_EmissionTex"
"DebugLight","Test","System.Void DebugLight::Test()","IL_0074","21","_EmissionTex_Position"
"ProbabilityTest","Test","System.Void ProbabilityTest::Test()","IL_000E","7","配置项目不合法"
"ProbabilityTest","GenerateSingleTime","System.Void ProbabilityTest::GenerateSingleTime(System.Int32[],System.String[],System.Int32)","IL_0036","9","{0}x{1}  "
"ProbabilityTest","GenerateMultiTimes","System.Void ProbabilityTest::GenerateMultiTimes(System.Int32[],System.String[],System.Int32,System.Int32)","IL_00C8","36","{0} x {1} (期望占比:{2:P}) (真实占比:{3:P})
"
"RectSize","test","System.Void RectSize::test()","IL_0000","14","sizeDelta: {0}"
"RectSize","test","System.Void RectSize::test()","IL_0024","14","rect.size: {0}"
"SpawnLutTest","Test","System.Void SpawnLutTest::Test()","IL_002C","0",""
"SpawnLutTest","Test","System.Void SpawnLutTest::Test()","IL_004E","0",""
"SpawnLutTest","Test","System.Void SpawnLutTest::Test()","IL_0150","7","第{0}次生成"
"SpawnLutTest","Test","System.Void SpawnLutTest::Test()","IL_01DB","24","==== {0}次测试生成总数：{1} ===
"
"SpawnLutTest","Test","System.Void SpawnLutTest::Test()","IL_0235","9","{0} - {1}"
"SpawnLutTest","Test","System.Void SpawnLutTest::Test()","IL_0259","2","无限"
"SpawnLutTest","Test","System.Void SpawnLutTest::Test()","IL_0262","72","{0,-20} × {1}         rate: {2}%         (weight: {3}%)    (range: {4})
"
"SpawnLutTest","Test","System.Void SpawnLutTest::Test()","IL_02E3","41","========================================
"
"DolocAPI","InitDevelopmentHelper","System.Void DolocAPI::InitDevelopmentHelper()","IL_000B","21","GameConsole/devHelper"
"DolocAPI","InitDevelopmentHelper","System.Void DolocAPI::InitDevelopmentHelper()","IL_0066","28","GameConsole/game_loading_tip"
"DolocAPI","InitDevelopmentHelper","System.Void DolocAPI::InitDevelopmentHelper()","IL_00B1","20","web_operation_handle"
"DolocAPI","__LoadStaticAssets","System.Void DolocAPI::__LoadStaticAssets(System.Action)","IL_0039","12","准备加载游戏静态资源.."
"DolocAPI","__InitGlobalSystems","System.Void DolocAPI::__InitGlobalSystems()","IL_0000","16","正在初始化多洛可小镇全局游戏系统"
"DolocAPI","__InstallStateSwitchPlugins","System.Void DolocAPI::__InstallStateSwitchPlugins()","IL_0000","11","安装所有的状态转换插件"
"DolocAPI","__InitDolocBaseGameSystems","System.Void DolocAPI::__InitDolocBaseGameSystems(GameManager)","IL_0000","9","初始化全局游戏系统"
"DolocAPI","__InitCitySystem","System.Void DolocAPI::__InitCitySystem(GameManager)","IL_0006","4","emos"
"DolocAPI","__InitPlayerDrone","System.Void DolocAPI::__InitPlayerDrone()","IL_0011","20","初始化玩家无人机:无法找到无人机的预制体"
"DolocAPI","NewGame","System.Void DolocAPI::NewGame(System.Int32)","IL_0005","8","sys_home"
"DolocAPI","FinishTrainingDungeon","System.Void DolocAPI::FinishTrainingDungeon(System.Boolean)","IL_0006","6","结束教学关卡"
"DolocAPI","LoadGame","System.Boolean DolocAPI::LoadGame(System.Int32)","IL_0014","8","sys_home"
"DolocAPI","ReturnHome","System.Void DolocAPI::ReturnHome(System.Boolean)","IL_00FA","8","sys_home"
"DolocAPI","Has087DemoData","System.Boolean DolocAPI::Has087DemoData()","IL_0005","14","doloc-archive-"
"DolocAPI","QueryItemProto","System.Boolean DolocAPI::QueryItemProto(System.String,DolocTown.Config.Item.ItemInfo&)","IL_0010","0",""
"DolocAPI","GetItemSortingOrder","System.Single DolocAPI::GetItemSortingOrder(System.String)","IL_000F","0",""
"DolocAPI","QueryItemSpawnLut","System.Boolean DolocAPI::QueryItemSpawnLut(System.String,DolocTown.Config.Item.ItemSpawnInfo&)","IL_0010","0",""
"DolocAPI","QueryBuilding","System.Boolean DolocAPI::QueryBuilding(System.String,DolocTown.Config.Building.BuildingInfo&)","IL_0010","0",""
"DolocAPI","QueryResourceProto","System.Boolean DolocAPI::QueryResourceProto(System.String,DolocTown.Config.Resource.ResourceInfo&)","IL_0010","0",""
"DolocAPI","QueryVegetationProto","System.Boolean DolocAPI::QueryVegetationProto(System.String,DolocTown.Config.Resource.VegetationInfo&)","IL_0010","0",""
"DolocAPI","ShowDebugInfos","System.Void DolocAPI::ShowDebugInfos(System.Object,System.String)","IL_0000","2","- "
"DolocAPI","ShowDebugInfos","System.Void DolocAPI::ShowDebugInfos(System.Object,System.String)","IL_0006","6"," START"
"DolocAPI","ShowDebugInfos","System.Void DolocAPI::ShowDebugInfos(System.Object,System.String)","IL_001D","9","DolocTown"
"DolocAPI","ShowDebugInfos","System.Void DolocAPI::ShowDebugInfos(System.Object,System.String)","IL_0063","2","- "
"DolocAPI","ShowDebugInfos","System.Void DolocAPI::ShowDebugInfos(System.Object,System.String)","IL_0069","4"," END"
"DolocAPI","ExecuteCommand","System.Void DolocAPI::ExecuteCommand(System.String,System.Object&)","IL_002E","30","error occurred while execute """
"DolocAPI","ExecuteCommand","System.Void DolocAPI::ExecuteCommand(System.String,System.Object&)","IL_0034","1",""""
